# entry-subent-pointer  : 10960-064-0 
# EXFOR reaction        : ['42-MO-95', ['N,X'], '1-H-1,,DE'] 
# incident energy       : 1.48e+01 MeV 
# target                : Mo-95 
# product               : H-1 
# level energy          : 1.75e+00 MeV 
# MF-MT number          : 5 - residual 
# first author          : R.C.Haight 
# institute             : (1USALRL): Lawrence Livermore National Laboratory, Livermore, CA 
# reference             : (J,PR/C,23,700,198102) 
# year                  : 1981 
# facility              : (ICTR): Insulated core transformer accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/109/10960.x4 
# nds                   : https://nds.iaea.org/EXFOR/10960
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      1.75000E+00      0.00000E+00      1.11000E-09      0.00000E+00
      2.25000E+00      0.00000E+00      1.04000E-09      0.00000E+00
      2.75000E+00      0.00000E+00      3.16000E-09      0.00000E+00
      3.25000E+00      0.00000E+00      2.58000E-09      9.32000E-10
      3.75000E+00      0.00000E+00      4.13000E-09      0.00000E+00
      4.25000E+00      0.00000E+00      6.63000E-09      0.00000E+00
      4.75000E+00      0.00000E+00      7.76000E-09      0.00000E+00
      5.25000E+00      0.00000E+00      9.00000E-09      0.00000E+00
      5.75000E+00      0.00000E+00      1.20000E-08      0.00000E+00
      6.25000E+00      0.00000E+00      9.39000E-09      0.00000E+00
      6.75000E+00      0.00000E+00      1.14000E-08      0.00000E+00
      7.25000E+00      0.00000E+00      1.07000E-08      0.00000E+00
      7.75000E+00      0.00000E+00      1.15000E-08      0.00000E+00
      8.50000E+00      0.00000E+00      9.54000E-09      0.00000E+00
      9.25000E+00      0.00000E+00      8.70000E-09      0.00000E+00
      1.00000E+01      0.00000E+00      8.19000E-09      2.70000E-09
      1.07500E+01      0.00000E+00      7.56000E-09      0.00000E+00
      1.12500E+01      0.00000E+00      5.61000E-09      0.00000E+00
      1.17500E+01      0.00000E+00      5.21000E-09      0.00000E+00
      1.22500E+01      0.00000E+00      3.89000E-09      0.00000E+00
      1.27500E+01      0.00000E+00      2.59000E-09      0.00000E+00
      1.32500E+01      0.00000E+00      1.55000E-09      0.00000E+00
