# entry-subent-pointer  : 10524--00-3-0 
# EXFOR reaction        : ['42-MO-96', ['N,EL'], '42-MO-96,,DA'] 
# incident energy       : 2.40e+00 MeV 
# target                : Mo-96 
# product               : Mo-96 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : A.B.Smith 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,NP/A,244,213,197506) 
# year                  : 1975 
# facility              : (DYNAM): Dynamitron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/105/10524.x4 
# nds                   : https://nds.iaea.org/EXFOR/10524
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.03200E+01      0.00000E+00      1.02500E+00      1.02500E-01
      2.62400E+01      0.00000E+00      8.55800E-01      8.55800E-02
      3.02000E+01      0.00000E+00      7.25400E-01      7.25400E-02
      3.61600E+01      0.00000E+00      5.71800E-01      5.71800E-02
      4.61100E+01      0.00000E+00      2.91500E-01      2.91500E-02
      5.20900E+01      0.00000E+00      2.29000E-01      2.29000E-02
      6.20600E+01      0.00000E+00      1.65000E-01      1.65000E-02
      6.80500E+01      0.00000E+00      1.43900E-01      1.43900E-02
      7.80200E+01      0.00000E+00      1.21900E-01      1.21900E-02
      8.40100E+01      0.00000E+00      1.10100E-01      1.10100E-02
      9.39900E+01      0.00000E+00      8.21900E-02      8.21900E-03
      9.99800E+01      0.00000E+00      6.70100E-02      6.70100E-03
      1.10000E+02      0.00000E+00      4.02400E-02      4.02400E-03
      1.15900E+02      0.00000E+00      3.45200E-02      4.00087E-03
      1.25900E+02      0.00000E+00      3.66700E-02      4.00070E-03
      1.31900E+02      0.00000E+00      4.49600E-02      4.49600E-03
      1.41900E+02      0.00000E+00      8.80800E-02      8.80800E-03
      1.46800E+02      0.00000E+00      1.09700E-01      1.09700E-02
      1.51800E+02      0.00000E+00      1.53100E-01      2.29650E-02
      1.56700E+02      0.00000E+00      1.79000E-01      2.68500E-02
