# entry-subent-pointer  : 10277-012-0 
# EXFOR reaction        : ['42-MO-96', ['N,TOT'], ',,SIG'] 
# incident energy       : 1.28e-01 MeV - 1.50e+00 MeV 
# target                : Mo-96 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : P.Lambropoulos 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,NP/A,201,1,197301) 
# year                  : 1973 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/102/10277.x4 
# nds                   : https://nds.iaea.org/EXFOR/10277
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.27700E-01      2.20000E-03      8.17590E+00      0.00000E+00
      1.29700E-01      2.20000E-03      8.11670E+00      0.00000E+00
      1.31700E-01      2.20000E-03      7.77670E+00      0.00000E+00
      1.33700E-01      2.20000E-03      7.54710E+00      0.00000E+00
      1.35700E-01      2.20000E-03      7.76860E+00      0.00000E+00
      1.37700E-01      2.20000E-03      7.78960E+00      0.00000E+00
      1.39700E-01      2.20000E-03      7.54990E+00      0.00000E+00
      1.41800E-01      2.10000E-03      7.56090E+00      0.00000E+00
      1.43800E-01      2.10000E-03      7.79250E+00      0.00000E+00
      1.45800E-01      2.10000E-03      7.58290E+00      0.00000E+00
      1.47800E-01      2.10000E-03      7.70410E+00      0.00000E+00
      1.49800E-01      2.10000E-03      7.42440E+00      0.00000E+00
      1.51800E-01      2.10000E-03      7.65590E+00      0.00000E+00
      1.53800E-01      2.10000E-03      7.72700E+00      0.00000E+00
      1.55800E-01      2.10000E-03      7.89840E+00      0.00000E+00
      1.57800E-01      2.10000E-03      8.22010E+00      0.00000E+00
      1.59800E-01      2.10000E-03      8.58200E+00      0.00000E+00
      1.61800E-01      2.10000E-03      8.69320E+00      0.00000E+00
      1.63800E-01      2.10000E-03      8.37330E+00      0.00000E+00
      1.65800E-01      2.10000E-03      8.08350E+00      0.00000E+00
      1.67900E-01      2.00000E-03      8.20400E+00      0.00000E+00
      1.69900E-01      2.00000E-03      8.33440E+00      0.00000E+00
      1.71900E-01      2.00000E-03      7.96360E+00      0.00000E+00
      1.73900E-01      2.00000E-03      8.34460E+00      0.00000E+00
      1.75900E-01      2.00000E-03      7.79330E+00      0.00000E+00
      1.77900E-01      2.00000E-03      8.05410E+00      0.00000E+00
      1.79900E-01      2.00000E-03      7.91380E+00      0.00000E+00
      1.81900E-01      2.00000E-03      7.90390E+00      0.00000E+00
      1.83900E-01      2.00000E-03      8.19470E+00      0.00000E+00
      1.85900E-01      2.00000E-03      8.60590E+00      0.00000E+00
      1.87900E-01      2.00000E-03      9.21750E+00      0.00000E+00
      1.89900E-01      2.00000E-03      8.71630E+00      0.00000E+00
      1.91900E-01      2.00000E-03      7.84420E+00      0.00000E+00
      1.93900E-01      2.00000E-03      7.63380E+00      0.00000E+00
      1.95900E-01      2.00000E-03      7.76420E+00      0.00000E+00
      1.97900E-01      2.00000E-03      7.81440E+00      0.00000E+00
      1.99900E-01      2.00000E-03      8.03510E+00      0.00000E+00
      2.02000E-01      1.89900E-03      7.96500E+00      0.00000E+00
      2.04000E-01      1.89900E-03      7.62420E+00      0.00000E+00
      2.06000E-01      1.89900E-03      7.61420E+00      0.00000E+00
      2.08000E-01      1.89900E-03      7.52400E+00      0.00000E+00
      2.10000E-01      1.89900E-03      7.20320E+00      0.00000E+00
      2.12000E-01      1.89900E-03      6.99260E+00      0.00000E+00
      2.14000E-01      1.89900E-03      7.25320E+00      0.00000E+00
      2.16000E-01      1.89900E-03      7.86480E+00      0.00000E+00
      2.18000E-01      1.89900E-03      8.13540E+00      0.00000E+00
      2.20000E-01      1.89900E-03      8.89730E+00      0.00000E+00
      2.22000E-01      1.89900E-03      9.00760E+00      0.00000E+00
      2.24000E-01      1.89900E-03      8.45610E+00      0.00000E+00
      2.26000E-01      1.89900E-03      7.77440E+00      0.00000E+00
      2.28000E-01      1.89900E-03      7.76440E+00      0.00000E+00
      2.30000E-01      1.89900E-03      8.06510E+00      0.00000E+00
      2.32000E-01      1.89900E-03      8.61650E+00      0.00000E+00
      2.34000E-01      1.89900E-03      9.25810E+00      0.00000E+00
      2.36000E-01      1.89900E-03      9.77940E+00      0.00000E+00
      2.38000E-01      1.89900E-03      9.62890E+00      0.00000E+00
      2.38000E-01      1.89900E-03      9.77930E+00      0.00000E+00
      2.40000E-01      1.89900E-03      9.41840E+00      0.00000E+00
      2.42000E-01      1.89900E-03      8.71660E+00      0.00000E+00
      2.44000E-01      1.89900E-03      9.08750E+00      0.00000E+00
      2.46100E-01      1.80000E-03      8.94710E+00      0.00000E+00
      2.48100E-01      1.80000E-03      8.67640E+00      0.00000E+00
      2.50100E-01      1.80000E-03      8.02480E+00      0.00000E+00
      2.52100E-01      1.80000E-03      6.82170E+00      0.00000E+00
      2.54100E-01      1.80000E-03      7.72390E+00      0.00000E+00
      2.56100E-01      1.80000E-03      8.26530E+00      0.00000E+00
      2.58100E-01      1.80000E-03      8.55600E+00      0.00000E+00
      2.60100E-01      1.80000E-03      8.83670E+00      0.00000E+00
      2.62100E-01      1.80000E-03      8.68630E+00      0.00000E+00
      2.64100E-01      1.80000E-03      8.21510E+00      0.00000E+00
      2.66100E-01      1.80000E-03      8.20500E+00      0.00000E+00
      2.68100E-01      1.80000E-03      8.66620E+00      0.00000E+00
      2.70100E-01      1.80000E-03      9.23760E+00      0.00000E+00
      2.72100E-01      1.80000E-03      8.82650E+00      0.00000E+00
      2.74100E-01      1.80000E-03      7.73380E+00      0.00000E+00
      2.76100E-01      1.80000E-03      7.18230E+00      0.00000E+00
      2.78100E-01      1.80000E-03      7.10210E+00      0.00000E+00
      2.80100E-01      1.80000E-03      7.97430E+00      0.00000E+00
      2.82100E-01      1.80000E-03      8.42540E+00      0.00000E+00
      2.84100E-01      1.80000E-03      8.08450E+00      0.00000E+00
      2.86100E-01      1.80000E-03      7.76370E+00      0.00000E+00
      2.88100E-01      1.80000E-03      7.52310E+00      0.00000E+00
      2.90100E-01      1.80000E-03      7.50300E+00      0.00000E+00
      2.92100E-01      1.80000E-03      7.88390E+00      0.00000E+00
      2.94100E-01      1.80000E-03      7.86380E+00      0.00000E+00
      2.96100E-01      1.80000E-03      8.21470E+00      0.00000E+00
      3.00100E-01      1.80000E-03      8.69570E+00      0.00000E+00
      3.02100E-01      1.80000E-03      8.31460E+00      0.00000E+00
      3.04100E-01      1.80000E-03      7.65280E+00      0.00000E+00
      3.08200E-01      1.69900E-03      8.50470E+00      0.00000E+00
      3.10200E-01      1.69900E-03      8.59480E+00      0.00000E+00
      3.12200E-01      1.69900E-03      8.91540E+00      0.00000E+00
      3.14200E-01      1.69900E-03      8.23360E+00      0.00000E+00
      3.16200E-01      1.69900E-03      7.76230E+00      0.00000E+00
      3.18200E-01      1.69900E-03      7.68190E+00      0.00000E+00
      3.20200E-01      1.69900E-03      7.87230E+00      0.00000E+00
      3.22200E-01      1.69900E-03      8.12280E+00      0.00000E+00
      3.24300E-01      1.60000E-03      8.72410E+00      0.00000E+00
      3.26300E-01      1.60000E-03      8.66390E+00      0.00000E+00
      3.28300E-01      1.60000E-03      8.01260E+00      0.00000E+00
      3.30300E-01      1.60000E-03      8.05300E+00      0.00000E+00
      3.32300E-01      1.60000E-03      6.61970E+00      0.00000E+00
      3.34300E-01      1.60000E-03      7.08120E+00      0.00000E+00
      3.36300E-01      1.60000E-03      7.94370E+00      0.00000E+00
      3.38300E-01      1.60000E-03      8.96660E+00      0.00000E+00
      3.40300E-01      1.60000E-03      9.96940E+00      0.00000E+00
      3.42300E-01      1.60000E-03      8.78680E+00      0.00000E+00
      3.44300E-01      1.60000E-03      9.10770E+00      0.00000E+00
      3.46300E-01      1.60000E-03      9.18710E+00      0.00000E+00
      3.48300E-01      1.60000E-03      7.77280E+00      0.00000E+00
