# entry-subent-pointer  : 11100-003-0 
# EXFOR reaction        : (7-N-14(N,P)6-C-14,,SIG) 
# incident energy       : 2.9000e-02 MeV - 3.5000e-01 MeV 
# target                : N-14 
# product               : C-14 
# level energy          : - 
# MF-MT number          : 3 - 103 
# first author          : Gibbons 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (J,PR,114,571,5904) 
# year                  : 1959 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/111/11100.x4 
# nds                   : https://nds.iaea.org/EXFOR/11100
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.9000E-02        0.0000E+00        1.7000E-03        3.4000E-05
        4.3000E-02        0.0000E+00        1.5000E-03        3.0000E-05
        5.7000E-02        0.0000E+00        1.5000E-03        3.0000E-05
        7.1000E-02        0.0000E+00        1.2500E-03        2.5000E-05
        1.0000E-01        0.0000E+00        1.6000E-03        3.2000E-05
        1.3000E-01        0.0000E+00        1.5000E-03        3.0000E-05
        1.6000E-01        0.0000E+00        1.1000E-03        2.2000E-05
        1.9000E-01        0.0000E+00        1.3000E-03        2.6000E-05
        2.2000E-01        0.0000E+00        1.2000E-03        2.4000E-05
        2.5000E-01        0.0000E+00        1.2000E-03        2.4000E-05
        2.8000E-01        0.0000E+00        1.2000E-03        2.4000E-05
        3.2000E-01        0.0000E+00        1.3000E-03        2.6000E-05
        3.5000E-01        0.0000E+00        1.3000E-03        2.6000E-05
