# entry-subent-pointer  : 11387-005-0 
# EXFOR reaction        : ['11-NA-23', ['N,TOT'], ',,SIG'] 
# incident energy       : 1.22e-01 MeV - 1.01e+00 MeV 
# target                : Na-23 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : P.H.Stelson 
# institute             : (1USAMIT): Massachusetts Institute of Technology, Cambridge, MA 
# reference             : (J,PR,88,1354,5212) 
# year                  : 1952 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/113/11387.x4 
# nds                   : https://nds.iaea.org/EXFOR/11387
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.22000E-01      0.00000E+00      3.36000E+00      0.00000E+00
      3.95000E-01      0.00000E+00      4.96000E+00      0.00000E+00
      3.99000E-01      0.00000E+00      4.90000E+00      0.00000E+00
      3.99000E-01      0.00000E+00      4.60000E+00      0.00000E+00
      4.02000E-01      0.00000E+00      4.40000E+00      0.00000E+00
      4.04000E-01      0.00000E+00      4.34000E+00      0.00000E+00
      4.05000E-01      0.00000E+00      4.30000E+00      0.00000E+00
      4.07000E-01      0.00000E+00      3.84000E+00      0.00000E+00
      4.10000E-01      0.00000E+00      3.78000E+00      0.00000E+00
      4.14000E-01      0.00000E+00      3.50000E+00      0.00000E+00
      4.15000E-01      0.00000E+00      3.22000E+00      0.00000E+00
      4.18000E-01      0.00000E+00      3.38000E+00      0.00000E+00
      4.19000E-01      0.00000E+00      3.28000E+00      0.00000E+00
      4.22000E-01      0.00000E+00      3.24000E+00      0.00000E+00
      4.23000E-01      0.00000E+00      3.34000E+00      0.00000E+00
      4.27000E-01      0.00000E+00      3.64000E+00      0.00000E+00
      4.28000E-01      0.00000E+00      3.43000E+00      0.00000E+00
      4.28000E-01      0.00000E+00      3.24000E+00      0.00000E+00
      4.32000E-01      0.00000E+00      3.40000E+00      0.00000E+00
      4.34000E-01      0.00000E+00      3.26000E+00      0.00000E+00
      4.35000E-01      0.00000E+00      3.56000E+00      0.00000E+00
      4.37000E-01      0.00000E+00      3.18000E+00      0.00000E+00
      4.39000E-01      0.00000E+00      3.32000E+00      0.00000E+00
      4.45000E-01      0.00000E+00      4.74000E+00      0.00000E+00
      4.46000E-01      0.00000E+00      4.84000E+00      0.00000E+00
      4.49000E-01      0.00000E+00      5.32000E+00      0.00000E+00
      4.52000E-01      0.00000E+00      4.96000E+00      0.00000E+00
      4.53000E-01      0.00000E+00      3.94000E+00      0.00000E+00
      4.56000E-01      0.00000E+00      4.14000E+00      0.00000E+00
      4.58000E-01      0.00000E+00      3.50000E+00      0.00000E+00
      4.60000E-01      0.00000E+00      3.28000E+00      0.00000E+00
      4.61000E-01      0.00000E+00      3.14000E+00      0.00000E+00
      4.63000E-01      0.00000E+00      2.90000E+00      0.00000E+00
      4.66000E-01      0.00000E+00      2.84000E+00      0.00000E+00
      4.69000E-01      0.00000E+00      2.84000E+00      0.00000E+00
      4.72000E-01      0.00000E+00      2.90000E+00      0.00000E+00
      4.73000E-01      0.00000E+00      2.66000E+00      0.00000E+00
      4.75000E-01      0.00000E+00      2.82000E+00      0.00000E+00
      4.76000E-01      0.00000E+00      2.72000E+00      0.00000E+00
      4.80000E-01      0.00000E+00      2.64000E+00      0.00000E+00
      4.81000E-01      0.00000E+00      2.52000E+00      0.00000E+00
      4.84000E-01      0.00000E+00      2.60000E+00      0.00000E+00
      4.84000E-01      0.00000E+00      2.32000E+00      0.00000E+00
      4.85000E-01      0.00000E+00      2.48000E+00      0.00000E+00
      4.88000E-01      0.00000E+00      2.70000E+00      0.00000E+00
      4.88000E-01      0.00000E+00      2.56000E+00      0.00000E+00
      4.89000E-01      0.00000E+00      2.24000E+00      0.00000E+00
      4.89000E-01      0.00000E+00      2.32000E+00      0.00000E+00
      4.90000E-01      0.00000E+00      2.50000E+00      0.00000E+00
      4.93000E-01      0.00000E+00      2.36000E+00      0.00000E+00
      4.93000E-01      0.00000E+00      2.26000E+00      0.00000E+00
      4.96000E-01      0.00000E+00      2.36000E+00      0.00000E+00
      4.97000E-01      0.00000E+00      2.30000E+00      2.07000E-01
      5.02000E-01      0.00000E+00      2.30000E+00      2.07000E-01
      5.04000E-01      0.00000E+00      2.20000E+00      1.98000E-01
      5.06000E-01      0.00000E+00      2.10000E+00      2.10000E-01
      5.08000E-01      0.00000E+00      2.20000E+00      1.98000E-01
      5.10000E-01      0.00000E+00      2.00000E+00      2.00000E-01
      5.12000E-01      0.00000E+00      2.00000E+00      2.00000E-01
      5.15000E-01      0.00000E+00      2.00000E+00      2.00000E-01
      5.17000E-01      0.00000E+00      2.00000E+00      2.00000E-01
      5.19000E-01      0.00000E+00      2.00000E+00      2.00000E-01
      5.20000E-01      0.00000E+00      2.10000E+00      2.10000E-01
      5.23000E-01      0.00000E+00      1.90000E+00      2.09000E-01
      5.25000E-01      0.00000E+00      2.00000E+00      2.00000E-01
      5.28000E-01      0.00000E+00      2.00000E+00      2.00000E-01
      5.30000E-01      0.00000E+00      2.10000E+00      2.10000E-01
      5.32000E-01      0.00000E+00      2.50000E+00      2.00000E-01
      5.34000E-01      0.00000E+00      2.50000E+00      2.00000E-01
      5.36000E-01      0.00000E+00      2.90000E+00      2.03000E-01
      5.38000E-01      0.00000E+00      3.00000E+00      2.10000E-01
      5.40000E-01      0.00000E+00      3.30000E+00      1.98000E-01
      5.43000E-01      0.00000E+00      3.60000E+00      2.16000E-01
      5.46000E-01      0.00000E+00      3.70000E+00      1.85000E-01
      5.48000E-01      0.00000E+00      3.70000E+00      1.85000E-01
