# entry-subent-pointer  : 21338-003-0 
# EXFOR reaction        : ['60-ND-144', ['N,EL'], '60-ND-144,,DA'] 
# incident energy       : 7.0000e+00 MeV 
# target                : Nd-144 
# product               : Nd-144 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : G.Haouat 
# institute             : (2FR BRC): CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon 
# reference             : (J,PR/C,20,78,197907) 
# year                  : 1979 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/213/21338.x4 
# nds                   : https://nds.iaea.org/EXFOR/21338
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.01000E+01      5.00000E+00      1.63300E+00      9.96130E-02
      2.52000E+01      5.00000E+00      7.83400E-01      5.01376E-02
      3.02000E+01      5.00000E+00      2.50100E-01      1.52561E-02
      3.52000E+01      5.00000E+00      5.76400E-02      5.82164E-03
      4.03000E+01      5.00000E+00      6.02000E-02      8.12700E-03
      4.53000E+01      5.00000E+00      1.46900E-01      8.37330E-03
      5.03000E+01      5.00000E+00      1.94000E-01      1.08640E-02
      5.53000E+01      5.00000E+00      2.18400E-01      1.20120E-02
      6.03000E+01      5.00000E+00      1.91500E-01      1.11070E-02
      6.54000E+01      5.00000E+00      1.19500E-01      7.05050E-03
      7.04000E+01      5.00000E+00      6.30300E-02      4.09695E-03
      7.54000E+01      5.00000E+00      2.34100E-02      1.91962E-03
      8.04000E+01      5.00000E+00      1.33500E-02      1.16145E-03
      8.54000E+01      5.00000E+00      2.23600E-02      1.92296E-03
      9.04000E+01      5.00000E+00      4.19500E-02      2.72675E-03
      9.54000E+01      5.00000E+00      6.54200E-02      4.44856E-03
      1.00400E+02      5.00000E+00      6.70300E-02      4.02180E-03
      1.05400E+02      5.00000E+00      6.42800E-02      3.53540E-03
      1.10400E+02      5.00000E+00      5.43400E-02      3.80380E-03
      1.15400E+02      5.00000E+00      3.59600E-02      2.30144E-03
      1.20300E+02      5.00000E+00      1.59300E-02      1.59300E-03
      1.25300E+02      5.00000E+00      8.69000E-03      6.95200E-04
      1.30300E+02      5.00000E+00      7.89000E-03      8.83680E-04
      1.35300E+02      5.00000E+00      9.98000E-03      1.04790E-03
      1.40300E+02      5.00000E+00      1.37400E-02      1.26408E-03
      1.45200E+02      5.00000E+00      1.67700E-02      1.19067E-03
      1.50200E+02      5.00000E+00      1.91400E-02      1.78002E-03
      1.55200E+02      5.00000E+00      2.66900E-02      1.86830E-03
      1.60100E+02      5.00000E+00      2.89600E-02      2.11408E-03
