# entry-subent-pointer  : 20118-005-0 
# EXFOR reaction        : ['60-ND-145', ['N,TOT'], ',,SIG'] 
# incident energy       : 3.06e-05 MeV - 2.50e-02 MeV 
# target                : Nd-145 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : H.Tellier 
# institute             : (2FR SAC): CEA/Saclay 
# reference             : ((R,CEA-N-1459,197108)=(R,EANDC(E)-142L,197108)=(R,INDC(FR)-4L,1971)) 
# year                  : 1971 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/201/20118.x4 
# nds                   : https://nds.iaea.org/EXFOR/20118
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.06270E-05      0.00000E+00      8.63400E+00      0.00000E+00
      3.06340E-05      0.00000E+00      8.17600E+00      0.00000E+00
      3.06410E-05      0.00000E+00      6.17800E+00      0.00000E+00
      3.06490E-05      0.00000E+00      7.14020E+00      0.00000E+00
      3.06560E-05      0.00000E+00      6.67840E+00      0.00000E+00
      3.06630E-05      0.00000E+00      5.88760E+00      0.00000E+00
      3.06700E-05      0.00000E+00      6.78940E+00      0.00000E+00
      3.06770E-05      0.00000E+00      9.25810E+00      0.00000E+00
      3.06840E-05      0.00000E+00      9.93370E+00      0.00000E+00
      3.06910E-05      0.00000E+00      8.44820E+00      0.00000E+00
      3.06980E-05      0.00000E+00      6.10810E+00      0.00000E+00
      3.07050E-05      0.00000E+00      6.99630E+00      0.00000E+00
      3.07120E-05      0.00000E+00      7.62870E+00      0.00000E+00
      3.07190E-05      0.00000E+00      5.61310E+00      0.00000E+00
      3.07260E-05      0.00000E+00      6.81460E+00      0.00000E+00
      3.07330E-05      0.00000E+00      8.48990E+00      0.00000E+00
      3.07400E-05      0.00000E+00      8.70180E+00      0.00000E+00
      3.07470E-05      0.00000E+00      1.13780E+01      0.00000E+00
      3.07540E-05      0.00000E+00      7.28750E+00      0.00000E+00
      3.07610E-05      0.00000E+00      6.78510E+00      0.00000E+00
      3.07680E-05      0.00000E+00      8.35800E+00      0.00000E+00
      3.07750E-05      0.00000E+00      8.62520E+00      0.00000E+00
      3.07830E-05      0.00000E+00      8.95220E+00      0.00000E+00
      3.07900E-05      0.00000E+00      5.98400E+00      0.00000E+00
      3.07970E-05      0.00000E+00      7.17280E+00      0.00000E+00
      3.08040E-05      0.00000E+00      8.51040E+00      0.00000E+00
      3.08110E-05      0.00000E+00      9.92930E+00      0.00000E+00
      3.08180E-05      0.00000E+00      7.48010E+00      0.00000E+00
      3.08250E-05      0.00000E+00      9.12140E+00      0.00000E+00
      3.08320E-05      0.00000E+00      9.45010E+00      0.00000E+00
      3.08390E-05      0.00000E+00      6.56090E+00      0.00000E+00
      3.08460E-05      0.00000E+00      8.41940E+00      0.00000E+00
      3.08530E-05      0.00000E+00      8.88580E+00      0.00000E+00
      3.08610E-05      0.00000E+00      7.18290E+00      0.00000E+00
      3.08680E-05      0.00000E+00      8.28850E+00      0.00000E+00
      3.08750E-05      0.00000E+00      6.16190E+00      0.00000E+00
      3.08820E-05      0.00000E+00      7.04490E+00      0.00000E+00
      3.08890E-05      0.00000E+00      9.25830E+00      0.00000E+00
      3.08960E-05      0.00000E+00      1.06860E+01      0.00000E+00
      3.09030E-05      0.00000E+00      7.33540E+00      0.00000E+00
      3.09100E-05      0.00000E+00      9.29860E+00      0.00000E+00
      3.09170E-05      0.00000E+00      9.00930E+00      0.00000E+00
      3.09250E-05      0.00000E+00      8.27250E+00      0.00000E+00
      3.09320E-05      0.00000E+00      7.68360E+00      0.00000E+00
      3.09390E-05      0.00000E+00      8.07470E+00      0.00000E+00
      3.09460E-05      0.00000E+00      5.95640E+00      0.00000E+00
      3.09530E-05      0.00000E+00      8.16960E+00      0.00000E+00
      3.09600E-05      0.00000E+00      8.26890E+00      0.00000E+00
      3.09670E-05      0.00000E+00      6.35280E+00      0.00000E+00
      3.09750E-05      0.00000E+00      6.82010E+00      0.00000E+00
      3.09820E-05      0.00000E+00      7.73680E+00      0.00000E+00
      3.09890E-05      0.00000E+00      1.11110E+01      0.00000E+00
      3.09960E-05      0.00000E+00      7.48570E+00      0.00000E+00
      3.10030E-05      0.00000E+00      7.51300E+00      0.00000E+00
      3.10100E-05      0.00000E+00      9.47250E+00      0.00000E+00
      3.10170E-05      0.00000E+00      6.51690E+00      0.00000E+00
      3.10250E-05      0.00000E+00      8.40890E+00      0.00000E+00
      3.10320E-05      0.00000E+00      7.58080E+00      0.00000E+00
      3.10390E-05      0.00000E+00      1.01450E+01      0.00000E+00
      3.10460E-05      0.00000E+00      7.87150E+00      0.00000E+00
      3.10530E-05      0.00000E+00      5.34740E+00      0.00000E+00
      3.10600E-05      0.00000E+00      5.95640E+00      0.00000E+00
      3.10680E-05      0.00000E+00      8.76860E+00      0.00000E+00
      3.10750E-05      0.00000E+00      7.84290E+00      0.00000E+00
      3.10820E-05      0.00000E+00      6.96920E+00      0.00000E+00
      3.10890E-05      0.00000E+00      9.65290E+00      0.00000E+00
      3.10960E-05      0.00000E+00      7.08000E+00      0.00000E+00
      3.11040E-05      0.00000E+00      9.53570E+00      0.00000E+00
      3.11110E-05      0.00000E+00      7.13480E+00      0.00000E+00
      3.11180E-05      0.00000E+00      7.10850E+00      0.00000E+00
      3.11250E-05      0.00000E+00      7.01140E+00      0.00000E+00
      3.11320E-05      0.00000E+00      6.72210E+00      0.00000E+00
      3.11400E-05      0.00000E+00      7.28740E+00      0.00000E+00
      3.11470E-05      0.00000E+00      9.45000E+00      0.00000E+00
      3.11540E-05      0.00000E+00      6.58350E+00      0.00000E+00
      3.11610E-05      0.00000E+00      7.77170E+00      0.00000E+00
      3.11680E-05      0.00000E+00      6.74900E+00      0.00000E+00
      3.11760E-05      0.00000E+00      7.17580E+00      0.00000E+00
      3.11830E-05      0.00000E+00      7.77380E+00      0.00000E+00
      3.11900E-05      0.00000E+00      8.68280E+00      0.00000E+00
      3.11970E-05      0.00000E+00      8.44440E+00      0.00000E+00
      3.12040E-05      0.00000E+00      6.67890E+00      0.00000E+00
      3.12120E-05      0.00000E+00      7.71330E+00      0.00000E+00
      3.12190E-05      0.00000E+00      7.31040E+00      0.00000E+00
      3.12260E-05      0.00000E+00      8.35350E+00      0.00000E+00
      3.12330E-05      0.00000E+00      7.72650E+00      0.00000E+00
      3.12410E-05      0.00000E+00      6.78700E+00      0.00000E+00
      3.12480E-05      0.00000E+00      5.79410E+00      0.00000E+00
      3.12550E-05      0.00000E+00      7.76540E+00      0.00000E+00
      3.12620E-05      0.00000E+00      7.24040E+00      0.00000E+00
      3.12700E-05      0.00000E+00      6.74530E+00      0.00000E+00
      3.12770E-05      0.00000E+00      9.33710E+00      0.00000E+00
      3.12840E-05      0.00000E+00      6.73220E+00      0.00000E+00
      3.12910E-05      0.00000E+00      7.41870E+00      0.00000E+00
      3.12990E-05      0.00000E+00      8.53390E+00      0.00000E+00
      3.13060E-05      0.00000E+00      9.29320E+00      0.00000E+00
      3.13130E-05      0.00000E+00      9.07970E+00      0.00000E+00
      3.13200E-05      0.00000E+00      8.09850E+00      0.00000E+00
      3.13280E-05      0.00000E+00      9.53040E+00      0.00000E+00
      3.13350E-05      0.00000E+00      8.36290E+00      0.00000E+00
      3.13420E-05      0.00000E+00      6.97740E+00      0.00000E+00
      3.13490E-05      0.00000E+00      6.36300E+00      0.00000E+00
      3.13570E-05      0.00000E+00      9.46080E+00      0.00000E+00
      3.13640E-05      0.00000E+00      7.70520E+00      0.00000E+00
      3.13710E-05      0.00000E+00      5.65990E+00      0.00000E+00
      3.13790E-05      0.00000E+00      7.66370E+00      0.00000E+00
      3.13860E-05      0.00000E+00      8.19010E+00      0.00000E+00
      3.13930E-05      0.00000E+00      1.03970E+01      0.00000E+00
      3.14000E-05      0.00000E+00      8.64890E+00      0.00000E+00
      3.14080E-05      0.00000E+00      7.44230E+00      0.00000E+00
      3.14150E-05      0.00000E+00      6.41600E+00      0.00000E+00
      3.14220E-05      0.00000E+00      9.12400E+00      0.00000E+00
      3.14300E-05      0.00000E+00      5.84860E+00      0.00000E+00
      3.14370E-05      0.00000E+00      5.88900E+00      0.00000E+00
      3.14440E-05      0.00000E+00      6.60640E+00      0.00000E+00
      3.14520E-05      0.00000E+00      4.35640E+00      0.00000E+00
      3.14590E-05      0.00000E+00      6.44260E+00      0.00000E+00
      3.14660E-05      0.00000E+00      7.92080E+00      0.00000E+00
      3.14730E-05      0.00000E+00      8.28040E+00      0.00000E+00
      3.14810E-05      0.00000E+00      6.21220E+00      0.00000E+00
      3.14880E-05      0.00000E+00      7.38230E+00      0.00000E+00
      3.14950E-05      0.00000E+00      8.40560E+00      0.00000E+00
      3.15030E-05      0.00000E+00      8.17020E+00      0.00000E+00
      3.15100E-05      0.00000E+00      6.99960E+00      0.00000E+00
      3.15170E-05      0.00000E+00      9.76730E+00      0.00000E+00
      3.15250E-05      0.00000E+00      7.96000E+00      0.00000E+00
      3.15320E-05      0.00000E+00      7.05340E+00      0.00000E+00
      3.15390E-05      0.00000E+00      6.82080E+00      0.00000E+00
      3.15470E-05      0.00000E+00      7.51900E+00      0.00000E+00
      3.15540E-05      0.00000E+00      7.72470E+00      0.00000E+00
      3.15610E-05      0.00000E+00      7.40860E+00      0.00000E+00
      3.15690E-05      0.00000E+00      8.37310E+00      0.00000E+00
      3.15760E-05      0.00000E+00      7.36750E+00      0.00000E+00
      3.15830E-05      0.00000E+00      8.41860E+00      0.00000E+00
      3.15910E-05      0.00000E+00      6.45530E+00      0.00000E+00
      3.15980E-05      0.00000E+00      8.04460E+00      0.00000E+00
      3.16060E-05      0.00000E+00      8.08700E+00      0.00000E+00
      3.16130E-05      0.00000E+00      6.57800E+00      0.00000E+00
      3.16200E-05      0.00000E+00      7.50650E+00      0.00000E+00
      3.16280E-05      0.00000E+00      8.83840E+00      0.00000E+00
      3.16350E-05      0.00000E+00      7.30000E+00      0.00000E+00
      3.16420E-05      0.00000E+00      8.48630E+00      0.00000E+00
      3.16500E-05      0.00000E+00      4.50530E+00      0.00000E+00
      3.16570E-05      0.00000E+00      7.09440E+00      0.00000E+00
      3.16650E-05      0.00000E+00      7.68270E+00      0.00000E+00
      3.16720E-05      0.00000E+00      7.18910E+00      0.00000E+00
      3.16790E-05      0.00000E+00      8.52610E+00      0.00000E+00
      3.16870E-05      0.00000E+00      8.68140E+00      0.00000E+00
      3.16940E-05      0.00000E+00      6.13110E+00      0.00000E+00
      3.17020E-05      0.00000E+00      8.58380E+00      0.00000E+00
      3.17090E-05      0.00000E+00      9.67500E+00      0.00000E+00
      3.17160E-05      0.00000E+00      7.39330E+00      0.00000E+00
      3.17240E-05      0.00000E+00      7.98300E+00      0.00000E+00
      3.17310E-05      0.00000E+00      9.78230E+00      0.00000E+00
      3.17390E-05      0.00000E+00      8.82740E+00      0.00000E+00
      3.17460E-05      0.00000E+00      6.43990E+00      0.00000E+00
      3.17530E-05      0.00000E+00      7.18440E+00      0.00000E+00
      3.17610E-05      0.00000E+00      8.73840E+00      0.00000E+00
      3.17680E-05      0.00000E+00      7.16940E+00      0.00000E+00
      3.17760E-05      0.00000E+00      7.33330E+00      0.00000E+00
      3.17830E-05      0.00000E+00      8.99960E+00      0.00000E+00
      3.17900E-05      0.00000E+00      7.86540E+00      0.00000E+00
