# entry-subent-pointer  : 40937-004-0 
# EXFOR reaction        : ['28-NI-0', ['N,EL'], '28-NI-0,,SIG'] 
# incident energy       : 2.5000e-03 MeV - 4.4200e-01 MeV 
# target                : Ni-0 
# product               : Ni-0 
# level energy          : - 
# MF-MT number          : 3 - 2 
# first author          : Zo-In-Ok 
# institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
# reference             : (R,JINR-P3-85-133,198504) 
# year                  : 1985 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/409/40937.x4 
# nds                   : https://nds.iaea.org/EXFOR/40937
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.42000E-01      0.00000E+00      4.68000E+00      0.00000E+00
      3.25000E-01      0.00000E+00      5.41000E+00      0.00000E+00
      2.53000E-01      0.00000E+00      5.66000E+00      0.00000E+00
      2.01000E-01      0.00000E+00      5.82000E+00      0.00000E+00
      1.64000E-01      0.00000E+00      5.01000E+00      0.00000E+00
      1.38000E-01      0.00000E+00      5.59000E+00      0.00000E+00
      1.20000E-01      0.00000E+00      5.52000E+00      0.00000E+00
      9.60000E-02      0.00000E+00      7.37000E+00      0.00000E+00
      7.20000E-02      0.00000E+00      1.17100E+01      0.00000E+00
      5.84000E-02      0.00000E+00      6.96000E+00      0.00000E+00
      4.83000E-02      0.00000E+00      7.63000E+00      0.00000E+00
      4.11000E-02      0.00000E+00      9.13000E+00      0.00000E+00
      2.94000E-02      0.00000E+00      1.39900E+01      0.00000E+00
      2.31000E-02      0.00000E+00      1.65800E+01      0.00000E+00
      1.80000E-02      0.00000E+00      3.82300E+01      0.00000E+00
      1.43000E-02      0.00000E+00      4.17500E+01      0.00000E+00
      1.17000E-02      0.00000E+00      2.73500E+01      0.00000E+00
      9.00000E-03      0.00000E+00      1.36100E+01      0.00000E+00
      6.60000E-03      0.00000E+00      1.44500E+01      0.00000E+00
      5.00000E-03      0.00000E+00      2.50500E+01      0.00000E+00
      2.50000E-03      0.00000E+00      1.66700E+01      0.00000E+00
