# entry-subent-pointer  : 21947-002-2 
# EXFOR reaction        : ['28-NI-0', ['N,TOT'], ',,SIG'] 
# incident energy       : 2.5000e-02 MeV - 9.5000e-01 MeV 
# target                : Ni-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : G.D.James 
# institute             : (2UK HAR): Atomic Energy Research Establishment (AERE), Harwell 
# reference             : (C,75KIEV,4,3,75) 
# year                  : 1975 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/219/21947.x4 
# nds                   : https://nds.iaea.org/EXFOR/21947
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.50000E-02      0.00000E+00      1.37400E+01      4.80000E-02
      3.50000E-02      0.00000E+00      9.99500E+00      2.30000E-02
      4.50000E-02      0.00000E+00      6.86300E+00      1.50000E-02
      5.50000E-02      0.00000E+00      3.39000E+00      1.20000E-02
      7.50000E-02      0.00000E+00      9.00500E+00      1.50000E-02
      8.50000E-02      0.00000E+00      6.56800E+00      1.20000E-02
      9.50000E-02      0.00000E+00      5.31000E+00      1.10000E-02
      2.50000E-01      0.00000E+00      5.49900E+00      4.10000E-03
      3.50000E-01      0.00000E+00      4.27700E+00      4.50000E-03
      4.50000E-01      0.00000E+00      3.80800E+00      5.80000E-03
      5.50000E-01      0.00000E+00      3.13700E+00      5.50000E-03
      6.50000E-01      0.00000E+00      3.72700E+00      6.60000E-03
      7.50000E-01      0.00000E+00      2.94800E+00      7.20000E-03
      8.50000E-01      0.00000E+00      3.20100E+00      9.00000E-03
      9.50000E-01      0.00000E+00      3.26100E+00      1.20000E-02
