# entry-subent-pointer  : 12930--00-3-0 
# EXFOR reaction        : ['28-NI-58', ['N,INL'], '28-NI-58,PAR,DA'] 
# incident energy       : 7.90e+00 MeV - 1.39e+01 MeV 
# target                : Ni-58 
# product               : Ni-58 
# level energy          : 1.45e+00 MeV 
# MF-MT number          : 4 - ['51'] 
# first author          : P.P.Guss 
# institute             : (1USATNL): Triangle Universities Nuclear Laboratory , Durham, NC 
# reference             : (J,NP/A,438,187,8505) 
# year                  : 1985 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/129/12930.x4 
# nds                   : https://nds.iaea.org/EXFOR/12930
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.55600E+01      0.00000E+00      1.68800E-02      3.74000E-03
      3.05200E+01      0.00000E+00      1.32900E-02      1.89000E-03
      3.55100E+01      0.00000E+00      1.07100E-02      1.13000E-03
      4.05100E+01      0.00000E+00      9.59000E-03      8.60000E-04
      4.55100E+01      0.00000E+00      9.50000E-03      9.90000E-04
      5.05300E+01      0.00000E+00      7.43000E-03      1.63000E-03
      5.55600E+01      0.00000E+00      6.40000E-03      9.30000E-04
      6.06100E+01      0.00000E+00      5.11000E-03      8.80000E-04
      6.56700E+01      0.00000E+00      5.37000E-03      1.25000E-03
      7.07400E+01      0.00000E+00      4.53000E-03      1.33000E-03
      7.58000E+01      0.00000E+00      4.51000E-03      8.40000E-04
      8.08500E+01      0.00000E+00      3.90000E-03      1.14000E-03
      8.18600E+01      0.00000E+00      4.44000E-03      1.12000E-03
      8.58700E+01      0.00000E+00      4.54000E-03      8.90000E-04
      9.08700E+01      0.00000E+00      4.80000E-03      1.00000E-03
      9.58400E+01      0.00000E+00      4.80000E-03      9.10000E-04
      1.00790E+02      0.00000E+00      4.72000E-03      1.21000E-03
      1.05730E+02      0.00000E+00      4.66000E-03      8.20000E-04
      1.10660E+02      0.00000E+00      4.58000E-03      9.40000E-04
      1.15590E+02      0.00000E+00      4.89000E-03      9.10000E-04
      1.20520E+02      0.00000E+00      5.46000E-03      1.21000E-03
      1.25460E+02      0.00000E+00      4.14000E-03      7.90000E-04
      1.30410E+02      0.00000E+00      3.94000E-03      7.40000E-04
      1.35380E+02      0.00000E+00      3.57000E-03      6.00000E-04
      1.40370E+02      0.00000E+00      3.87000E-03      9.10000E-04
      1.45340E+02      0.00000E+00      2.99000E-03      8.40000E-04
      1.50270E+02      0.00000E+00      4.68000E-03      8.00000E-04
      1.53210E+02      0.00000E+00      3.79000E-03      9.40000E-04
