# entry-subent-pointer  : 10879--00-3-0 
# EXFOR reaction        : ['28-NI-60', ['N,EL'], '28-NI-60,,DA'] 
# incident energy       : 3.70e+00 MeV 
# target                : Ni-60 
# product               : Ni-60 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : A.Smith 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,NSE,72,293,7912) 
# year                  : 1979 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/108/10879.x4 
# nds                   : https://nds.iaea.org/EXFOR/10879
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.02900E+01      0.00000E+00      1.01700E+00      5.08500E-02
      2.52300E+01      0.00000E+00      8.59300E-01      4.29650E-02
      3.01800E+01      0.00000E+00      6.97700E-01      3.48850E-02
      3.51500E+01      0.00000E+00      5.41500E-01      2.70750E-02
      4.61000E+01      0.00000E+00      2.58200E-01      1.29100E-02
      5.10900E+01      0.00000E+00      1.65700E-01      8.28500E-03
      6.30500E+01      0.00000E+00      4.64900E-02      2.32450E-03
      6.80400E+01      0.00000E+00      3.04500E-02      1.52250E-03
      7.90200E+01      0.00000E+00      3.56000E-02      1.78000E-03
      8.40100E+01      0.00000E+00      4.70800E-02      2.35400E-03
      9.59900E+01      0.00000E+00      7.43400E-02      3.71700E-03
      1.01000E+02      0.00000E+00      8.11700E-02      4.05850E-03
      1.12000E+02      0.00000E+00      8.08100E-02      4.04050E-03
      1.16900E+02      0.00000E+00      7.49800E-02      3.74900E-03
      1.28900E+02      0.00000E+00      5.39500E-02      2.69750E-03
      1.33900E+02      0.00000E+00      4.58000E-02      2.29000E-03
      1.44800E+02      0.00000E+00      3.61200E-02      1.80600E-03
      1.49800E+02      0.00000E+00      3.63900E-02      1.81950E-03
      1.54800E+02      0.00000E+00      4.00600E-02      2.00300E-03
      1.59700E+02      0.00000E+00      4.53700E-02      2.26850E-03
