# entry-subent-pointer  : 11207-006-0 
# EXFOR reaction        : ['8-O-0', ['N,EL'], '8-O-0,,DA'] 
# incident energy       : 3.65e+00 MeV 
# target                : O-0 
# product               : O-0 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : D.D.Phillips 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (P,WASH-1028,29,196004) 
# year                  : 1960 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/112/11207.x4 
# nds                   : https://nds.iaea.org/EXFOR/11207
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      9.32000E-01      0.00000E+00      7.82600E-01      1.58000E-02
      8.95000E-01      0.00000E+00      6.90500E-01      1.51000E-02
      8.50000E-01      0.00000E+00      6.27300E-01      1.26000E-02
      6.75000E-01      0.00000E+00      3.81100E-01      5.60000E-03
      4.52000E-01      0.00000E+00      2.23200E-01      4.80000E-03
      2.85000E-01      0.00000E+00      1.49800E-01      5.20000E-03
      1.12000E-01      0.00000E+00      1.28300E-01      3.40000E-03
     -6.30000E-02      0.00000E+00      1.40400E-01      4.20000E-03
     -2.35000E-01      0.00000E+00      1.53100E-01      4.40000E-03
     -3.97000E-01      0.00000E+00      1.59100E-01      4.60000E-03
     -5.47000E-01      0.00000E+00      1.51000E-01      3.80000E-03
     -6.79000E-01      0.00000E+00      1.45400E-01      3.90000E-03
     -7.91000E-01      0.00000E+00      1.66300E-01      4.90000E-03
     -8.81000E-01      0.00000E+00      1.47400E-01      4.40000E-03
