# entry-subent-pointer  : 13578-003-0 
# EXFOR reaction        : ['82-PB-207', ['N,INL'], '82-PB-207,PAR,DA'] 
# incident energy       : 2.5000e+00 MeV 
# target                : Pb-207 
# product               : Pb-207 
# level energy          : 8.9400e-01 MeV 
# MF-MT number          : 4 - 52 
# first author          : L.Cranberg 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,PR,159,969,196707) 
# year                  : 1967 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/135/13578.x4 
# nds                   : https://nds.iaea.org/EXFOR/13578
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -8.61000E-01      5.00000E-03      4.68100E-02      6.90000E-04
     -7.59000E-01      5.00000E-03      4.26300E-02      7.30000E-04
     -6.49000E-01      5.00000E-03      3.82700E-02      6.90000E-04
     -3.45000E-01      5.00000E-03      3.37500E-02      6.50000E-04
     -1.00000E-02      5.00000E-03      3.17600E-02      7.30000E-04
     -4.00000E-03      5.00000E-03      3.07500E-02      6.50000E-04
      3.31000E-01      5.00000E-03      3.56100E-02      6.90000E-04
      6.28000E-01      5.00000E-03      4.16400E-02      6.90000E-04
      7.44000E-01      5.00000E-03      4.55100E-02      7.30000E-04
      8.30000E-01      5.00000E-03      4.96000E-02      7.30000E-04
