# entry-subent-pointer  : 10412-023-0 
# EXFOR reaction        : ['82-PB-208', ['N,INL'], '82-PB-208,PAR,DA'] 
# incident energy       : 5.5000e+00 MeV - 8.5000e+00 MeV 
# target                : Pb-208 
# product               : Pb-208 
# level energy          : 3.9200e+00 MeV 
# MF-MT number          : 4 - 55 
# first author          : W.E.Kinney 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (R,ORNL-4909,197406) 
# year                  : 1974 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/104/10412.x4 
# nds                   : https://nds.iaea.org/EXFOR/10412
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.77600E+01      0.00000E+00      9.90400E-02      0.00000E+00
      3.53300E+01      0.00000E+00      1.00050E-01      0.00000E+00
      4.28800E+01      0.00000E+00      9.94800E-02      0.00000E+00
      4.79200E+01      0.00000E+00      9.62500E-02      0.00000E+00
      5.54700E+01      0.00000E+00      1.14730E-01      0.00000E+00
      6.29900E+01      0.00000E+00      1.04760E-01      0.00000E+00
      7.05300E+01      0.00000E+00      1.04710E-01      0.00000E+00
      7.80500E+01      0.00000E+00      1.09810E-01      0.00000E+00
      8.55600E+01      0.00000E+00      1.06150E-01      0.00000E+00
      9.30700E+01      0.00000E+00      1.09940E-01      0.00000E+00
      1.00560E+02      0.00000E+00      1.06320E-01      0.00000E+00
      1.08040E+02      0.00000E+00      1.04330E-01      0.00000E+00
      1.19000E+02      0.00000E+00      1.03450E-01      0.00000E+00
      1.26460E+02      0.00000E+00      1.04070E-01      0.00000E+00
      1.33910E+02      0.00000E+00      9.18300E-02      0.00000E+00
      8.30000E+01      0.00000E+00      9.33000E-02      0.00000E+00
      9.05000E+01      0.00000E+00      9.09700E-02      0.00000E+00
      9.80000E+01      0.00000E+00      9.22800E-02      0.00000E+00
      8.29600E+01      0.00000E+00      7.70700E-02      0.00000E+00
      9.04600E+01      0.00000E+00      7.82400E-02      0.00000E+00
      9.79600E+01      0.00000E+00      7.65200E-02      0.00000E+00
      2.77000E+01      0.00000E+00      6.16100E-02      0.00000E+00
      3.22500E+01      0.00000E+00      5.05500E-02      0.00000E+00
      4.28000E+01      0.00000E+00      5.36100E-02      0.00000E+00
      4.78300E+01      0.00000E+00      5.84000E-02      0.00000E+00
      5.53600E+01      0.00000E+00      6.13000E-02      0.00000E+00
      6.28900E+01      0.00000E+00      5.15100E-02      0.00000E+00
      6.69000E+01      0.00000E+00      5.29800E-02      0.00000E+00
      7.04200E+01      0.00000E+00      5.68600E-02      0.00000E+00
      7.79300E+01      0.00000E+00      5.44700E-02      0.00000E+00
      8.29400E+01      0.00000E+00      5.81100E-02      0.00000E+00
      8.54400E+01      0.00000E+00      5.30700E-02      0.00000E+00
      9.04300E+01      0.00000E+00      5.47700E-02      0.00000E+00
      9.29400E+01      0.00000E+00      5.43900E-02      0.00000E+00
      9.79300E+01      0.00000E+00      5.66500E-02      0.00000E+00
      1.00440E+02      0.00000E+00      5.56100E-02      0.00000E+00
      1.07920E+02      0.00000E+00      5.11300E-02      0.00000E+00
      1.18880E+02      0.00000E+00      5.27500E-02      0.00000E+00
      1.26360E+02      0.00000E+00      5.34300E-02      0.00000E+00
      1.33820E+02      0.00000E+00      4.87900E-02      0.00000E+00
      8.29200E+01      0.00000E+00      3.87200E-02      0.00000E+00
      9.04200E+01      0.00000E+00      3.75800E-02      0.00000E+00
      9.79100E+01      0.00000E+00      3.82100E-02      0.00000E+00
      8.29000E+01      0.00000E+00      2.78200E-02      0.00000E+00
      9.04000E+01      0.00000E+00      2.89000E-02      0.00000E+00
      9.78900E+01      0.00000E+00      2.72700E-02      0.00000E+00
      4.77900E+01      0.00000E+00      2.28100E-02      0.00000E+00
      4.77900E+01      0.00000E+00      2.41900E-02      0.00000E+00
      5.53300E+01      0.00000E+00      1.85400E-02      0.00000E+00
      7.03700E+01      0.00000E+00      1.84200E-02      0.00000E+00
      1.00390E+02      0.00000E+00      1.94500E-02      0.00000E+00
      1.26320E+02      0.00000E+00      1.78500E-02      0.00000E+00
      1.33790E+02      0.00000E+00      1.80200E-02      0.00000E+00
