# entry-subent-pointer  : 21810-004-0 
# EXFOR reaction        : ['46-PD-106', ['N,G'], '46-PD-107,,SIG,,AV'] 
# incident energy       : 3.50e-03 MeV - 2.50e-01 MeV 
# target                : Pd-106 
# product               : Pd-107 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : E.Cornelis 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (C,82ANTWER,,222,8209) 
# year                  : 1982 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/218/21810.x4 
# nds                   : https://nds.iaea.org/EXFOR/21810
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.50000E-03      0.00000E+00      6.76000E-01      6.76000E-02
      4.50000E-03      0.00000E+00      5.03000E-01      5.03000E-02
      5.50000E-03      0.00000E+00      4.24000E-01      4.24000E-02
      7.00000E-03      0.00000E+00      5.34000E-01      5.34000E-02
      9.00000E-03      0.00000E+00      4.59000E-01      4.59000E-02
      1.25000E-02      0.00000E+00      3.45000E-01      3.45000E-02
      1.75000E-02      0.00000E+00      3.81000E-01      3.81000E-02
      2.50000E-02      0.00000E+00      3.01000E-01      3.01000E-02
      3.50000E-02      0.00000E+00      2.40000E-01      2.40000E-02
      4.50000E-02      0.00000E+00      1.85000E-01      1.85000E-02
      5.50000E-02      0.00000E+00      1.74000E-01      1.74000E-02
      7.00000E-02      0.00000E+00      1.49000E-01      1.49000E-02
      9.00000E-02      0.00000E+00      1.24000E-01      1.24000E-02
      1.25000E-01      0.00000E+00      1.10000E-01      1.10000E-02
      1.75000E-01      0.00000E+00      9.40000E-02      9.40000E-03
      2.50000E-01      0.00000E+00      9.20000E-02      9.20000E-03
