# entry-subent-pointer  : 11624-008-0 
# EXFOR reaction        : (59-PR-141(N,G)59-PR-142,,SIG) 
# incident energy       : 1.4500e-01 MeV - 2.4570e+00 MeV 
# target                : Pr-141 
# product               : Pr-142 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : Stupegia 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,JNE,22,267,1968) 
# year                  : 1968 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/116/11624.x4 
# nds                   : https://nds.iaea.org/EXFOR/11624
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.4500E-01        2.0000E-02        5.9000E-02        3.8000E-03
        1.9000E-01        3.0000E-02        5.7000E-02        4.0000E-03
        2.4300E-01        3.4000E-02        5.9500E-02        3.2000E-03
        2.9000E-01        2.1000E-02        4.3100E-02        2.4000E-03
        3.2100E-01        3.2000E-02        4.8300E-02        2.6000E-03
        3.7600E-01        3.2000E-02        4.3600E-02        2.5000E-03
        4.4400E-01        1.9000E-02        2.3300E-02        1.3000E-03
        5.4600E-01        2.0000E-02        2.1600E-02        1.2000E-03
        6.5500E-01        2.8000E-02        2.2300E-02        1.2000E-03
        7.6300E-01        3.7000E-02        2.1900E-02        1.2000E-03
        8.4300E-01        3.8000E-02        2.4000E-02        1.3000E-03
        9.4800E-01        4.7000E-02        2.4400E-02        1.3000E-03
        1.0510E+00        4.8000E-02        2.6100E-02        1.4000E-03
        1.1540E+00        4.8000E-02        2.6300E-02        1.4000E-03
        1.2570E+00        4.8000E-02        2.6000E-02        1.4000E-03
        1.3560E+00        4.9000E-02        2.5700E-02        1.4000E-03
        1.4610E+00        4.9000E-02        2.6500E-02        1.5000E-03
        1.5620E+00        4.9000E-02        2.5500E-02        1.4000E-03
        1.6600E+00        4.8000E-02        2.6100E-02        1.4000E-03
        1.7650E+00        5.0000E-02        2.4100E-02        1.3000E-03
        1.8600E+00        5.2000E-02        2.2400E-02        1.3000E-03
        2.0600E+00        5.4000E-02        2.0600E-02        1.1000E-03
        2.2590E+00        5.7000E-02        1.7600E-02        1.0000E-03
        2.4570E+00        6.0000E-02        1.6200E-02        9.0000E-04
