# entry-subent-pointer  : 14210-004-0 
# EXFOR reaction        : (59-PR-141(N,INL)59-PR-141,PAR,SIG) 
# incident energy       : 2.0800e+00 MeV - 3.2000e+00 MeV 
# target                : Pr-141 
# product               : Pr-141 
# level energy          : 2.0004e+00 MeV 
# MF-MT number          : 3 - 77 
# first author          : Scheck 
# institute             : (1USAKTY): University of Kentucky, Lexington, KY 
# reference             : (J,PR/C,78,034302,2008) 
# year                  : 2008 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/142/14210.x4 
# nds                   : https://nds.iaea.org/EXFOR/14210
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.0800E+00        0.0000E+00        7.1100E-03        4.3000E-04
        2.1500E+00        0.0000E+00        1.2750E-02        6.2000E-04
        2.2300E+00        0.0000E+00        1.7350E-02        7.1000E-04
        2.3000E+00        0.0000E+00        1.9240E-02        7.1000E-04
        2.3800E+00        0.0000E+00        2.2130E-02        6.2000E-04
        2.4500E+00        0.0000E+00        2.2650E-02        8.5000E-04
        2.5300E+00        0.0000E+00        2.2650E-02        8.1000E-04
        2.6000E+00        0.0000E+00        2.5680E-02        9.0000E-04
        2.6800E+00        0.0000E+00        2.5110E-02        8.1000E-04
        2.7500E+00        0.0000E+00        2.6490E-02        9.0000E-04
        2.8300E+00        0.0000E+00        2.5490E-02        9.9000E-04
        2.9000E+00        0.0000E+00        2.4020E-02        9.0000E-04
        2.9700E+00        0.0000E+00        2.4310E-02        7.6000E-04
        3.0500E+00        0.0000E+00        2.3840E-02        9.5000E-04
        3.1200E+00        0.0000E+00        2.4500E-02        9.9000E-04
        3.2000E+00        0.0000E+00        2.4170E-02        1.0900E-03
