# entry-subent-pointer  : 40463-011-0 
# EXFOR reaction        : (78-PT-196(N,INL)78-PT-196,PAR,SIG) 
# incident energy       : 3.5500e-01 MeV - 8.3100e-01 MeV 
# target                : Pt-196 
# product               : Pt-196 
# level energy          : 6.8800e-01 MeV 
# MF-MT number          : 3 - 52 
# first author          : Efrosinin 
# institute             : (4RUSLEB): Fiz.Institute Lebedev (FIAN), Moskva 
# reference             : (C,79RIGA,,421,197903) 
# year                  : 1979 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/404/40463.x4 
# nds                   : https://nds.iaea.org/EXFOR/40463
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        3.5500E-01        0.0000E+00        0.0000E+00        0.0000E+00
        3.6600E-01        0.0000E+00        0.0000E+00        0.0000E+00
        3.7700E-01        0.0000E+00        0.0000E+00        0.0000E+00
        3.8800E-01        0.0000E+00        0.0000E+00        0.0000E+00
        3.9900E-01        0.0000E+00        0.0000E+00        0.0000E+00
        4.1100E-01        0.0000E+00        0.0000E+00        0.0000E+00
        4.2000E-01        0.0000E+00        0.0000E+00        0.0000E+00
        4.3100E-01        0.0000E+00        0.0000E+00        0.0000E+00
        4.4400E-01        0.0000E+00        0.0000E+00        0.0000E+00
        4.6000E-01        0.0000E+00        0.0000E+00        0.0000E+00
        4.7500E-01        0.0000E+00        0.0000E+00        0.0000E+00
        4.9800E-01        0.0000E+00        0.0000E+00        0.0000E+00
        5.2000E-01        0.0000E+00        0.0000E+00        0.0000E+00
        5.4200E-01        0.0000E+00        0.0000E+00        0.0000E+00
        5.6400E-01        0.0000E+00        0.0000E+00        0.0000E+00
        6.2000E-01        0.0000E+00        0.0000E+00        0.0000E+00
        6.4300E-01        0.0000E+00        0.0000E+00        0.0000E+00
        6.6500E-01        0.0000E+00        0.0000E+00        0.0000E+00
        6.8700E-01        0.0000E+00        0.0000E+00        0.0000E+00
        6.8900E-01        0.0000E+00        1.4000E-01        4.0000E-02
        7.0900E-01        0.0000E+00        2.3000E-01        6.0000E-02
        7.1400E-01        0.0000E+00        0.0000E+00        0.0000E+00
        7.1800E-01        0.0000E+00        2.2000E-01        6.0000E-02
        7.4200E-01        0.0000E+00        3.1000E-01        6.0000E-02
        7.6300E-01        0.0000E+00        3.0000E-01        6.0000E-02
        7.8600E-01        0.0000E+00        3.1000E-01        6.0000E-02
        8.0800E-01        0.0000E+00        3.8000E-01        7.0000E-02
        8.3100E-01        0.0000E+00        4.3000E-01        8.0000E-02
