# entry-subent-pointer  : 20132-002-0 
# EXFOR reaction        : ['94-PU-239', ['N,F'], ',,SIG'] 
# incident energy       : 1.98e-08 MeV - 2.01e-05 MeV 
# target                : Pu-239 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 18 
# first author          : A.J.Deruytter 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,JNE,26,293,1972) 
# year                  : 1972 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/201/20132.x4 
# nds                   : https://nds.iaea.org/EXFOR/20132
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.98100E-08      0.00000E+00      8.26500E+02      1.70000E+01
      1.99500E-08      0.00000E+00      8.35200E+02      1.70000E+01
      2.02100E-08      0.00000E+00      8.22200E+02      1.70000E+01
      2.04600E-08      0.00000E+00      8.07600E+02      1.70000E+01
      2.07200E-08      0.00000E+00      7.98000E+02      1.60000E+01
      2.09900E-08      0.00000E+00      7.79300E+02      1.60000E+01
      2.12600E-08      0.00000E+00      8.28100E+02      1.60000E+01
      2.15400E-08      0.00000E+00      8.06900E+02      1.60000E+01
      2.18200E-08      0.00000E+00      7.94200E+02      1.50000E+01
      2.21100E-08      0.00000E+00      7.94800E+02      1.50000E+01
      2.24000E-08      0.00000E+00      7.74500E+02      1.50000E+01
      2.27000E-08      0.00000E+00      7.61000E+02      1.40000E+01
      2.30000E-08      0.00000E+00      7.81600E+02      1.40000E+01
      2.33100E-08      0.00000E+00      7.50500E+02      1.40000E+01
      2.36300E-08      0.00000E+00      7.63500E+02      1.40000E+01
      2.39500E-08      0.00000E+00      7.67700E+02      1.40000E+01
      2.42800E-08      0.00000E+00      7.52500E+02      1.30000E+01
      2.46200E-08      0.00000E+00      7.39400E+02      1.30000E+01
      2.49700E-08      0.00000E+00      7.45400E+02      1.30000E+01
      2.53200E-08      0.00000E+00      7.57400E+02      1.30000E+01
      2.56800E-08      0.00000E+00      7.36500E+02      1.20000E+01
      2.60500E-08      0.00000E+00      7.26000E+02      1.20000E+01
      2.64200E-08      0.00000E+00      7.30700E+02      1.20000E+01
      2.68000E-08      0.00000E+00      7.23300E+02      1.20000E+01
      2.72000E-08      0.00000E+00      7.25200E+02      1.10000E+01
      2.76000E-08      0.00000E+00      7.11400E+02      1.10000E+01
      2.80100E-08      0.00000E+00      7.01000E+02      1.10000E+01
      2.84200E-08      0.00000E+00      6.99100E+02      1.10000E+01
      2.88500E-08      0.00000E+00      6.94200E+02      1.10000E+01
      2.92900E-08      0.00000E+00      6.98300E+02      1.10000E+01
      2.97400E-08      0.00000E+00      6.81400E+02      1.00000E+01
      3.02000E-08      0.00000E+00      6.70900E+02      1.00000E+01
      3.06600E-08      0.00000E+00      6.67400E+02      1.00000E+01
      3.11400E-08      0.00000E+00      6.85800E+02      1.00000E+01
      3.16400E-08      0.00000E+00      6.73000E+02      1.00000E+01
      3.21400E-08      0.00000E+00      6.68500E+02      1.00000E+01
      3.26500E-08      0.00000E+00      6.58900E+02      9.00000E+00
      3.31800E-08      0.00000E+00      6.47100E+02      9.00000E+00
      3.37200E-08      0.00000E+00      6.56100E+02      9.00000E+00
      3.42700E-08      0.00000E+00      6.37900E+02      9.00000E+00
      3.48400E-08      0.00000E+00      6.38600E+02      9.00000E+00
      3.54200E-08      0.00000E+00      6.37300E+02      9.00000E+00
      3.60200E-08      0.00000E+00      6.34000E+02      9.00000E+00
      3.66300E-08      0.00000E+00      6.21800E+02      8.00000E+00
      3.72600E-08      0.00000E+00      6.13400E+02      8.00000E+00
      3.79000E-08      0.00000E+00      6.09000E+02      8.00000E+00
      3.85600E-08      0.00000E+00      6.18200E+02      8.00000E+00
