# entry-subent-pointer  : 14715--00-5-0 
# EXFOR reaction        : ['94-PU-239', ['N,F'], 'MASS,SEC,FY'] 
# incident energy       : 4.98e+00 MeV 
# target                : Pu-239 
# product               : 76.0 <= mass <= 164.0 
# level energy          : - 
# MF-MT number          : 8 - 454 
# first author          : A.Chemey 
# institute             : (1USAOSU): Ohio State University, Columbus, OH 
# reference             : (J,EPJ/A,56,297,2020) 
# year                  : 2020 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/147/14715.x4 
# nds                   : https://nds.iaea.org/EXFOR/14715
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan             76.0              nan      3.02480E-04              NAN
              nan             77.0              nan      3.02480E-04              NAN
              nan             80.0              nan      1.51240E-03              NAN
              nan             81.0              nan      2.11736E-03              NAN
              nan             82.0              nan      1.20992E-03              NAN
              nan             83.0              nan      1.81488E-03              NAN
              nan             84.0              nan      2.41984E-03              NAN
              nan             85.0              nan      2.41984E-03              NAN
              nan             86.0              nan      3.02480E-03              NAN
              nan             87.0              nan      6.35209E-03              NAN
              nan             88.0              nan      9.37689E-03              NAN
              nan             89.0              nan      1.11918E-02              NAN
              nan             90.0              nan      1.54265E-02              NAN
              nan             91.0              nan      1.57290E-02              NAN
              nan             92.0              nan      1.96612E-02              NAN
              nan             93.0              nan      2.66183E-02              NAN
              nan             94.0              nan      2.96431E-02              NAN
              nan             95.0              nan      3.35753E-02              NAN
              nan             96.0              nan      3.59952E-02              NAN
              nan             97.0              nan      4.29522E-02              NAN
              nan             98.0              nan      4.62795E-02              NAN
              nan             99.0              nan      5.20266E-02              NAN
              nan            100.0              nan      5.77737E-02              NAN
              nan            101.0              nan      5.41440E-02              NAN
              nan            102.0              nan      5.62613E-02              NAN
              nan            103.0              nan      6.44283E-02              NAN
              nan            104.0              nan      5.95886E-02              NAN
              nan            105.0              nan      5.41440E-02              NAN
              nan            106.0              nan      5.29341E-02              NAN
              nan            107.0              nan      4.35572E-02              NAN
              nan            108.0              nan      4.14398E-02              NAN
              nan            109.0              nan      3.78100E-02              NAN
              nan            110.0              nan      2.93406E-02              NAN
              nan            111.0              nan      2.08711E-02              NAN
              nan            112.0              nan      1.27042E-02              NAN
              nan            113.0              nan      1.14943E-02              NAN
              nan            114.0              nan      1.05868E-02              NAN
              nan            115.0              nan      9.07441E-03              NAN
              nan            116.0              nan      7.86449E-03              NAN
              nan            117.0              nan      4.83969E-03              NAN
              nan            118.0              nan      3.62976E-03              NAN
              nan            119.0              nan      4.53721E-03              NAN
              nan            120.0              nan      6.04961E-03              NAN
              nan            121.0              nan      4.53721E-03              NAN
              nan            122.0              nan      3.62976E-03              NAN
              nan            123.0              nan      4.83969E-03              NAN
              nan            124.0              nan      7.86449E-03              NAN
              nan            125.0              nan      9.07441E-03              NAN
              nan            126.0              nan      1.05868E-02              NAN
              nan            127.0              nan      1.14943E-02              NAN
              nan            128.0              nan      1.27042E-02              NAN
              nan            129.0              nan      2.08711E-02              NAN
              nan            130.0              nan      2.93406E-02              NAN
              nan            131.0              nan      3.78100E-02              NAN
              nan            132.0              nan      4.14398E-02              NAN
              nan            133.0              nan      4.35572E-02              NAN
              nan            134.0              nan      5.29341E-02              NAN
              nan            135.0              nan      5.41440E-02              NAN
              nan            136.0              nan      5.95886E-02              NAN
              nan            137.0              nan      6.44283E-02              NAN
              nan            138.0              nan      5.62613E-02              NAN
              nan            139.0              nan      5.41440E-02              NAN
              nan            140.0              nan      5.77737E-02              NAN
              nan            141.0              nan      5.20266E-02              NAN
              nan            142.0              nan      4.62795E-02              NAN
              nan            143.0              nan      4.29522E-02              NAN
              nan            144.0              nan      3.59952E-02              NAN
              nan            145.0              nan      3.35753E-02              NAN
              nan            146.0              nan      2.96431E-02              NAN
              nan            147.0              nan      2.66183E-02              NAN
              nan            148.0              nan      1.96612E-02              NAN
              nan            149.0              nan      1.57290E-02              NAN
              nan            150.0              nan      1.54265E-02              NAN
              nan            151.0              nan      1.11918E-02              NAN
              nan            152.0              nan      9.37689E-03              NAN
              nan            153.0              nan      6.35209E-03              NAN
              nan            154.0              nan      3.02480E-03              NAN
              nan            155.0              nan      2.41984E-03              NAN
              nan            156.0              nan      2.41984E-03              NAN
              nan            157.0              nan      1.81488E-03              NAN
              nan            158.0              nan      1.20992E-03              NAN
              nan            159.0              nan      2.11736E-03              NAN
              nan            160.0              nan      1.51240E-03              NAN
              nan            163.0              nan      3.02480E-04              NAN
              nan            164.0              nan      3.02480E-04              NAN
