# entry-subent-pointer  : 10062-006-0 
# EXFOR reaction        : (94-PU-242(N,F),,SIG) 
# incident energy       : 9.9263e-02 MeV - 2.9627e+00 MeV 
# target                : Pu-242 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 18 
# first author          : Bergen 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,NP/A,163,577,197103) 
# year                  : 1971 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/100/10062.x4 
# nds                   : https://nds.iaea.org/EXFOR/10062
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        9.9263E-02        0.0000E+00        2.1186E-02        4.8092E-03
        1.0131E-01        0.0000E+00        1.7337E-02        4.7729E-03
        1.0343E-01        0.0000E+00        1.7643E-02        4.3543E-03
        1.0561E-01        0.0000E+00        1.6546E-02        4.3235E-03
        1.0786E-01        0.0000E+00        2.3882E-02        6.9449E-03
        1.1019E-01        0.0000E+00        1.3520E-02        2.4282E-03
        1.1259E-01        0.0000E+00        2.4526E-02        5.1799E-03
        1.1507E-01        0.0000E+00        1.5606E-02        2.9854E-03
        1.1763E-01        0.0000E+00        2.4355E-02        7.5038E-03
        1.2028E-01        0.0000E+00        1.6143E-02        3.3771E-03
        1.2302E-01        0.0000E+00        1.7128E-02        3.1824E-03
        1.2586E-01        0.0000E+00        2.2853E-02        3.1743E-03
        1.2879E-01        0.0000E+00        2.2138E-02        3.6815E-03
        1.3183E-01        0.0000E+00        2.3204E-02        3.2370E-03
        1.3498E-01        0.0000E+00        2.4670E-02        3.1849E-03
        1.3824E-01        0.0000E+00        2.8954E-02        3.6743E-03
        1.4162E-01        0.0000E+00        3.1027E-02        4.2569E-03
        1.4513E-01        0.0000E+00        2.6965E-02        3.5594E-03
        1.4876E-01        0.0000E+00        3.3643E-02        4.3198E-03
        1.5254E-01        0.0000E+00        3.1213E-02        4.4135E-03
        1.5646E-01        0.0000E+00        2.6811E-02        6.1692E-03
        1.6054E-01        0.0000E+00        2.1337E-02        3.2198E-03
        1.6477E-01        0.0000E+00        2.6727E-02        3.1805E-03
        1.6918E-01        0.0000E+00        2.9288E-02        3.2275E-03
        1.7377E-01        0.0000E+00        3.0130E-02        3.4047E-03
        1.7854E-01        0.0000E+00        4.2681E-02        6.2826E-03
        1.8352E-01        0.0000E+00        2.9918E-02        5.0232E-03
        1.8870E-01        0.0000E+00        4.7460E-02        4.0578E-03
        1.9411E-01        0.0000E+00        4.3659E-02        5.0732E-03
        1.9975E-01        0.0000E+00        4.9704E-02        6.4019E-03
        2.0564E-01        0.0000E+00        5.0463E-02        7.7410E-03
        2.1180E-01        0.0000E+00        4.6870E-02        4.4573E-03
        2.1824E-01        0.0000E+00        4.2023E-02        3.2862E-03
        2.2498E-01        0.0000E+00        4.5988E-02        4.2861E-03
        2.3203E-01        0.0000E+00        5.2917E-02        6.3818E-03
        2.3942E-01        0.0000E+00        6.3185E-02        5.6424E-03
        2.4717E-01        0.0000E+00        7.0947E-02        6.0234E-03
        2.5530E-01        0.0000E+00        6.4088E-02        4.8899E-03
        2.6384E-01        0.0000E+00        6.0514E-02        5.9848E-03
        2.7282E-01        0.0000E+00        7.0236E-02        5.4573E-03
        2.8226E-01        0.0000E+00        7.9972E-02        5.3421E-03
        2.9220E-01        0.0000E+00        7.7232E-02        4.9428E-03
        2.9315E-01        0.0000E+00        7.9459E-02        5.9674E-03
        2.9729E-01        0.0000E+00        7.4911E-02        5.2662E-03
        3.0153E-01        0.0000E+00        7.6048E-02        5.4983E-03
        3.0585E-01        0.0000E+00        7.8875E-02        5.7894E-03
        3.1027E-01        0.0000E+00        8.4838E-02        6.2526E-03
        3.1478E-01        0.0000E+00        8.8772E-02        6.3028E-03
        3.1940E-01        0.0000E+00        1.0948E-01        1.1364E-02
        3.2411E-01        0.0000E+00        1.1517E-01        7.8891E-03
        3.2893E-01        0.0000E+00        1.1210E-01        7.8694E-03
        3.3386E-01        0.0000E+00        1.1641E-01        7.7296E-03
        3.3890E-01        0.0000E+00        1.0385E-01        7.0099E-03
        3.4406E-01        0.0000E+00        9.8308E-02        7.0290E-03
        3.4934E-01        0.0000E+00        8.8217E-02        6.2105E-03
        3.5473E-01        0.0000E+00        1.4400E-01        1.4702E-02
        3.6025E-01        0.0000E+00        1.2768E-01        9.0908E-03
        3.6591E-01        0.0000E+00        1.1168E-01        7.8176E-03
        3.7169E-01        0.0000E+00        1.1842E-01        8.6683E-03
        3.7762E-01        0.0000E+00        1.3600E-01        1.0023E-02
        3.8369E-01        0.0000E+00        1.3578E-01        9.1516E-03
        3.8990E-01        0.0000E+00        1.4769E-01        9.9691E-03
        3.9627E-01        0.0000E+00        1.4632E-01        9.6132E-03
        4.0280E-01        0.0000E+00        1.4967E-01        9.8932E-03
        4.0948E-01        0.0000E+00        1.5985E-01        1.0534E-02
        4.1634E-01        0.0000E+00        1.4868E-01        9.9616E-03
        4.2337E-01        0.0000E+00        1.3980E-01        9.3666E-03
        4.3058E-01        0.0000E+00        1.4893E-01        9.7996E-03
