# entry-subent-pointer  : 20391--00-3-0 
# EXFOR reaction        : ['14-SI-0', ['N,EL'], '14-SI-0,,DA'] 
# incident energy       : 5.25e+00 MeV 
# target                : Si-0 
# product               : Si-0 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : H.-H.Knitter 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,ZP,207,56,1967) 
# year                  : 1967 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/203/20391.x4 
# nds                   : https://nds.iaea.org/EXFOR/20391
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -1.00000E+00      0.00000E+00      1.68500E-01      7.58250E-03
     -9.84800E-01      0.00000E+00      1.52100E-01      6.84450E-03
     -9.39700E-01      0.00000E+00      1.13600E-01      5.11200E-03
     -8.66000E-01      0.00000E+00      7.48000E-02      3.36600E-03
     -7.66000E-01      0.00000E+00      4.92000E-02      2.21400E-03
     -6.42800E-01      0.00000E+00      3.53000E-02      1.58850E-03
     -5.00000E-01      0.00000E+00      2.66000E-02      1.19700E-03
     -3.42000E-01      0.00000E+00      2.22000E-02      9.99000E-04
     -1.73600E-01      0.00000E+00      2.50000E-02      1.12500E-03
      0.00000E+00      0.00000E+00      3.30000E-02      1.48500E-03
      1.73600E-01      0.00000E+00      4.17000E-02      1.87650E-03
      3.42000E-01      0.00000E+00      5.59000E-02      2.51550E-03
      5.00000E-01      0.00000E+00      9.65000E-02      4.34250E-03
      6.42800E-01      0.00000E+00      1.85300E-01      8.33850E-03
      7.66000E-01      0.00000E+00      3.22400E-01      1.45080E-02
      8.66000E-01      0.00000E+00      4.78800E-01      2.15460E-02
      9.39700E-01      0.00000E+00      6.14200E-01      2.76390E-02
      9.84800E-01      0.00000E+00      7.00800E-01      3.15360E-02
      1.00000E+00      0.00000E+00      7.29700E-01      3.28365E-02
