# entry-subent-pointer  : 13740-005-0 
# EXFOR reaction        : ['14-SI-0', ['N,X'], '1-H-1,,DE'] 
# incident energy       : 1.1000e+01 MeV 
# target                : Si-0 
# product               : H-1 
# level energy          : 1.2500e+00 MeV 
# MF-MT number          : 5 - None 
# first author          : F.B.Bateman 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,PR/C,60,064609,1999) 
# year                  : 1999 
# facility              : (MESON): Meson facility 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/137/13740.x4 
# nds                   : https://nds.iaea.org/EXFOR/13740
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      1.25000E+00      0.00000E+00      1.36110E-09      0.00000E+00
      1.75000E+00      0.00000E+00      6.13330E-09      0.00000E+00
      2.25000E+00      0.00000E+00      2.45192E-08      0.00000E+00
      2.75000E+00      0.00000E+00      4.81137E-08      0.00000E+00
      3.25000E+00      0.00000E+00      5.84346E-08      0.00000E+00
      3.75000E+00      0.00000E+00      5.48531E-08      0.00000E+00
      4.25000E+00      0.00000E+00      4.74103E-08      0.00000E+00
      4.75000E+00      0.00000E+00      4.39371E-08      0.00000E+00
      5.25000E+00      0.00000E+00      3.71303E-08      0.00000E+00
      5.75000E+00      0.00000E+00      3.33847E-08      0.00000E+00
      6.25000E+00      0.00000E+00      2.36196E-08      0.00000E+00
      6.75000E+00      0.00000E+00      1.17007E-08      0.00000E+00
      7.25000E+00      0.00000E+00      7.11500E-09      0.00000E+00
      7.75000E+00      0.00000E+00      2.69980E-09      0.00000E+00
      8.25000E+00      0.00000E+00      1.21200E-10      0.00000E+00
      8.75000E+00      0.00000E+00      1.23000E-11      0.00000E+00
      9.25000E+00      0.00000E+00      7.40000E-12      0.00000E+00
      9.75000E+00      0.00000E+00      3.54200E-10      0.00000E+00
      1.02500E+01      0.00000E+00      2.54100E-10      0.00000E+00
      1.07500E+01      0.00000E+00      1.01300E-10      0.00000E+00
      1.12500E+01      0.00000E+00      1.34600E-10      0.00000E+00
      1.17500E+01      0.00000E+00      8.11000E-11      0.00000E+00
      1.22500E+01      0.00000E+00      1.57000E-11      0.00000E+00
      1.27500E+01      0.00000E+00      2.28000E-11      0.00000E+00
      1.32500E+01      0.00000E+00      1.03000E-11      0.00000E+00
      1.37500E+01      0.00000E+00      1.26000E-11      0.00000E+00
      1.42500E+01      0.00000E+00      1.15000E-11      0.00000E+00
      1.47500E+01      0.00000E+00      2.09000E-11      0.00000E+00
      1.52500E+01      0.00000E+00      5.90000E-12      0.00000E+00
      1.57500E+01      0.00000E+00      5.40000E-12      0.00000E+00
      1.62500E+01      0.00000E+00      1.25000E-11      0.00000E+00
      1.67500E+01      0.00000E+00      3.90000E-12      0.00000E+00
      1.77500E+01      0.00000E+00      1.28000E-11      0.00000E+00
      1.82500E+01      0.00000E+00      7.60000E-12      0.00000E+00
      1.87500E+01      0.00000E+00      1.23000E-11      0.00000E+00
      1.92500E+01      0.00000E+00      6.20000E-12      0.00000E+00
      2.07500E+01      0.00000E+00      4.20000E-12      0.00000E+00
      2.12500E+01      0.00000E+00      6.10000E-12      0.00000E+00
      2.17500E+01      0.00000E+00      2.00000E-12      0.00000E+00
      2.37500E+01      0.00000E+00      3.90000E-12      0.00000E+00
      2.42500E+01      0.00000E+00      8.30000E-12      0.00000E+00
      2.52500E+01      0.00000E+00      5.90000E-12      0.00000E+00
      2.62500E+01      0.00000E+00      8.10000E-12      0.00000E+00
      3.02500E+01      0.00000E+00      8.10000E-12      0.00000E+00
      3.07500E+01      0.00000E+00      3.90000E-12      0.00000E+00
      3.17500E+01      0.00000E+00      3.90000E-12      0.00000E+00
      3.52500E+01      0.00000E+00      4.20000E-12      0.00000E+00
      3.57500E+01      0.00000E+00      1.43000E-11      0.00000E+00
      3.62500E+01      0.00000E+00      6.20000E-12      0.00000E+00
      3.67500E+01      0.00000E+00      3.40000E-12      0.00000E+00
      3.77500E+01      0.00000E+00      8.10000E-12      0.00000E+00
      3.92500E+01      0.00000E+00      4.20000E-12      0.00000E+00
      4.07500E+01      0.00000E+00      4.20000E-12      0.00000E+00
      4.12500E+01      0.00000E+00      2.00000E-12      0.00000E+00
      4.22500E+01      0.00000E+00      2.00000E-12      0.00000E+00
      4.27500E+01      0.00000E+00      2.00000E-12      0.00000E+00
      4.32500E+01      0.00000E+00      3.40000E-12      0.00000E+00
      4.52500E+01      0.00000E+00      2.00000E-12      0.00000E+00
      4.67500E+01      0.00000E+00      3.90000E-12      0.00000E+00
      4.72500E+01      0.00000E+00      4.20000E-12      0.00000E+00
      4.82500E+01      0.00000E+00      1.25000E-11      0.00000E+00
      4.87500E+01      0.00000E+00      4.20000E-12      0.00000E+00
      5.02500E+01      0.00000E+00      4.20000E-12      0.00000E+00
      5.07500E+01      0.00000E+00      5.40000E-12      0.00000E+00
