# entry-subent-pointer  : 31681-003-0 
# EXFOR reaction        : ['62-SM-147', ['N,A'], '60-ND-144,,DE'] 
# incident energy       : 1.24e+01 MeV 
# target                : Sm-147 
# product               : Nd-144 
# level energy          : 1.51e+01 MeV 
# MF-MT number          : 5 - 107 
# first author          : E.Gadioli 
# institute             : (2ITYMIL): Universita degli Studi di Milano + INFN Milano 
# reference             : (J,PR/C,43,1932,1991) 
# year                  : 1991 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/316/31681.x4 
# nds                   : https://nds.iaea.org/EXFOR/31681
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      1.51000E+01      1.00000E-02      3.90000E-11      3.44000E-10
      1.52100E+01      1.00000E-02      1.25000E-10      2.49000E-10
      1.53100E+01      1.00000E-02      5.12000E-10      2.66000E-10
      1.54000E+01      1.00000E-02      4.95000E-10      2.66000E-10
      1.55000E+01      1.00000E-02     -8.10000E-11      2.75000E-10
      1.56000E+01      1.00000E-02      5.63000E-10      2.66000E-10
      1.56900E+01      1.00000E-02      3.48000E-10      2.49000E-10
      1.57900E+01      1.00000E-02      2.28000E-10      2.58000E-10
      1.58900E+01      1.00000E-02      4.51000E-10      2.58000E-10
      1.59800E+01      1.00000E-02      1.16000E-10      2.15000E-10
      1.61000E+01      1.00000E-02      2.97000E-10      2.15000E-10
      1.61800E+01      1.00000E-02      7.43000E-10      2.15000E-10
      1.62900E+01      1.00000E-02      4.25000E-10      2.06000E-10
      1.63700E+01      1.00000E-02      4.34000E-10      1.98000E-10
      1.64900E+01      1.00000E-02      4.94000E-10      1.89000E-10
      1.66000E+01      1.00000E-02      6.23000E-10      1.89000E-10
      1.66800E+01      1.00000E-02      6.57000E-10      2.06000E-10
      1.67900E+01      1.00000E-02      7.52000E-10      2.15000E-10
      1.68700E+01      1.00000E-02      9.84000E-10      2.06000E-10
      1.69900E+01      1.00000E-02      7.52000E-10      1.89000E-10
      1.70800E+01      1.00000E-02      8.37000E-10      1.98000E-10
      1.71800E+01      1.00000E-02      1.07800E-09      1.80000E-10
      1.72600E+01      1.00000E-02      5.88000E-10      1.80000E-10
      1.73700E+01      1.00000E-02      8.03000E-10      1.72000E-10
      1.74500E+01      1.00000E-02      1.00000E-09      1.89000E-10
      1.75500E+01      1.00000E-02      7.60000E-10      1.89000E-10
      1.76600E+01      1.00000E-02      1.00000E-09      1.72000E-10
      1.77600E+01      1.00000E-02      1.02600E-09      1.89000E-10
      1.78600E+01      1.00000E-02      1.01700E-09      1.63000E-10
      1.79500E+01      1.00000E-02      9.74000E-10      1.72000E-10
      1.80500E+01      1.00000E-02      9.74000E-10      1.80000E-10
      1.81500E+01      1.00000E-02      1.30900E-09      1.55000E-10
      1.82200E+01      1.00000E-02      1.12900E-09      1.63000E-10
      1.83600E+01      1.00000E-02      1.30900E-09      1.72000E-10
      1.84700E+01      1.00000E-02      1.36100E-09      1.29000E-10
      1.85500E+01      1.00000E-02      1.17200E-09      1.55000E-10
      1.86700E+01      1.00000E-02      1.24000E-09      1.20000E-10
      1.87600E+01      1.00000E-02      1.17200E-09      1.63000E-10
      1.88400E+01      1.00000E-02      1.08600E-09      8.60000E-11
      1.89400E+01      1.00000E-02      9.48000E-10      3.40000E-11
      1.89400E+01      1.00000E-02      8.54000E-10      1.63000E-10
      1.90400E+01      1.00000E-02      7.25000E-10      2.23000E-10
      1.91500E+01      1.00000E-02      7.50000E-10      1.29000E-10
      1.92500E+01      1.00000E-02      5.53000E-10      1.37000E-10
      1.93500E+01      1.00000E-02      4.84000E-10      1.37000E-10
      1.94600E+01      1.00000E-02      6.04000E-10      9.50000E-11
      1.95600E+01      1.00000E-02      5.44000E-10      9.50000E-11
      1.96700E+01      1.00000E-02      4.58000E-10      9.50000E-11
      1.97700E+01      1.00000E-02      5.35000E-10      6.90000E-11
      1.98500E+01      1.00000E-02      3.72000E-10      9.50000E-11
      1.99300E+01      1.00000E-02      2.26000E-10      9.50000E-11
      2.00600E+01      1.00000E-02      4.75000E-10      8.60000E-11
      2.01600E+01      1.00000E-02      4.75000E-10      8.60000E-11
      2.02500E+01      1.00000E-02      5.18000E-10      9.50000E-11
      2.03500E+01      1.00000E-02      7.07000E-10      8.60000E-11
      2.04500E+01      1.00000E-02      3.72000E-10      8.60000E-11
      2.05800E+01      1.00000E-02      5.52000E-10      8.60000E-11
      2.06600E+01      1.00000E-02      3.46000E-10      6.90000E-11
      2.07600E+01      1.00000E-02      3.20000E-10      6.90000E-11
      2.08500E+01      1.00000E-02      3.89000E-10      5.20000E-11
      2.09900E+01      1.00000E-02      3.63000E-10      6.90000E-11
      2.11400E+01      1.00000E-02      2.60000E-10      6.90000E-11
      2.12400E+01      1.00000E-02      1.65000E-10      5.20000E-11
      2.13600E+01      1.00000E-02      1.74000E-10      5.20000E-11
      2.14500E+01      1.00000E-02      2.60000E-10      3.40000E-11
      2.15500E+01      1.00000E-02      2.25000E-10      4.30000E-11
      2.16300E+01      1.00000E-02      1.56000E-10      5.20000E-11
      2.17600E+01      1.00000E-02      1.99000E-10      2.60000E-11
      2.18400E+01      1.00000E-02      2.42000E-10      3.40000E-11
      2.19700E+01      1.00000E-02      2.76000E-10      5.20000E-11
      2.20500E+01      1.00000E-02      3.37000E-10      5.20000E-11
      2.21500E+01      1.00000E-02      2.76000E-10      5.20000E-11
      2.22600E+01      1.00000E-02      2.76000E-10      6.00000E-11
      2.23400E+01      1.00000E-02      2.42000E-10      4.30000E-11
      2.24400E+01      1.00000E-02      2.33000E-10      6.00000E-11
      2.26100E+01      1.00000E-02      7.00000E-11      4.30000E-11
      2.27500E+01      1.00000E-02      1.21000E-10      4.30000E-11
