# entry-subent-pointer  : 21765--00-4-0 
# EXFOR reaction        : ['62-SM-147', ['N,G'], '62-SM-148,,SIG,,AV'] 
# incident energy       : 3.65e-03 MeV - 2.75e-01 MeV 
# target                : Sm-147 
# product               : Sm-148 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : M.Mizumoto 
# institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
# reference             : (J,NP/A,357,90,8103) 
# year                  : 1981 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/217/21765.x4 
# nds                   : https://nds.iaea.org/EXFOR/21765
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.65000E-03      0.00000E+00      5.33000E+00      3.30000E-01
      4.50000E-03      0.00000E+00      4.22000E+00      2.80000E-01
      5.50000E-03      0.00000E+00      4.00000E+00      2.80000E-01
      6.50000E-03      0.00000E+00      3.50000E+00      2.60000E-01
      7.50000E-03      0.00000E+00      3.04000E+00      2.50000E-01
      8.50000E-03      0.00000E+00      2.64000E+00      2.30000E-01
      9.50000E-03      0.00000E+00      2.62000E+00      2.30000E-01
      1.10000E-02      0.00000E+00      2.25000E+00      2.00000E-01
      1.30000E-02      0.00000E+00      2.01000E+00      1.90000E-01
      1.50000E-02      0.00000E+00      1.78000E+00      1.80000E-01
      1.70000E-02      0.00000E+00      1.63000E+00      1.70000E-01
      1.90000E-02      0.00000E+00      1.49000E+00      1.70000E-01
      2.25000E-02      0.00000E+00      1.43000E+00      1.60000E-01
      2.75000E-02      0.00000E+00      1.26000E+00      1.50000E-01
      3.25000E-02      0.00000E+00      1.21000E+00      1.60000E-01
      3.75000E-02      0.00000E+00      1.11000E+00      1.50000E-01
      4.25000E-02      0.00000E+00      1.01000E+00      1.40000E-01
      4.75000E-02      0.00000E+00      9.40000E-01      1.10000E-01
      5.50000E-02      0.00000E+00      8.60000E-01      1.00000E-01
      6.50000E-02      0.00000E+00      7.90000E-01      9.00000E-02
      7.50000E-02      0.00000E+00      7.10000E-01      1.00000E-01
      8.50000E-02      0.00000E+00      6.80000E-01      1.00000E-01
      9.50000E-02      0.00000E+00      6.40000E-01      9.00000E-02
      1.10000E-01      0.00000E+00      5.90000E-01      7.00000E-02
      1.30000E-01      0.00000E+00      5.10000E-01      6.00000E-02
      1.50000E-01      0.00000E+00      4.70000E-01      6.00000E-02
      1.70000E-01      0.00000E+00      4.30000E-01      6.00000E-02
      1.90000E-01      0.00000E+00      4.20000E-01      6.00000E-02
      2.25000E-01      0.00000E+00      3.80000E-01      6.00000E-02
      2.75000E-01      0.00000E+00      3.50000E-01      5.00000E-02
