# entry-subent-pointer  : 10719--00-7-0 
# EXFOR reaction        : ['50-SN-120', ['N,INL'], '50-SN-120,PAR,DA'] 
# incident energy       : 1.63e+00 MeV 
# target                : Sn-120 
# product               : Sn-120 
# level energy          : 1.17e+00 MeV 
# MF-MT number          : 4 - ['51'] 
# first author          : R.W.Harper 
# institute             : (1USAKTY): University of Kentucky, Lexington, KY 
# reference             : (J,PR/C,30,1454,198411) 
# year                  : 1984 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/107/10719.x4 
# nds                   : https://nds.iaea.org/EXFOR/10719
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.90000E+01      0.00000E+00      3.65000E-02              NAN
      2.89000E+01      0.00000E+00      3.87000E-02              NAN
      3.94000E+01      0.00000E+00      3.58000E-02              NAN
      4.97000E+01      0.00000E+00      3.23000E-02              NAN
      5.98000E+01      0.00000E+00      3.49000E-02              NAN
      6.97000E+01      0.00000E+00      3.68000E-02              NAN
      8.02000E+01      0.00000E+00      3.71000E-02              NAN
      9.05000E+01      0.00000E+00      3.74000E-02              NAN
      1.00400E+02      0.00000E+00      3.77000E-02              NAN
      1.10000E+02      0.00000E+00      3.58000E-02              NAN
      1.19800E+02      0.00000E+00      4.15000E-02              NAN
      1.29400E+02      0.00000E+00      4.08000E-02              NAN
      1.40000E+02      0.00000E+00      3.52000E-02              NAN
      1.46900E+02      0.00000E+00      3.58000E-02              NAN
      1.53200E+02      0.00000E+00      3.52000E-02              NAN
