# entry-subent-pointer  : 40960-011-0 
# EXFOR reaction        : ['50-SN-122', ['N,G'], '50-SN-123,,SIG,,AV'] 
# incident energy       : 3.0000e-02 MeV - 4.5000e-01 MeV 
# target                : Sn-122 
# product               : Sn-123 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : V.M.Timokhov 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (R,FEI-1921,1988) 
# year                  : 1988 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/409/40960.x4 
# nds                   : https://nds.iaea.org/EXFOR/40960
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.00000E-02      0.00000E+00      4.06000E-02      8.90000E-03
      5.00000E-02      0.00000E+00      3.06000E-02      6.40000E-03
      7.00000E-02      0.00000E+00      1.97000E-02      3.90000E-03
      9.00000E-02      0.00000E+00      1.65000E-02      3.30000E-03
      1.25000E-01      0.00000E+00      1.84000E-02      3.70000E-03
      1.75000E-01      0.00000E+00      1.62000E-02      3.30000E-03
      2.25000E-01      0.00000E+00      1.37000E-02      2.90000E-03
      2.75000E-01      0.00000E+00      1.28000E-02      2.60000E-03
      3.30000E-01      0.00000E+00      1.23000E-02      2.30000E-03
      3.90000E-01      0.00000E+00      1.18000E-02      2.20000E-03
      4.50000E-01      0.00000E+00      1.16000E-02      2.20000E-03
