# entry-subent-pointer  : 41550-002-0 
# EXFOR reaction        : (73-TA-0(N,TOT),,SIG,,AV) 
# incident energy       : 1.0000e-05 MeV - 7.3120e-02 MeV 
# target                : Ta-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Grigoriev 
# institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
# reference             : ((S,ISINN-12,59,2004)=(S,JINR-E3-2004-169,59,2004)) 
# year                  : 2004 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/415/41550.x4 
# nds                   : https://nds.iaea.org/EXFOR/41550
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.0000E-05        1.4000E-04        1.4731E+02        9.7400E+00
        7.0000E-05        1.4000E-04        1.1321E+02        1.0220E+01
        2.6000E-04        1.4000E-04        6.9370E+01        5.3600E+00
        3.5000E-04        1.4000E-04        4.8910E+01        0.0000E+00
        6.3000E-04        1.4000E-04        4.0160E+01        0.0000E+00
        1.5100E-03        1.4000E-04        3.4860E+01        0.0000E+00
        3.3800E-03        1.4000E-04        2.6710E+01        0.0000E+00
        7.3200E-03        1.4000E-04        1.6750E+01        0.0000E+00
        1.5640E-02        1.4000E-04        1.1960E+01        0.0000E+00
        3.4070E-02        1.4000E-04        1.0790E+01        0.0000E+00
        7.3120E-02        1.4000E-04        9.1000E+00        0.0000E+00
