# entry-subent-pointer  : 13959-002-0 
# EXFOR reaction        : ['43-TC-99', ['N,G'], '43-TC-100,PAR,SIG,,MXW'] 
# incident energy       : 2.5300e-08 MeV 
# target                : Tc-99 
# product               : Tc-100 
# level energy          : 1.0245e+00 MeV 
# MF-MT number          : 3 - 91 
# first author          : K.Furutaka 
# institute             : (2JPNJNC): Japan Nuclear Cycle Development Institute , Tokai-mura 
# reference             : (J,NST,41,1033,2004) 
# year                  : 2004 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/139/13959.x4 
# nds                   : https://nds.iaea.org/EXFOR/13959
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.53000E-08      0.00000E+00      1.73000E-02      0.00000E+00
      2.53000E-08      0.00000E+00      8.10000E-03      0.00000E+00
      2.53000E-08      0.00000E+00      6.60000E-03      0.00000E+00
      2.53000E-08      0.00000E+00      2.43000E-02      0.00000E+00
      2.53000E-08      0.00000E+00      1.95000E-02      0.00000E+00
      2.53000E-08      0.00000E+00      9.70000E-03      0.00000E+00
      2.53000E-08      0.00000E+00      3.93000E-02      0.00000E+00
      2.53000E-08      0.00000E+00      1.54000E-02      0.00000E+00
      2.53000E-08      0.00000E+00      4.52000E-02      0.00000E+00
      2.53000E-08      0.00000E+00      1.03000E-02      0.00000E+00
      2.53000E-08      0.00000E+00      2.84000E-02      0.00000E+00
