# entry-subent-pointer  : 41007-003-0 
# EXFOR reaction        : (52-TE-124(N,TOT),,SIG) 
# incident energy       : 2.2500e-01 MeV - 2.1600e+00 MeV 
# target                : Te-124 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Burmistrov 
# institute             : (4RUSJIA): Institute Yadernych Issledovaniy Rossiiskoi A.N., Moskva 
# reference             : (C,87KIEV,3,217,1987) 
# year                  : 1987 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/410/41007.x4 
# nds                   : https://nds.iaea.org/EXFOR/41007
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.2500E-01        0.0000E+00        7.0800E+00        2.1000E-01
        2.5000E-01        0.0000E+00        6.4700E+00        2.0000E-01
        2.8500E-01        0.0000E+00        7.0900E+00        2.1000E-01
        3.0500E-01        0.0000E+00        7.1500E+00        2.2000E-01
        3.5000E-01        0.0000E+00        6.6800E+00        2.0000E-01
        3.8000E-01        0.0000E+00        6.8000E+00        1.8000E-01
        4.1000E-01        0.0000E+00        6.8600E+00        3.6000E-01
        4.2600E-01        0.0000E+00        6.4000E+00        2.0000E-01
        4.7000E-01        0.0000E+00        6.2700E+00        2.1000E-01
        5.1500E-01        0.0000E+00        6.6600E+00        2.1000E-01
        5.2000E-01        0.0000E+00        7.0700E+00        1.8000E-01
        5.3000E-01        0.0000E+00        7.0600E+00        2.1000E-01
        6.0000E-01        0.0000E+00        7.1000E+00        2.1000E-01
        6.3000E-01        0.0000E+00        7.3200E+00        1.6000E-01
        6.6000E-01        0.0000E+00        6.7700E+00        2.0000E-01
        6.9000E-01        0.0000E+00        7.1000E+00        2.0000E-01
        7.4000E-01        0.0000E+00        7.5900E+00        2.2000E-01
        7.8000E-01        0.0000E+00        7.3000E+00        1.8000E-01
        8.4800E-01        0.0000E+00        7.5100E+00        1.8000E-01
        8.7000E-01        0.0000E+00        7.0000E+00        2.0000E-01
        9.4500E-01        0.0000E+00        6.9600E+00        1.7000E-01
        9.5500E-01        0.0000E+00        7.3800E+00        1.9000E-01
        9.7500E-01        0.0000E+00        7.4000E+00        1.6000E-01
        1.0300E+00        0.0000E+00        6.9800E+00        1.9000E-01
        1.1300E+00        0.0000E+00        6.8100E+00        2.0000E-01
        1.2400E+00        0.0000E+00        6.8400E+00        1.8000E-01
        1.3400E+00        0.0000E+00        7.1000E+00        1.8000E-01
        1.4450E+00        0.0000E+00        7.1000E+00        2.0000E-01
        1.5500E+00        0.0000E+00        7.1100E+00        2.1000E-01
        1.6500E+00        0.0000E+00        6.6300E+00        4.8000E-01
        1.7550E+00        0.0000E+00        6.3800E+00        1.3000E-01
        1.8580E+00        0.0000E+00        6.2400E+00        1.9000E-01
        1.9570E+00        0.0000E+00        6.0500E+00        1.8000E-01
        2.0600E+00        0.0000E+00        5.9800E+00        1.8000E-01
        2.1600E+00        0.0000E+00        6.2100E+00        1.8000E-01
