# entry-subent-pointer  : 11636-002-0 
# EXFOR reaction        : ['22-TI-0', ['N,TOT'], ',,SIG'] 
# incident energy       : 8.30e-02 MeV - 1.41e+00 MeV 
# target                : Ti-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : R.K.Adair 
# institute             : (1USAWIS): University of Wisconsin, Madison, WI 
# reference             : (J,PR,77,748(H9),5003) 
# year                  : 1950 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/116/11636.x4 
# nds                   : https://nds.iaea.org/EXFOR/11636
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      8.30000E-02      0.00000E+00      6.29000E+00      0.00000E+00
      2.27000E-01      0.00000E+00      3.53000E+00      0.00000E+00
      3.21000E-01      0.00000E+00      2.71000E+00      0.00000E+00
      4.00000E-01      0.00000E+00      2.25000E+00      0.00000E+00
      4.76000E-01      0.00000E+00      2.80000E+00      0.00000E+00
      5.58000E-01      0.00000E+00      2.39000E+00      0.00000E+00
      6.40000E-01      0.00000E+00      2.92000E+00      0.00000E+00
      7.40000E-01      0.00000E+00      3.45000E+00      0.00000E+00
      8.03000E-01      0.00000E+00      3.13000E+00      0.00000E+00
      8.83000E-01      0.00000E+00      2.72000E+00      0.00000E+00
      9.51000E-01      0.00000E+00      3.20000E+00      0.00000E+00
      1.02300E+00      0.00000E+00      3.21000E+00      0.00000E+00
      1.10000E+00      0.00000E+00      2.72000E+00      0.00000E+00
      1.18000E+00      0.00000E+00      2.85000E+00      0.00000E+00
      1.24500E+00      0.00000E+00      3.06000E+00      0.00000E+00
      1.33000E+00      0.00000E+00      3.10000E+00      0.00000E+00
      1.40900E+00      0.00000E+00      3.14000E+00      0.00000E+00
