# entry-subent-pointer  : 10238-027-1 
# EXFOR reaction        : (22-TI-47(N,P)21-SC-47,,SIG) 
# incident energy       : 4.0140e+00 MeV - 5.9370e+00 MeV 
# target                : Ti-47 
# product               : Sc-47 
# level energy          : - 
# MF-MT number          : 3 - 103 
# first author          : Smith 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,NSE,58,314,197511) 
# year                  : 1975 
# facility              : (DYNAM): Dynamitron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/102/10238.x4 
# nds                   : https://nds.iaea.org/EXFOR/10238
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.0140E+00        1.1000E-01        6.2870E-02        5.0250E-03
        4.0630E+00        9.0000E-02        7.2710E-02        5.9250E-03
        4.1160E+00        1.1200E-01        6.7590E-02        5.4030E-03
        4.1610E+00        1.2200E-01        7.0410E-02        5.6330E-03
        4.1700E+00        9.2000E-02        7.5910E-02        6.2250E-03
        4.2110E+00        1.2200E-01        6.8990E-02        5.5240E-03
        4.2160E+00        1.1200E-01        6.9200E-02        5.6080E-03
        4.2720E+00        9.2000E-02        7.7080E-02        6.3230E-03
        4.3350E+00        1.5600E-01        7.4590E-02        6.0010E-03
        4.3720E+00        9.6000E-02        7.5720E-02        6.2100E-03
        4.4440E+00        1.4800E-01        7.5760E-02        6.2150E-03
        4.4470E+00        9.8000E-02        7.5020E-02        6.0560E-03
        4.5360E+00        1.5600E-01        7.5760E-02        6.0490E-03
        4.5810E+00        1.0000E-01        8.5050E-02        6.8210E-03
        4.6140E+00        1.2600E-01        7.3730E-02        5.9010E-03
        4.7200E+00        1.7200E-01        7.9420E-02        7.4070E-03
        4.7340E+00        1.5800E-01        8.4320E-02        6.7440E-03
        4.7990E+00        1.5600E-01        7.6230E-02        6.0940E-03
        4.9360E+00        1.6000E-01        8.1410E-02        6.5130E-03
        4.9990E+00        1.5600E-01        8.0870E-02        6.4710E-03
        5.1980E+00        1.6000E-01        7.7910E-02        6.2350E-03
        5.2030E+00        1.5600E-01        8.2080E-02        6.5690E-03
        5.2330E+00        1.7200E-01        8.5650E-02        7.9920E-03
        5.2380E+00        1.6000E-01        7.9800E-02        6.3840E-03
        5.4380E+00        1.6400E-01        8.3370E-02        6.6740E-03
        5.4480E+00        1.5200E-01        8.5690E-02        7.3660E-03
        5.6390E+00        1.6400E-01        9.0490E-02        7.2370E-03
        5.7790E+00        1.6400E-01        9.5990E-02        7.8650E-03
        5.8390E+00        1.6600E-01        1.0220E-01        8.1790E-03
        5.9370E+00        1.6600E-01        1.0140E-01        8.1040E-03
