# entry-subent-pointer  : 10873--00-2-0 
# EXFOR reaction        : ['69-TM-169', ['N,G'], '69-TM-170,,SIG,,AV'] 
# incident energy       : 3.50e-03 MeV - 1.95e+00 MeV 
# target                : Tm-169 
# product               : Tm-170 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : R.L.Macklin 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (J,NSE,82,143,8210) 
# year                  : 1982 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/108/10873.x4 
# nds                   : https://nds.iaea.org/EXFOR/10873
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.50000E-03      0.00000E+00      4.25100E+00              NAN
      4.50000E-03      0.00000E+00      4.25000E+00              NAN
      5.50000E-03      0.00000E+00      3.17900E+00              NAN
      7.00000E-03      0.00000E+00      3.03000E+00              NAN
      9.00000E-03      0.00000E+00      2.48600E+00              NAN
      1.10000E-02      0.00000E+00      1.98900E+00              NAN
      1.35000E-02      0.00000E+00      1.65500E+00              NAN
      1.65000E-02      0.00000E+00      1.50800E+00              NAN
      1.95000E-02      0.00000E+00      1.38400E+00              NAN
      2.30000E-02      0.00000E+00      1.25800E+00              NAN
      2.75000E-02      0.00000E+00      1.13500E+00              NAN
      3.25000E-02      0.00000E+00      1.02800E+00              NAN
      4.00000E-02      0.00000E+00      9.41000E-01              NAN
      5.00000E-02      0.00000E+00      8.27000E-01              NAN
      6.00000E-02      0.00000E+00      7.59000E-01              NAN
      7.25000E-02      0.00000E+00      6.94000E-01              NAN
      9.00000E-02      0.00000E+00      6.18000E-01              NAN
      1.10000E-01      0.00000E+00      5.66000E-01              NAN
      1.35000E-01      0.00000E+00      5.00000E-01              NAN
      1.65000E-01      0.00000E+00      4.24000E-01      4.00000E-03
      1.95000E-01      0.00000E+00      3.71000E-01      3.00000E-03
      2.30000E-01      0.00000E+00      3.51000E-01      3.00000E-03
      2.75000E-01      0.00000E+00      3.31000E-01      3.00000E-03
      3.25000E-01      0.00000E+00      3.02000E-01      3.00000E-03
      3.75000E-01      0.00000E+00      2.66000E-01      3.00000E-03
      4.25000E-01      0.00000E+00      2.47000E-01      3.00000E-03
      4.75000E-01      0.00000E+00      2.30000E-01      3.00000E-03
      5.25000E-01      0.00000E+00      2.09000E-01      3.00000E-03
      5.75000E-01      0.00000E+00      1.99000E-01      3.00000E-03
      6.25000E-01      0.00000E+00      1.93000E-01      3.00000E-03
      6.75000E-01      0.00000E+00      1.73000E-01      3.00000E-03
      7.25000E-01      0.00000E+00      1.73000E-01      3.00000E-03
      7.75000E-01      0.00000E+00      1.69000E-01      3.00000E-03
      8.25000E-01      0.00000E+00      1.63000E-01      3.00000E-03
      8.75000E-01      0.00000E+00      1.62000E-01      4.00000E-03
      9.25000E-01      0.00000E+00      1.61000E-01      4.00000E-03
      9.75000E-01      0.00000E+00      1.62000E-01      4.00000E-03
      1.05000E+00      0.00000E+00      1.61000E-01      3.00000E-03
      1.15000E+00      0.00000E+00      1.55000E-01      3.00000E-03
      1.25000E+00      0.00000E+00      1.36000E-01      3.00000E-03
      1.35000E+00      0.00000E+00      1.34000E-01      4.00000E-03
      1.45000E+00      0.00000E+00      1.31000E-01      4.00000E-03
      1.55000E+00      0.00000E+00      1.24000E-01      4.00000E-03
      1.65000E+00      0.00000E+00      1.11000E-01      4.00000E-03
      1.75000E+00      0.00000E+00      1.04000E-01      4.00000E-03
      1.85000E+00      0.00000E+00      1.07000E-01      5.00000E-03
      1.95000E+00      0.00000E+00      1.14000E-01      5.00000E-03
