# entry-subent-pointer  : 12336-004-0 
# EXFOR reaction        : ['92-U-233', ['N,F'], ',,SIG'] 
# incident energy       : 4.0500e-07 MeV - 2.0480e-03 MeV 
# target                : U-233 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 18 
# first author          : L.W.Weston 
# institute             : (1USARPI): Rensselaer Polytechnic Institute, Troy, NY 
# reference             : (J,NSE,34,1,68) 
# year                  : 1968 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/123/12336.x4 
# nds                   : https://nds.iaea.org/EXFOR/12336
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.05000E-07      0.00000E+00      1.44100E+02      0.00000E+00
      4.24000E-07      0.00000E+00      1.42600E+02      0.00000E+00
      4.44000E-07      0.00000E+00      1.41400E+02      0.00000E+00
      4.65000E-07      0.00000E+00      1.38000E+02      0.00000E+00
      4.88000E-07      0.00000E+00      1.35400E+02      0.00000E+00
      5.13000E-07      0.00000E+00      1.33600E+02      0.00000E+00
      5.40000E-07      0.00000E+00      1.32300E+02      0.00000E+00
      5.69000E-07      0.00000E+00      1.27200E+02      0.00000E+00
      6.00000E-07      0.00000E+00      1.25400E+02      0.00000E+00
      6.34000E-07      0.00000E+00      1.22400E+02      0.00000E+00
      6.71000E-07      0.00000E+00      1.19000E+02      0.00000E+00
      7.12000E-07      0.00000E+00      1.18000E+02      0.00000E+00
      7.56000E-07      0.00000E+00      1.17000E+02      0.00000E+00
      8.04000E-07      0.00000E+00      1.18700E+02      0.00000E+00
      8.57000E-07      0.00000E+00      1.23300E+02      0.00000E+00
      9.16000E-07      0.00000E+00      1.27400E+02      0.00000E+00
      9.54000E-07      0.00000E+00      1.29200E+02      0.00000E+00
      9.65000E-07      0.00000E+00      1.31000E+02      0.00000E+00
      9.75000E-07      0.00000E+00      1.32300E+02      0.00000E+00
      9.86000E-07      0.00000E+00      1.33200E+02      0.00000E+00
      9.97000E-07      0.00000E+00      1.35300E+02      0.00000E+00
      1.00900E-06      0.00000E+00      1.37300E+02      0.00000E+00
      1.02000E-06      0.00000E+00      1.40000E+02      0.00000E+00
      1.03200E-06      0.00000E+00      1.41800E+02      0.00000E+00
      1.04300E-06      0.00000E+00      1.44200E+02      0.00000E+00
      1.05500E-06      0.00000E+00      1.47500E+02      0.00000E+00
      1.06800E-06      0.00000E+00      1.49800E+02      0.00000E+00
      1.08000E-06      0.00000E+00      1.52800E+02      0.00000E+00
      1.09300E-06      0.00000E+00      1.56400E+02      0.00000E+00
      1.10600E-06      0.00000E+00      1.60000E+02      0.00000E+00
      1.11900E-06      0.00000E+00      1.61300E+02      0.00000E+00
      1.13200E-06      0.00000E+00      1.66300E+02      0.00000E+00
      1.14600E-06      0.00000E+00      1.70700E+02      0.00000E+00
      1.15900E-06      0.00000E+00      1.73900E+02      0.00000E+00
      1.17400E-06      0.00000E+00      1.79200E+02      0.00000E+00
      1.18800E-06      0.00000E+00      1.82300E+02      0.00000E+00
      1.20200E-06      0.00000E+00      1.85800E+02      0.00000E+00
      1.21700E-06      0.00000E+00      1.93400E+02      0.00000E+00
      1.23200E-06      0.00000E+00      2.00300E+02      0.00000E+00
      1.24800E-06      0.00000E+00      2.04600E+02      0.00000E+00
      1.26400E-06      0.00000E+00      2.12500E+02      0.00000E+00
      1.28000E-06      0.00000E+00      2.18800E+02      0.00000E+00
      1.29600E-06      0.00000E+00      2.27900E+02      0.00000E+00
      1.31300E-06      0.00000E+00      2.37600E+02      0.00000E+00
      1.33000E-06      0.00000E+00      2.45800E+02      0.00000E+00
      1.34700E-06      0.00000E+00      2.55300E+02      0.00000E+00
      1.36500E-06      0.00000E+00      2.64600E+02      0.00000E+00
      1.38300E-06      0.00000E+00      2.75300E+02      0.00000E+00
      1.39900E-06      0.00000E+00      2.81900E+02      0.00000E+00
      1.40800E-06      0.00000E+00      2.90900E+02      0.00000E+00
      1.41700E-06      0.00000E+00      3.00200E+02      0.00000E+00
      1.42700E-06      0.00000E+00      3.00400E+02      0.00000E+00
      1.43600E-06      0.00000E+00      3.08500E+02      0.00000E+00
      1.44600E-06      0.00000E+00      3.16700E+02      0.00000E+00
      1.45600E-06      0.00000E+00      3.23000E+02      0.00000E+00
      1.46600E-06      0.00000E+00      3.27300E+02      0.00000E+00
      1.47600E-06      0.00000E+00      3.32300E+02      0.00000E+00
      1.48600E-06      0.00000E+00      3.41400E+02      0.00000E+00
      1.49600E-06      0.00000E+00      3.48500E+02      0.00000E+00
      1.50600E-06      0.00000E+00      3.53000E+02      0.00000E+00
      1.51600E-06      0.00000E+00      3.61100E+02      0.00000E+00
      1.52700E-06      0.00000E+00      3.71900E+02      0.00000E+00
      1.53800E-06      0.00000E+00      3.85600E+02      0.00000E+00
      1.54800E-06      0.00000E+00      3.88000E+02      0.00000E+00
      1.55900E-06      0.00000E+00      3.94200E+02      0.00000E+00
      1.57000E-06      0.00000E+00      4.06100E+02      0.00000E+00
      1.58100E-06      0.00000E+00      4.15000E+02      0.00000E+00
      1.59200E-06      0.00000E+00      4.26000E+02      0.00000E+00
      1.60300E-06      0.00000E+00      4.43700E+02      0.00000E+00
      1.61500E-06      0.00000E+00      4.53600E+02      0.00000E+00
      1.62600E-06      0.00000E+00      4.74300E+02      0.00000E+00
      1.63800E-06      0.00000E+00      4.97000E+02      0.00000E+00
      1.65000E-06      0.00000E+00      5.19900E+02      0.00000E+00
      1.66200E-06      0.00000E+00      5.53400E+02      0.00000E+00
      1.67400E-06      0.00000E+00      5.86000E+02      0.00000E+00
      1.68600E-06      0.00000E+00      6.27500E+02      0.00000E+00
      1.69800E-06      0.00000E+00      6.77800E+02      0.00000E+00
      1.71100E-06      0.00000E+00      7.22100E+02      0.00000E+00
      1.72300E-06      0.00000E+00      7.67500E+02      0.00000E+00
      1.73600E-06      0.00000E+00      8.09200E+02      0.00000E+00
      1.74900E-06      0.00000E+00      8.44400E+02      0.00000E+00
      1.76200E-06      0.00000E+00      8.71200E+02      0.00000E+00
      1.77500E-06      0.00000E+00      8.74600E+02      0.00000E+00
      1.78800E-06      0.00000E+00      8.71100E+02      0.00000E+00
      1.80200E-06      0.00000E+00      8.47000E+02      0.00000E+00
      1.81500E-06      0.00000E+00      8.09700E+02      0.00000E+00
      1.82900E-06      0.00000E+00      7.63000E+02      0.00000E+00
      1.84300E-06      0.00000E+00      7.14600E+02      0.00000E+00
      1.85700E-06      0.00000E+00      6.61200E+02      0.00000E+00
      1.87100E-06      0.00000E+00      6.04600E+02      0.00000E+00
      1.88600E-06      0.00000E+00      5.60300E+02      0.00000E+00
      1.90000E-06      0.00000E+00      5.14700E+02      0.00000E+00
      1.91500E-06      0.00000E+00      4.69600E+02      0.00000E+00
      1.93000E-06      0.00000E+00      4.34500E+02      0.00000E+00
      1.94500E-06      0.00000E+00      4.00400E+02      0.00000E+00
      1.96000E-06      0.00000E+00      3.73100E+02      0.00000E+00
      1.97500E-06      0.00000E+00      3.45400E+02      0.00000E+00
      1.99100E-06      0.00000E+00      3.26700E+02      0.00000E+00
      2.00700E-06      0.00000E+00      3.06600E+02      0.00000E+00
      2.02300E-06      0.00000E+00      2.91200E+02      0.00000E+00
      2.03900E-06      0.00000E+00      2.78000E+02      0.00000E+00
      2.05500E-06      0.00000E+00      2.71300E+02      0.00000E+00
      2.07200E-06      0.00000E+00      2.60100E+02      0.00000E+00
      2.08900E-06      0.00000E+00      2.58400E+02      0.00000E+00
      2.10600E-06      0.00000E+00      2.58400E+02      0.00000E+00
      2.12300E-06      0.00000E+00      2.61600E+02      0.00000E+00
      2.14000E-06      0.00000E+00      2.71400E+02      0.00000E+00
      2.15800E-06      0.00000E+00      2.83900E+02      0.00000E+00
      2.17600E-06      0.00000E+00      3.09400E+02      0.00000E+00
