# entry-subent-pointer  : 23164--00-6-0 
# EXFOR reaction        : ['92-U-234', ['N,F'], 'MASS,PRE,FY'] 
# incident energy       : 2.00e-03 MeV 
# target                : U-234 
# product               : 61.0 <= mass <= 174.0 
# level energy          : - 
# MF-MT number          : 8 - 460 
# first author          : A.Al-Adili 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,PR/C,93,034603,2016) 
# year                  : 2016 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/231/23164.x4 
# nds                   : https://nds.iaea.org/EXFOR/23164
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan             61.0              nan      4.24000E-06      3.00000E-06
              nan             62.0              nan      2.12000E-06      2.12000E-06
              nan             63.0              nan      2.12000E-06      2.12000E-06
              nan             64.0              nan      4.24000E-06      3.00000E-06
              nan             65.0              nan      1.27200E-05      5.19000E-06
              nan             66.0              nan      6.36000E-06      3.67000E-06
              nan             67.0              nan      1.48400E-05      5.61000E-06
              nan             68.0              nan      1.48400E-05      5.61000E-06
              nan             69.0              nan      1.90800E-05      6.36000E-06
              nan             70.0              nan      1.06000E-05      4.74000E-06
              nan             71.0              nan      1.90800E-05      6.36000E-06
              nan             72.0              nan      1.69600E-05      6.00000E-06
              nan             73.0              nan      5.51300E-05      1.08100E-05
              nan             74.0              nan      6.57400E-05      1.18100E-05
              nan             75.0              nan      1.01790E-04      1.46900E-05
              nan             76.0              nan      1.90850E-04      2.01200E-05
              nan             77.0              nan      3.22320E-04      2.61400E-05
              nan             78.0              nan      6.53130E-04      3.72200E-05
              nan             79.0              nan      9.96660E-04      4.59700E-05
              nan             80.0              nan      1.72824E-03      6.05400E-05
              nan             81.0              nan      2.78852E-03      7.69000E-05
              nan             82.0              nan      4.26866E-03      9.51400E-05
              nan             83.0              nan      6.23228E-03      1.14960E-04
              nan             84.0              nan      9.09289E-03      1.38860E-04
              nan             85.0              nan      1.26978E-02      1.64090E-04
              nan             86.0              nan      1.68859E-02      1.89230E-04
              nan             87.0              nan      2.24036E-02      2.17960E-04
