# entry-subent-pointer  : 31729--00-4-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], '0-G-0,PR,FY/DE,,MXW'] 
# incident energy       : 1.00e-04 MeV 
# target                : U-235 
# product               : G-0 
# level energy          : 4.20e-02 MeV 
# MF-MT number          : ? - 18 
# first author          : A.Oberstedt 
# institute             : (2SWDSWD): Sweden 
# reference             : (J,PR/C,87,051602,2013) 
# year                  : 2013 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/317/31729.x4 
# nds                   : https://nds.iaea.org/EXFOR/31729
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      4.20000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      4.60000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      5.00000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      5.50000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      5.90000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      6.40000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      6.90000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      7.40000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      7.90000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      8.40000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      8.90000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      9.50000E-02      0.00000E+00      0.00000E+00      0.00000E+00
      1.01000E-01      0.00000E+00      6.77580E-06      1.97890E-06
      1.07000E-01      0.00000E+00      6.98760E-06      2.04080E-06
      1.13000E-01      0.00000E+00      7.37490E-06      2.15390E-06
      1.19000E-01      0.00000E+00      9.00370E-06      2.62970E-06
      1.25000E-01      0.00000E+00      9.79580E-06      2.86110E-06
      1.32000E-01      0.00000E+00      9.84980E-06      2.87690E-06
      1.39000E-01      0.00000E+00      1.09990E-05      3.21270E-06
      1.46000E-01      0.00000E+00      1.09650E-05      3.20270E-06
      1.53000E-01      0.00000E+00      1.14020E-05      3.33050E-06
      1.60000E-01      0.00000E+00      1.15710E-05      3.37990E-06
      1.67000E-01      0.00000E+00      1.21430E-05      3.54680E-06
      1.75000E-01      0.00000E+00      1.15710E-05      3.38000E-06
      1.83000E-01      0.00000E+00      1.14330E-05      3.33950E-06
      1.91000E-01      0.00000E+00      1.12670E-05      3.29130E-06
      1.99000E-01      0.00000E+00      1.14210E-05      3.33620E-06
