# entry-subent-pointer  : 31641-002-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], 'ELEM/MASS,CUM,FY,,FIS'] 
# incident energy       : 1.50e+00 MeV 
# target                : U-235 
# product               : - 
# level energy          : - 
# MF-MT number          : 8 - 459 
# first author          : Qui Linkun 
# institute             : (3CPRAEP): China Institute of Atomic Energy, Beijing 
# reference             : (C,88MITO,,967,1988) 
# year                  : 1988 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/316/31641.x4 
# nds                   : https://nds.iaea.org/EXFOR/31641
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
             35.0             84.0              nan      1.10000E-02      7.00000E-04
             36.0             85.0              1.0      1.35000E-02      9.00000E-04
             36.0             87.0              nan      2.47000E-02      9.00000E-04
             36.0             88.0              nan      3.68000E-02      9.00000E-04
             37.0             89.0              nan      4.07000E-02      1.90000E-03
             39.0             91.0              1.0      5.39000E-02      1.80000E-03
             39.0             92.0              nan      5.92000E-02      2.80000E-03
             39.0             93.0              nan      5.79000E-02      1.80000E-03
             39.0             94.0              nan      5.95000E-02      1.70000E-03
             40.0             95.0              nan      6.42000E-02      2.00000E-03
             40.0             97.0              nan      6.12000E-02      1.70000E-03
             42.0             99.0              nan      6.37000E-02      2.00000E-03
             43.0            104.0              nan      1.77000E-02      5.00000E-04
             44.0            103.0              nan      3.46000E-02      1.30000E-03
             45.0            105.0              nan      1.25000E-02      7.00000E-04
             50.0            128.0              nan      3.92000E-03      1.30000E-04
             51.0            129.0              nan      9.40000E-03      3.50000E-04
             52.0            132.0              nan      4.89000E-02      1.60000E-03
             52.0            134.0              nan      7.40000E-02      2.70000E-03
             52.0            138.0              nan      6.71000E-02      3.10000E-03
             53.0            131.0              nan      3.06000E-02      1.00000E-03
             53.0            133.0              nan      6.67000E-02      2.30000E-03
             53.0            135.0              nan      6.59000E-02      2.20000E-03
             56.0            140.0              nan      6.00000E-02      2.20000E-03
             58.0            143.0              nan      5.60000E-02      1.80000E-03
             59.0            146.0              nan      3.51000E-02      1.80000E-03
             60.0            147.0              nan      2.32000E-02      8.00000E-04
             60.0            149.0              nan      1.01000E-02      7.00000E-04
             61.0            151.0              nan      3.81000E-03      2.00000E-04
