# entry-subent-pointer  : 23591--00-4-0 
# EXFOR reaction        : ['92-U-235', ['N,F'], 'MASS,PRE,FY'] 
# incident energy       : 3.50e+00 MeV 
# target                : U-235 
# product               : 74.0 <= mass <= 166.0 
# level energy          : - 
# MF-MT number          : 8 - 460 
# first author          : Ch.Straede 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,NP/A,462,85,1987) 
# year                  : 1987 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/235/23591.x4 
# nds                   : https://nds.iaea.org/EXFOR/23591
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan             74.0              nan      1.64000E-04              NAN
              nan             76.0              nan      3.60000E-04              NAN
              nan             78.0              nan      1.90000E-04              NAN
              nan             79.0              nan      7.42000E-04              NAN
              nan             80.0              nan      1.47500E-03              NAN
              nan             81.0              nan      3.11400E-03              NAN
              nan             83.0              nan      4.75300E-03              NAN
              nan             84.0              nan      6.02700E-03              NAN
              nan             85.0              nan      9.65300E-03              NAN
              nan             86.0              nan      1.43670E-02              NAN
              nan             87.0              nan      1.58230E-02              NAN
              nan             88.0              nan      2.34310E-02              NAN
              nan             89.0              nan      2.74200E-02              NAN
              nan             90.0              nan      3.24960E-02              NAN
              nan             91.0              nan      4.37230E-02              NAN
              nan             92.0              nan      4.84360E-02              NAN
              nan             93.0              nan      5.31490E-02              NAN
              nan             94.0              nan      5.82240E-02              NAN
              nan             95.0              nan      6.20310E-02              NAN
              nan             96.0              nan      6.69260E-02              NAN
              nan             97.0              nan      6.49410E-02              NAN
              nan             99.0              nan      6.16960E-02              NAN
              nan            100.0              nan      5.64570E-02              NAN
              nan            101.0              nan      5.51960E-02              NAN
              nan            102.0              nan      5.15840E-02              NAN
              nan            103.0              nan      4.48940E-02              NAN
              nan            104.0              nan      3.40420E-02              NAN
              nan            105.0              nan      2.77140E-02              NAN
              nan            106.0              nan      2.12060E-02              NAN
              nan            107.0              nan      1.37890E-02              NAN
              nan            108.0              nan      8.54900E-03              NAN
              nan            109.0              nan      4.57600E-03              NAN
              nan            110.0              nan      2.17700E-03              NAN
              nan            111.0              nan      2.03300E-03              NAN
              nan            112.0              nan      1.11100E-03      2.35000E-04
              nan            113.0              nan      1.07500E-03      1.62000E-04
              nan            114.0              nan      5.51000E-04              NAN
              nan            115.0              nan      7.51000E-04      1.62000E-04
              nan            116.0              nan      5.53000E-04              NAN
              nan            117.0              nan      3.91000E-04              NAN
              nan            118.0              nan      6.08000E-04              NAN
              nan            120.0              nan      6.09000E-04              NAN
              nan            121.0              nan      7.01000E-04      1.81000E-04
              nan            122.0              nan      7.20000E-04      1.62000E-04
              nan            123.0              nan      1.10000E-03      1.81000E-04
              nan            124.0              nan      1.62600E-03      2.35000E-04
              nan            125.0              nan      1.57300E-03      2.35000E-04
              nan            126.0              nan      3.05700E-03      3.44000E-04
              nan            127.0              nan      4.88300E-03              NAN
              nan            128.0              nan      9.41700E-03              NAN
              nan            129.0              nan      1.57580E-02              NAN
              nan            130.0              nan      2.19200E-02              NAN
              nan            131.0              nan      3.11560E-02              NAN
              nan            132.0              nan      4.09370E-02              NAN
              nan            133.0              nan      4.56480E-02              NAN
              nan            134.0              nan      5.56100E-02              NAN
              nan            135.0              nan      5.50770E-02              NAN
              nan            136.0              nan      5.70750E-02              NAN
              nan            137.0              nan      6.10620E-02              NAN
              nan            138.0              nan      6.59550E-02              NAN
              nan            139.0              nan      6.45160E-02              NAN
              nan            140.0              nan      5.80070E-02              NAN
              nan            142.0              nan      6.09150E-02              NAN
              nan            143.0              nan      5.13310E-02              NAN
              nan            144.0              nan      4.73570E-02              NAN
              nan            145.0              nan      4.06670E-02              NAN
              nan            146.0              nan      3.47020E-02              NAN
              nan            147.0              nan      2.90980E-02              NAN
              nan            148.0              nan      2.13220E-02              NAN
              nan            149.0              nan      1.57200E-02              NAN
              nan            150.0              nan      1.24680E-02              NAN
              nan            151.0              nan      8.85400E-03              NAN
              nan            152.0              nan      7.77700E-03              NAN
              nan            153.0              nan      3.98400E-03              NAN
              nan            154.0              nan      2.18000E-03              NAN
              nan            155.0              nan      1.28700E-03              NAN
              nan            157.0              nan      3.92000E-04              NAN
              nan            159.0              nan      4.20000E-05              NAN
              nan            160.0              nan      2.34000E-04              NAN
              nan            162.0              nan      2.45000E-04              NAN
              nan            163.0              nan      7.60000E-05              NAN
              nan            165.0              nan      8.80000E-05              NAN
              nan            166.0              nan      7.60000E-05              NAN
