# entry-subent-pointer  : 41682--00-4-0 
# EXFOR reaction        : ['92-U-238', ['N,F'], 'MASS,PRE,FY'] 
# incident energy       : 1.00e+00 MeV 
# target                : U-238 
# product               : 118.0 <= mass <= 160.0 
# level energy          : - 
# MF-MT number          : 8 - 460 
# first author          : A.A.Goverdovskii 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,PAN,56,24,1993) 
# year                  : 1993 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/416/41682.x4 
# nds                   : https://nds.iaea.org/EXFOR/41682
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan            118.0              nan      6.52000E-04              NAN
              nan            119.0              nan      4.74000E-04              NAN
              nan            120.0              nan      4.68000E-04              NAN
              nan            121.0              nan      4.62000E-04              NAN
              nan            122.0              nan      4.55000E-04              NAN
              nan            123.0              nan      4.51000E-04              NAN
              nan            124.0              nan      4.45000E-04              NAN
              nan            125.0              nan      6.10000E-04              NAN
              nan            126.0              nan      1.97600E-03              NAN
              nan            127.0              nan      5.91500E-03              NAN
              nan            128.0              nan      8.82600E-03              NAN
              nan            129.0              nan      1.32810E-02              NAN
              nan            130.0              nan      2.01360E-02              NAN
              nan            131.0              nan      3.33370E-02              NAN
              nan            132.0              nan      4.46510E-02              NAN
              nan            133.0              nan      5.08200E-02              NAN
              nan            134.0              nan      5.56180E-02              NAN
              nan            135.0              nan      5.64680E-02              NAN
              nan            136.0              nan      6.00640E-02              NAN
              nan            137.0              nan      5.93740E-02              NAN
              nan            138.0              nan      5.90240E-02              NAN
              nan            139.0              nan      5.86750E-02              NAN
              nan            140.0              nan      5.69550E-02              NAN
              nan            141.0              nan      5.54060E-02              NAN
              nan            142.0              nan      5.64290E-02              NAN
              nan            144.0              nan      4.80130E-02              NAN
              nan            145.0              nan      3.96010E-02              NAN
              nan            146.0              nan      3.32500E-02              NAN
              nan            147.0              nan      2.82700E-02              NAN
              nan            148.0              nan      2.51760E-02              NAN
              nan            149.0              nan      1.96820E-02              NAN
              nan            150.0              nan      1.45290E-02              NAN
              nan            151.0              nan      1.05780E-02              NAN
              nan            152.0              nan      7.65700E-03              NAN
              nan            153.0              nan      6.45200E-03              NAN
              nan            154.0              nan      5.07300E-03              NAN
              nan            155.0              nan      4.38100E-03              NAN
              nan            156.0              nan      3.34500E-03              NAN
              nan            157.0              nan      1.62400E-03              NAN
              nan            158.0              nan      7.61000E-04              NAN
              nan            159.0              nan      4.12000E-04              NAN
              nan            160.0              nan      2.32000E-04              NAN
