# entry-subent-pointer  : 40915-003-2 
# EXFOR reaction        : (92-U-238(N,G)92-U-239,,SIG,,AV) 
# incident energy       : 3.2500e-02 MeV - 4.5000e-01 MeV 
# target                : U-238 
# product               : U-239 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : Kazakov 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : ((J,YK,,(3),37,1986)=(R,INDC(CCP)-267,37,1986)) 
# year                  : 1986 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/409/40915.x4 
# nds                   : https://nds.iaea.org/EXFOR/40915
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        3.2500E-02        0.0000E+00        4.4000E-01        0.0000E+00
        3.7500E-02        0.0000E+00        4.0900E-01        0.0000E+00
        4.2500E-02        0.0000E+00        3.7100E-01        0.0000E+00
        4.7500E-02        0.0000E+00        3.4100E-01        0.0000E+00
        5.2500E-02        0.0000E+00        3.0300E-01        0.0000E+00
        5.7500E-02        0.0000E+00        2.7800E-01        0.0000E+00
        6.2500E-02        0.0000E+00        2.6400E-01        0.0000E+00
        6.7500E-02        0.0000E+00        2.2600E-01        0.0000E+00
        7.2500E-02        0.0000E+00        2.2100E-01        0.0000E+00
        7.7500E-02        0.0000E+00        2.1400E-01        0.0000E+00
        8.2500E-02        0.0000E+00        2.0800E-01        0.0000E+00
        8.7500E-02        0.0000E+00        2.0100E-01        0.0000E+00
        9.2500E-02        0.0000E+00        1.9400E-01        0.0000E+00
        9.7500E-02        0.0000E+00        1.8100E-01        0.0000E+00
        1.0500E-01        0.0000E+00        1.6900E-01        0.0000E+00
        1.1500E-01        0.0000E+00        1.6100E-01        0.0000E+00
        1.2500E-01        0.0000E+00        1.6300E-01        0.0000E+00
        1.3500E-01        0.0000E+00        1.4700E-01        0.0000E+00
        1.4500E-01        0.0000E+00        1.4200E-01        0.0000E+00
        1.5500E-01        0.0000E+00        1.3900E-01        0.0000E+00
        1.6500E-01        0.0000E+00        1.3900E-01        0.0000E+00
        1.7500E-01        0.0000E+00        1.3900E-01        0.0000E+00
        1.8500E-01        0.0000E+00        1.3300E-01        0.0000E+00
        1.9500E-01        0.0000E+00        1.3500E-01        0.0000E+00
        2.0500E-01        0.0000E+00        1.3300E-01        0.0000E+00
        2.1500E-01        0.0000E+00        1.3400E-01        0.0000E+00
        2.2500E-01        0.0000E+00        1.3000E-01        0.0000E+00
        2.3500E-01        0.0000E+00        1.2900E-01        0.0000E+00
        2.4500E-01        0.0000E+00        1.2100E-01        0.0000E+00
        2.5500E-01        0.0000E+00        1.1700E-01        0.0000E+00
        2.6500E-01        0.0000E+00        1.2200E-01        0.0000E+00
        2.7500E-01        0.0000E+00        1.1900E-01        0.0000E+00
        2.8500E-01        0.0000E+00        1.2500E-01        0.0000E+00
        2.9500E-01        0.0000E+00        1.3300E-01        0.0000E+00
        3.2000E-01        0.0000E+00        1.2200E-01        0.0000E+00
        3.5000E-01        0.0000E+00        1.2400E-01        0.0000E+00
        3.7000E-01        0.0000E+00        1.2200E-01        0.0000E+00
        3.9000E-01        0.0000E+00        1.2000E-01        0.0000E+00
        4.2000E-01        0.0000E+00        1.2100E-01        0.0000E+00
        4.5000E-01        0.0000E+00        1.2200E-01        0.0000E+00
