# entry-subent-pointer  : 10523-014-0 
# EXFOR reaction        : (74-W-0(N,TOT),,SIG) 
# incident energy       : 1.2000e-01 MeV - 6.4000e-01 MeV 
# target                : W-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Divadeenam 
# institute             : (1USADKE): Duke University, Durham, NC 
# reference             : (J,DA/B,28,3834,196803) 
# year                  : 1968 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/105/10523.x4 
# nds                   : https://nds.iaea.org/EXFOR/10523
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.2000E-01        0.0000E+00        9.0869E+00        0.0000E+00
        1.4000E-01        0.0000E+00        8.7218E+00        0.0000E+00
        1.6000E-01        0.0000E+00        8.5028E+00        0.0000E+00
        1.8000E-01        0.0000E+00        8.2323E+00        0.0000E+00
        2.0000E-01        0.0000E+00        8.0840E+00        0.0000E+00
        2.2000E-01        0.0000E+00        7.8704E+00        0.0000E+00
        2.4000E-01        0.0000E+00        7.8190E+00        0.0000E+00
        2.6000E-01        0.0000E+00        7.6303E+00        0.0000E+00
        2.8000E-01        0.0000E+00        7.4933E+00        0.0000E+00
        3.0000E-01        0.0000E+00        7.3347E+00        0.0000E+00
        3.2000E-01        0.0000E+00        7.3346E+00        0.0000E+00
        3.4000E-01        0.0000E+00        7.2782E+00        0.0000E+00
        3.6000E-01        0.0000E+00        7.3024E+00        0.0000E+00
        3.8000E-01        0.0000E+00        7.1848E+00        0.0000E+00
        4.0000E-01        0.0000E+00        7.1528E+00        0.0000E+00
        4.2000E-01        0.0000E+00        7.1247E+00        0.0000E+00
        4.4000E-01        0.0000E+00        7.0973E+00        0.0000E+00
        4.6000E-01        0.0000E+00        7.0281E+00        0.0000E+00
        4.8000E-01        0.0000E+00        6.8750E+00        0.0000E+00
        5.0000E-01        0.0000E+00        6.8324E+00        0.0000E+00
        5.2000E-01        0.0000E+00        6.7802E+00        0.0000E+00
        5.4000E-01        0.0000E+00        6.7217E+00        0.0000E+00
        5.6000E-01        0.0000E+00        6.6433E+00        0.0000E+00
        5.8000E-01        0.0000E+00        6.6719E+00        0.0000E+00
        6.0000E-01        0.0000E+00        6.6333E+00        0.0000E+00
        6.2000E-01        0.0000E+00        6.6782E+00        0.0000E+00
        6.4000E-01        0.0000E+00        6.5688E+00        0.0000E+00
