# entry-subent-pointer  : 22513--00-7-0 
# EXFOR reaction        : ['74-W-184', ['N,INL'], '74-W-184,PAR,DA'] 
# incident energy       : 3.40e+00 MeV 
# target                : W-184 
# product               : W-184 
# level energy          : 1.11e-01 MeV 
# MF-MT number          : 4 - ['51'] 
# first author          : J.P.Delaroche 
# institute             : (2FR BRC): CEA/DAM Ile-de-France, Bruyeres-le-Chatel, Arpajon 
# reference             : (J,PR/C,23,136,1981) 
# year                  : 1981 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/225/22513.x4 
# nds                   : https://nds.iaea.org/EXFOR/22513
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.02000E+01      0.00000E+00      6.83300E-02      6.69634E-03
      4.52000E+01      0.00000E+00      6.22700E-02      6.66289E-03
      5.02000E+01      0.00000E+00      4.83300E-02      5.99292E-03
      6.03000E+01      0.00000E+00      4.10400E-02      4.63752E-03
      6.53000E+01      0.00000E+00      3.47300E-02      4.44544E-03
      7.03000E+01      0.00000E+00      3.40800E-02      4.83936E-03
      8.03000E+01      0.00000E+00      4.01300E-02      4.61495E-03
      8.53000E+01      0.00000E+00      4.93600E-02      5.77512E-03
      9.03000E+01      0.00000E+00      4.68300E-02      5.52594E-03
      1.00300E+02      0.00000E+00      3.99100E-02      4.94884E-03
      1.05300E+02      0.00000E+00      3.30700E-02      4.39831E-03
      1.10300E+02      0.00000E+00      2.49600E-02      3.34464E-03
      1.20300E+02      0.00000E+00      3.07200E-02      4.11648E-03
      1.30200E+02      0.00000E+00      2.51700E-02      3.44829E-03
      1.40200E+02      0.00000E+00      2.75200E-02      3.90784E-03
      1.50200E+02      0.00000E+00      2.14600E-02      3.11170E-03
      1.60100E+02      0.00000E+00      1.69700E-02      2.88490E-03
