# entry-subent-pointer  : 31735-006-0 
# EXFOR reaction        : ['74-W-186', ['N,G'], '74-W-187,PAR,SIG'] 
# incident energy       : 2.5300e-08 MeV 
# target                : W-186 
# product               : W-187 
# level energy          : 6.4741e-01 MeV 
# MF-MT number          : 3 - 67 
# first author          : A.M.Hurst 
# institute             : (1USABRK): Lawrence Berkeley National Laboratory, Berkeley, CA 
# reference             : (J,PR/C,89,014606,2014) 
# year                  : 2014 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/317/31735.x4 
# nds                   : https://nds.iaea.org/EXFOR/31735
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.53000E-08      0.00000E+00      1.06500E-01      7.30000E-03
      2.53000E-08      0.00000E+00      2.12000E-02      4.10000E-03
      2.53000E-08      0.00000E+00      2.27000E-01      1.40000E-02
      2.53000E-08      0.00000E+00      3.20000E-01      3.20000E-02
      2.53000E-08      0.00000E+00      1.68000E-02      8.40000E-03
      2.53000E-08      0.00000E+00      7.38000E-02      9.10000E-03
      2.53000E-08      0.00000E+00      6.80000E-02      2.40000E-02
      2.53000E-08      0.00000E+00      3.80000E-02      1.50000E-02
      2.53000E-08      0.00000E+00      7.64000E-02      6.20000E-03
      2.53000E-08      0.00000E+00      2.27000E-01      1.20000E-02
