# entry-subent-pointer  : 12790-003-0 
# EXFOR reaction        : ['39-Y-89', ['N,INL'], '39-Y-89,PAR,DA'] 
# incident energy       : 1.1000e+01 MeV 
# target                : Y-89 
# product               : Y-89 
# level energy          : 2.8800e+00 MeV 
# MF-MT number          : 4 - 59 
# first author          : Y.Yiming 
# institute             : (1USAOHO): Ohio University, Athens, OH 
# reference             : (J,NP/A,390,449,8212) 
# year                  : 1982 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/127/12790.x4 
# nds                   : https://nds.iaea.org/EXFOR/12790
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.02600E+01      0.00000E+00      1.99000E-03      0.00000E+00
      2.53200E+01      0.00000E+00      2.00000E-03      0.00000E+00
      3.03800E+01      0.00000E+00      2.59000E-03      0.00000E+00
      3.54300E+01      0.00000E+00      2.05000E-03      0.00000E+00
      4.04800E+01      0.00000E+00      1.66000E-03      0.00000E+00
      4.55300E+01      0.00000E+00      1.31000E-03      0.00000E+00
      5.05800E+01      0.00000E+00      1.37000E-03      0.00000E+00
      5.56200E+01      0.00000E+00      1.10000E-03      0.00000E+00
      6.06500E+01      0.00000E+00      1.00000E-03      0.00000E+00
      6.56800E+01      0.00000E+00      8.40000E-04      0.00000E+00
      7.07100E+01      0.00000E+00      1.04000E-03      0.00000E+00
      7.57300E+01      0.00000E+00      1.00000E-03      0.00000E+00
      8.07400E+01      0.00000E+00      8.80000E-04      0.00000E+00
      9.07500E+01      0.00000E+00      9.90000E-04      0.00000E+00
      1.00740E+02      0.00000E+00      7.70000E-04      0.00000E+00
      1.10710E+02      0.00000E+00      6.30000E-04      0.00000E+00
      1.20650E+02      0.00000E+00      7.20000E-04      0.00000E+00
      1.25610E+02      0.00000E+00      4.50000E-04      0.00000E+00
      1.30570E+02      0.00000E+00      5.40000E-04      0.00000E+00
      1.40480E+02      0.00000E+00      6.60000E-04      0.00000E+00
