# entry-subent-pointer  : 20342-007-0 
# EXFOR reaction        : ['30-ZN-0', ['N,EL'], '30-ZN-0,,DA'] 
# incident energy       : 2.24e+00 MeV 
# target                : Zn-0 
# product               : Zn-0 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : S.Tanaka 
# institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
# reference             : (C,70HELSINKI,1,305,197006) 
# year                  : 1970 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/203/20342.x4 
# nds                   : https://nds.iaea.org/EXFOR/20342
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -8.66020E-01      0.00000E+00      1.02200E-01      6.00000E-03
     -7.66040E-01      0.00000E+00      9.20000E-02      5.40000E-03
     -6.42780E-01      0.00000E+00      9.53000E-02      5.70000E-03
     -5.00000E-01      0.00000E+00      1.12000E-01      6.30000E-03
     -3.42020E-01      0.00000E+00      1.10600E-01      6.00000E-03
     -1.73640E-01      0.00000E+00      1.04800E-01      6.00000E-03
      0.00000E+00      0.00000E+00      9.05000E-02      5.40000E-03
      1.73640E-01      0.00000E+00      8.20000E-02      5.10000E-03
      3.42020E-01      0.00000E+00      8.80000E-02      5.40000E-03
      5.00000E-01      0.00000E+00      1.37200E-01      7.80000E-03
      6.42780E-01      0.00000E+00      2.30100E-01      1.00000E-02
      7.66040E-01      0.00000E+00      3.68100E-01      1.30000E-02
      8.66020E-01      0.00000E+00      5.50000E-01      1.60000E-02
