# entry-subent-pointer  : 20019--16-9-0 
# EXFOR reaction        : ['30-ZN-0', ['N,EL'], '30-ZN-0,,DA'] 
# incident energy       : 4.56e+00 MeV 
# target                : Zn-0 
# product               : Zn-0 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : B.Holmqvist 
# institute             : (2SWDAE ): Studsvik Energiteknik AB 
# reference             : (R,AE-366,1969) 
# year                  : 1969 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/200/20019.x4 
# nds                   : https://nds.iaea.org/EXFOR/20019
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -8.70000E-01      0.00000E+00      2.50000E-02      1.25000E-03
     -7.72000E-01      0.00000E+00      1.30000E-02      6.50000E-04
     -6.52000E-01      0.00000E+00      1.50000E-02      7.50000E-04
     -5.11000E-01      0.00000E+00      3.00000E-02      1.50000E-03
     -3.56000E-01      0.00000E+00      4.60000E-02      2.30000E-03
     -1.89000E-01      0.00000E+00      6.00000E-02      3.00000E-03
     -1.50000E-02      0.00000E+00      6.70000E-02      3.35000E-03
      1.59000E-01      0.00000E+00      5.60000E-02      2.80000E-03
      3.29000E-01      0.00000E+00      2.90000E-02      1.45000E-03
      4.10000E-01      0.00000E+00      1.60000E-02      8.00000E-04
      4.89000E-01      0.00000E+00      1.60000E-02      8.00000E-04
      5.63000E-01      0.00000E+00      3.80000E-02      1.90000E-03
      6.34000E-01      0.00000E+00      7.60000E-02      3.80000E-03
      6.99000E-01      0.00000E+00      1.44000E-01      7.20000E-03
      7.60000E-01      0.00000E+00      2.54000E-01      1.27000E-02
      8.14000E-01      0.00000E+00      4.32000E-01      2.16000E-02
      8.62000E-01      0.00000E+00      7.37000E-01      3.68500E-02
