# entry-subent-pointer  : 12940-004-0 
# EXFOR reaction        : (40-ZR-0(N,TOT),,SIG) 
# incident energy       : 3.7619e-06 MeV - 4.0650e-01 MeV 
# target                : Zr-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Salah 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (C,85SANTA,1,593,198505) 
# year                  : 1985 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/129/12940.x4 
# nds                   : https://nds.iaea.org/EXFOR/12940
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.0650E-01        0.0000E+00        1.0937E+01        9.5909E+00
        4.0119E-01        0.0000E+00        1.0248E+01        4.9426E+00
        3.9598E-01        0.0000E+00        6.9462E+00        3.6389E+00
        3.9088E-01        0.0000E+00        1.3240E+00        3.3237E+00
        3.8587E-01        0.0000E+00        4.6043E+00        3.3692E+00
        3.8096E-01        0.0000E+00        6.3797E+00        3.2357E+00
        3.7614E-01        0.0000E+00        4.6798E+00        3.1328E+00
        3.7141E-01        0.0000E+00        8.4274E+00        2.9931E+00
        3.6678E-01        0.0000E+00        7.7135E+00        3.0131E+00
        3.6222E-01        0.0000E+00        1.0385E+01        2.9326E+00
        3.5983E-01        0.0000E+00       -1.3041E+01        1.1251E+01
        3.5953E-01        0.0000E+00        3.4054E+00        1.1262E+01
        3.5923E-01        0.0000E+00        1.5797E+01        1.1300E+01
        3.5894E-01        0.0000E+00        1.7425E+01        1.1276E+01
        3.5864E-01        0.0000E+00        1.3515E+01        1.1243E+01
        3.5834E-01        0.0000E+00        1.9444E+01        1.1381E+01
        3.5805E-01        0.0000E+00        1.2074E+01        1.1394E+01
        3.5775E-01        0.0000E+00        3.7187E+01        1.1467E+01
        3.5746E-01        0.0000E+00        1.2657E+01        1.1479E+01
        3.5716E-01        0.0000E+00        1.7990E+01        1.1444E+01
        3.5687E-01        0.0000E+00        1.2125E+01        1.1413E+01
        3.5658E-01        0.0000E+00       -2.2987E+00        1.1425E+01
        3.5628E-01        0.0000E+00        4.9378E-01        1.1388E+01
        3.5599E-01        0.0000E+00        1.2081E+01        1.1417E+01
        3.5570E-01        0.0000E+00        3.3071E+01        1.1473E+01
        3.5540E-01        0.0000E+00        1.2578E+01        1.1502E+01
        3.5511E-01        0.0000E+00        2.4305E+01        1.1579E+01
        3.5482E-01        0.0000E+00       -2.4241E+01        1.1506E+01
        3.5453E-01        0.0000E+00       -1.4041E+00        1.1534E+01
        3.5424E-01        0.0000E+00       -1.1553E+01        1.1533E+01
        3.5395E-01        0.0000E+00        2.3304E+01        1.1586E+01
        3.5366E-01        0.0000E+00        7.4638E+00        1.1496E+01
        3.5337E-01        0.0000E+00        1.2850E+01        1.1537E+01
        3.5308E-01        0.0000E+00        6.0936E+00        1.1442E+01
        3.5279E-01        0.0000E+00       -1.0862E+01        1.1438E+01
        3.5250E-01        0.0000E+00       -6.7371E+00        1.1368E+01
        3.5221E-01        0.0000E+00        2.1275E+01        1.1367E+01
        3.5192E-01        0.0000E+00        8.0623E+00        1.1329E+01
        3.5164E-01        0.0000E+00        4.1841E+00        1.1266E+01
        3.5135E-01        0.0000E+00       -4.6479E+00        1.1211E+01
        3.5106E-01        0.0000E+00        1.0686E+01        1.1219E+01
        3.5077E-01        0.0000E+00        1.3161E+01        1.1177E+01
        3.5049E-01        0.0000E+00        3.4069E-01        1.1086E+01
        3.5020E-01        0.0000E+00       -2.6054E+00        1.1082E+01
        3.4992E-01        0.0000E+00        1.5922E+01        1.0939E+01
        3.4963E-01        0.0000E+00       -1.1647E+01        1.0910E+01
        3.4935E-01        0.0000E+00        2.5754E+01        1.0874E+01
        3.4906E-01        0.0000E+00        2.7637E+01        1.0843E+01
        3.4878E-01        0.0000E+00       -3.5773E+00        1.0747E+01
        3.4849E-01        0.0000E+00        5.8147E+00        1.0729E+01
        3.4821E-01        0.0000E+00        9.9998E+00        1.0624E+01
        3.4793E-01        0.0000E+00        5.1602E+00        1.0606E+01
        3.4764E-01        0.0000E+00        4.2577E+00        1.0585E+01
        3.4736E-01        0.0000E+00        1.8217E+01        1.0618E+01
        3.4708E-01        0.0000E+00        2.4290E+01        1.0609E+01
        3.4680E-01        0.0000E+00        5.2862E+00        1.0488E+01
        3.4652E-01        0.0000E+00        1.3725E+01        1.0583E+01
        3.4623E-01        0.0000E+00        1.7837E+01        1.0564E+01
        3.4595E-01        0.0000E+00        3.8899E+01        1.0517E+01
        3.4567E-01        0.0000E+00        2.8240E+01        1.0497E+01
        3.4539E-01        0.0000E+00        1.6343E+01        1.0497E+01
        3.4511E-01        0.0000E+00        1.5036E+01        1.0473E+01
        3.4483E-01        0.0000E+00        1.5765E+01        1.0484E+01
        3.4455E-01        0.0000E+00        1.1159E+01        1.0445E+01
        3.4428E-01        0.0000E+00        4.6642E+00        1.0376E+01
        3.4400E-01        0.0000E+00       -9.2802E+00        1.0423E+01
        3.4372E-01        0.0000E+00        5.1579E+00        1.0396E+01
        3.4344E-01        0.0000E+00       -1.3332E+00        1.0374E+01
        3.4316E-01        0.0000E+00        1.5247E+01        1.0343E+01
        3.4289E-01        0.0000E+00       -2.7312E-01        1.0279E+01
        3.4261E-01        0.0000E+00       -6.1748E+00        1.0297E+01
        3.4233E-01        0.0000E+00        9.1774E+00        1.0341E+01
        3.4206E-01        0.0000E+00        4.6263E+00        1.0318E+01
        3.4178E-01        0.0000E+00        5.2741E+00        1.0318E+01
        3.4151E-01        0.0000E+00       -8.3589E+00        1.0296E+01
        3.4123E-01        0.0000E+00       -8.8043E+00        1.0314E+01
        3.4096E-01        0.0000E+00        1.6650E+01        1.0341E+01
        3.4068E-01        0.0000E+00       -7.8817E+00        1.0314E+01
        3.4041E-01        0.0000E+00       -9.7468E+00        1.0231E+01
        3.4014E-01        0.0000E+00        3.6819E+00        1.0316E+01
        3.3986E-01        0.0000E+00       -1.1899E+01        1.0231E+01
        3.3959E-01        0.0000E+00        1.8103E+01        1.0262E+01
        3.3932E-01        0.0000E+00        2.4089E+01        1.0237E+01
        3.3904E-01        0.0000E+00        7.6360E+00        1.0172E+01
        3.3877E-01        0.0000E+00        2.3871E+01        1.0244E+01
        3.3850E-01        0.0000E+00        4.2763E+00        1.0161E+01
        3.3823E-01        0.0000E+00        2.9935E+01        1.0200E+01
        3.3796E-01        0.0000E+00        1.0913E+01        1.0240E+01
        3.3769E-01        0.0000E+00        9.8426E+00        1.0217E+01
        3.3742E-01        0.0000E+00        4.8232E+00        1.0223E+01
        3.3715E-01        0.0000E+00       -6.8730E-01        1.0230E+01
        3.3688E-01        0.0000E+00        1.4808E+01        1.0248E+01
        3.3661E-01        0.0000E+00        1.6202E+01        1.0239E+01
        3.3634E-01        0.0000E+00       -1.8535E+00        1.0318E+01
        3.3607E-01        0.0000E+00        1.1034E+01        1.0228E+01
        3.3580E-01        0.0000E+00       -6.2460E+00        1.0195E+01
        3.3553E-01        0.0000E+00       -1.0177E+01        1.0201E+01
        3.3526E-01        0.0000E+00        2.2601E+00        1.0152E+01
