# entry-subent-pointer  : 41119-004-0 
# EXFOR reaction        : (40-ZR-94(N,INL)40-ZR-94,PAR,SIG) 
# incident energy       : 1.1100e+00 MeV - 2.3800e+00 MeV 
# target                : Zr-94 
# product               : Zr-94 
# level energy          : 9.1880e-01 MeV 
# MF-MT number          : 3 - 51 
# first author          : Kramarovskii 
# institute             : (4RUSRI): Khlopin Radievij Institute , St.Petersburg 
# reference             : ((J,YK,,(1),37,1992)=(R,INDC(CCP)-349,37,1992)) 
# year                  : 1992 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/411/41119.x4 
# nds                   : https://nds.iaea.org/EXFOR/41119
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.3800E+00        0.0000E+00        7.5000E-01        5.0000E-02
        2.3500E+00        0.0000E+00        7.9000E-01        5.0000E-02
        2.3200E+00        0.0000E+00        8.8000E-01        6.0000E-02
        2.2900E+00        0.0000E+00        9.8000E-01        6.0000E-02
        2.2600E+00        0.0000E+00        8.0000E-01        5.0000E-02
        2.2300E+00        0.0000E+00        8.0000E-01        5.0000E-02
        2.2000E+00        0.0000E+00        7.7000E-01        5.5000E-02
        2.1700E+00        0.0000E+00        8.6000E-01        6.0000E-02
        2.1400E+00        0.0000E+00        8.6000E-01        6.0000E-02
        2.1100E+00        0.0000E+00        8.5000E-01        6.0000E-02
        2.0800E+00        0.0000E+00        6.6000E-01        5.0000E-02
        2.0500E+00        0.0000E+00        6.6000E-01        5.0000E-02
        2.0100E+00        0.0000E+00        4.9000E-01        6.0000E-02
        1.9600E+00        0.0000E+00        7.3000E-01        5.0000E-02
        1.9200E+00        0.0000E+00        6.6000E-01        5.0000E-02
        1.8700E+00        0.0000E+00        7.3000E-01        5.0000E-02
        1.8100E+00        0.0000E+00        7.1400E-01        5.0000E-02
        1.7600E+00        0.0000E+00        7.2000E-01        5.0000E-02
        1.7200E+00        0.0000E+00        7.6000E-01        6.0000E-02
        1.6800E+00        0.0000E+00        6.9000E-01        5.0000E-02
        1.6100E+00        0.0000E+00        7.6000E-01        6.0000E-02
        1.5600E+00        0.0000E+00        8.1000E-01        6.0000E-02
        1.5100E+00        0.0000E+00        7.6000E-01        6.0000E-02
        1.4600E+00        0.0000E+00        6.2000E-01        5.0000E-02
        1.4100E+00        0.0000E+00        6.3000E-01        5.0000E-02
        1.3600E+00        0.0000E+00        4.1000E-01        3.0000E-02
        1.3100E+00        0.0000E+00        4.1000E-01        3.0000E-02
        1.2600E+00        0.0000E+00        3.8000E-01        3.0000E-02
        1.2000E+00        0.0000E+00        2.3000E-01        2.0000E-02
        1.1500E+00        0.0000E+00        2.0000E-01        2.0000E-02
        1.1100E+00        0.0000E+00        1.1000E-01        1.0000E-02
