# entry-subent-pointer  : O0384--02-3-0 
# EXFOR reaction        : ['18-AR-40', ['P,EL'], '18-AR-40,,DA,,,EXP'] 
# incident energy       : 1.69e+01 MeV 
# target                : Ar-40 
# product               : Ar-40 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : W.S.Gray 
# institute             : (1USACLU): Colorado University, Boulder, CO 
# reference             : (J,NP,67,542,65) 
# year                  : 1965 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O03/O0384.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0384
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.79000E+01      1.10000E+00      3.51000E-01      1.75500E-02
      2.94000E+01      1.10000E+00      2.00000E-01      1.00000E-02
      3.84000E+01      1.10000E+00      7.40000E-02      3.70000E-03
      4.21000E+01      1.10000E+00      4.68000E-02      2.34000E-03
      4.44000E+01      1.10000E+00      5.80000E-02      2.90000E-03
      5.05000E+01      1.10000E+00      6.40000E-02      3.20000E-03
      5.66000E+01      1.10000E+00      6.40000E-02      3.20000E-03
      6.04000E+01      1.10000E+00      5.73000E-02      2.86500E-03
      6.34000E+01      1.10000E+00      4.02000E-02      2.01000E-03
      6.41000E+01      1.10000E+00      3.49000E-02      1.74500E-03
      6.63000E+01      1.10000E+00      2.63000E-02      1.31500E-03
      7.23000E+01      1.10000E+00      1.25000E-02      6.25000E-04
      7.45000E+01      1.10000E+00      7.90000E-03      3.95000E-04
      8.13000E+01      1.10000E+00      3.76000E-03      1.88000E-04
      8.66000E+01      1.10000E+00      4.63000E-03      2.31500E-04
      9.05000E+01      1.10000E+00      6.60000E-03      3.30000E-04
      9.43000E+01      1.10000E+00      1.04000E-02      5.20000E-04
      9.89000E+01      1.10000E+00      1.19000E-02      5.95000E-04
      1.04200E+02      1.10000E+00      1.03000E-02      5.15000E-04
      1.10300E+02      1.10000E+00      9.90000E-03      4.95000E-04
      1.15500E+02      1.10000E+00      6.30000E-03      3.15000E-04
      1.18500E+02      1.10000E+00      4.55000E-03      2.27500E-04
      1.29000E+02      1.10000E+00      1.47000E-03      7.35000E-05
      1.39600E+02      1.10000E+00      1.36000E-03      6.80000E-05
      1.51900E+02      1.10000E+00      2.73000E-03      1.36500E-04
