# entry-subent-pointer  : O0276-377-0 
# EXFOR reaction        : ['79-AU-197', ['P,X'], '35-BR-82-G,M+,SIG'] 
# incident energy       : 1.4900e+02 MeV - 1.5700e+03 MeV 
# target                : Au-197 
# product               : Br-82-G 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : R.Michel 
# institute             : (2GERKLN): Universitaet zu Koeln, Koeln 
# reference             : (J,NIM/B,129,153,1997) 
# year                  : 1997 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O02/O0276.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0276
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.49000E+02      1.03000E+00      4.89000E-04      1.46000E-04
      1.62000E+02      8.58000E-01      6.56000E-04      1.82000E-04
      1.75000E+02      6.39000E-01      5.42000E-04      1.71000E-04
      2.16000E+02      0.00000E+00      5.89000E-04      6.36000E-05
      2.43000E+02      1.71000E+00      7.71000E-04      1.21000E-04
      2.61000E+02      0.00000E+00      7.20000E-04      8.65000E-05
      3.25000E+02      1.67000E+00      8.82000E-04      1.39000E-04
      3.29000E+02      0.00000E+00      7.81000E-04      8.57000E-05
      3.67000E+02      0.00000E+00      6.35000E-04      8.40000E-05
      5.55000E+02      1.59000E+00      1.24000E-03      1.45000E-04
      7.60000E+02      1.55000E+00      9.27000E-04      1.69000E-04
      1.20000E+03      1.29000E+00      8.39000E-04      1.70000E-04
      1.57000E+03      1.31000E+00      5.62000E-04      1.17000E-04
