# entry-subent-pointer  : A0636-003-0 
# EXFOR reaction        : ['5-B-11', ['P,A'], '4-BE-8,,SIG,,SFC'] 
# incident energy       : 1.67e-02 MeV - 1.34e-01 MeV 
# target                : B-11 
# product               : Be-8 
# level energy          : - 
# MF-MT number          : 3 - 107 
# first author          : C.Angulo 
# institute             : (2GERBOC): Ruhr-Universitaet Bochum 
# reference             : (J,ZP/A,345,231,1993) 
# year                  : 1993 
# facility              : (CCW): Cockcroft-Walton accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A06/A0636.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0636
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.67200E-02      0.00000E+00      3.00000E+08      0.00000E+00
      1.85400E-02      0.00000E+00      2.88000E+08      0.00000E+00
      1.98000E-02      0.00000E+00      2.67000E+08      0.00000E+00
      2.07300E-02      0.00000E+00      2.64000E+08      0.00000E+00
      2.21900E-02      0.00000E+00      2.49000E+08      0.00000E+00
      2.40400E-02      0.00000E+00      2.51000E+08      0.00000E+00
      2.64000E-02      0.00000E+00      2.36000E+08      0.00000E+00
      3.02700E-02      0.00000E+00      2.25000E+08      0.00000E+00
      3.47900E-02      0.00000E+00      2.17000E+08      0.00000E+00
      3.93400E-02      0.00000E+00      2.23000E+08      0.00000E+00
      4.39000E-02      0.00000E+00      2.11000E+08      0.00000E+00
      4.84600E-02      0.00000E+00      2.10000E+08      0.00000E+00
      5.30200E-02      0.00000E+00      2.06000E+08      0.00000E+00
      5.75900E-02      0.00000E+00      2.06000E+08      0.00000E+00
      6.21600E-02      0.00000E+00      2.16000E+08      0.00000E+00
      6.67300E-02      0.00000E+00      2.02000E+08      0.00000E+00
      7.13000E-02      0.00000E+00      2.08000E+08      0.00000E+00
      7.58700E-02      0.00000E+00      2.05000E+08      0.00000E+00
      8.04500E-02      0.00000E+00      2.07000E+08      0.00000E+00
      8.50200E-02      0.00000E+00      2.15000E+08      0.00000E+00
      9.11800E-02      0.00000E+00      2.09000E+08      0.00000E+00
      9.69100E-02      0.00000E+00      2.19000E+08      0.00000E+00
      1.01500E-01      0.00000E+00      2.15000E+08      0.00000E+00
      1.06100E-01      0.00000E+00      2.28000E+08      0.00000E+00
      1.10700E-01      0.00000E+00      2.33000E+08      0.00000E+00
      1.15200E-01      0.00000E+00      2.43000E+08      0.00000E+00
      1.19800E-01      0.00000E+00      2.54000E+08      0.00000E+00
      1.24400E-01      0.00000E+00      2.58000E+08      0.00000E+00
      1.29000E-01      0.00000E+00      2.75000E+08      0.00000E+00
      1.33500E-01      0.00000E+00      2.99000E+08      0.00000E+00
