# entry-subent-pointer  : F0360-008-0 
# EXFOR reaction        : (5-B-11(P,G)6-C-12,PAR,SIG) 
# incident energy       : 1.3410e+01 MeV - 2.1150e+01 MeV 
# target                : B-11 
# product               : C-12 
# level energy          : 0.0000e+00 MeV 
# MF-MT number          : 3 - 0 
# first author          : Kernel 
# institute             : (2UK OXF): University of Oxford, Oxford 
# reference             : (J,NP/A,123,205,1969) 
# year                  : 1969 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F03/F0360.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0360
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.3410E+01        5.0000E-02        2.2800E-05        0.0000E+00
        1.3480E+01        5.0000E-02        2.2200E-05        0.0000E+00
        1.3560E+01        5.0000E-02        2.1400E-05        0.0000E+00
        1.3640E+01        5.0000E-02        2.0600E-05        0.0000E+00
        1.3720E+01        5.0000E-02        1.9800E-05        0.0000E+00
        1.3800E+01        5.0000E-02        1.9300E-05        0.0000E+00
        1.3880E+01        5.0000E-02        1.9100E-05        0.0000E+00
        1.3950E+01        5.0000E-02        1.9100E-05        0.0000E+00
        1.4030E+01        5.0000E-02        1.9100E-05        0.0000E+00
        1.4110E+01        5.0000E-02        1.9100E-05        0.0000E+00
        1.4190E+01        5.0000E-02        1.9200E-05        0.0000E+00
        1.4270E+01        5.0000E-02        1.9300E-05        0.0000E+00
        1.4340E+01        5.0000E-02        1.9400E-05        0.0000E+00
        1.4420E+01        5.0000E-02        1.9500E-05        0.0000E+00
        1.4500E+01        5.0000E-02        1.9700E-05        0.0000E+00
        1.4580E+01        5.0000E-02        1.9800E-05        0.0000E+00
        1.4660E+01        5.0000E-02        1.9900E-05        0.0000E+00
        1.4740E+01        5.0000E-02        1.9900E-05        0.0000E+00
        1.4810E+01        5.0000E-02        1.9900E-05        0.0000E+00
        1.4890E+01        5.0000E-02        1.9900E-05        0.0000E+00
        1.4970E+01        5.0000E-02        1.9900E-05        0.0000E+00
        1.5050E+01        5.0000E-02        1.9900E-05        0.0000E+00
        1.5130E+01        5.0000E-02        1.9800E-05        0.0000E+00
        1.5200E+01        5.0000E-02        1.9700E-05        0.0000E+00
        1.5280E+01        5.0000E-02        1.9600E-05        0.0000E+00
        1.5360E+01        5.0000E-02        1.9400E-05        0.0000E+00
        1.5440E+01        5.0000E-02        1.9200E-05        0.0000E+00
        1.5520E+01        5.0000E-02        1.9000E-05        0.0000E+00
        1.5600E+01        5.0000E-02        1.8700E-05        0.0000E+00
        1.5670E+01        5.0000E-02        1.8400E-05        0.0000E+00
        1.5750E+01        5.0000E-02        1.8000E-05        0.0000E+00
        1.5830E+01        5.0000E-02        1.7600E-05        0.0000E+00
        1.5910E+01        5.0000E-02        1.7300E-05        0.0000E+00
        1.5990E+01        5.0000E-02        1.7000E-05        0.0000E+00
        1.6070E+01        5.0000E-02        1.6800E-05        0.0000E+00
        1.6140E+01        5.0000E-02        1.6500E-05        0.0000E+00
        1.6220E+01        5.0000E-02        1.6200E-05        0.0000E+00
        1.6300E+01        5.0000E-02        1.5900E-05        0.0000E+00
        1.6380E+01        5.0000E-02        1.5600E-05        0.0000E+00
        1.6460E+01        5.0000E-02        1.5400E-05        0.0000E+00
        1.6530E+01        5.0000E-02        1.5200E-05        0.0000E+00
        1.6610E+01        5.0000E-02        1.4900E-05        0.0000E+00
        1.6690E+01        5.0000E-02        1.4600E-05        0.0000E+00
        1.6770E+01        5.0000E-02        1.4400E-05        0.0000E+00
        1.6850E+01        5.0000E-02        1.4200E-05        0.0000E+00
        1.6930E+01        5.0000E-02        1.4000E-05        0.0000E+00
        1.7000E+01        5.0000E-02        1.3800E-05        0.0000E+00
        1.7080E+01        5.0000E-02        1.3600E-05        0.0000E+00
        1.7160E+01        5.0000E-02        1.3300E-05        0.0000E+00
        1.7240E+01        5.0000E-02        1.3200E-05        0.0000E+00
        1.7320E+01        5.0000E-02        1.3100E-05        0.0000E+00
        1.7390E+01        5.0000E-02        1.3000E-05        0.0000E+00
        1.7470E+01        5.0000E-02        1.2900E-05        0.0000E+00
        1.7550E+01        5.0000E-02        1.2700E-05        0.0000E+00
        1.7630E+01        5.0000E-02        1.2600E-05        0.0000E+00
        1.7710E+01        5.0000E-02        1.2400E-05        0.0000E+00
        1.7790E+01        5.0000E-02        1.2300E-05        0.0000E+00
        1.7860E+01        5.0000E-02        1.2100E-05        0.0000E+00
        1.7940E+01        5.0000E-02        1.2000E-05        0.0000E+00
        1.8020E+01        5.0000E-02        1.1900E-05        0.0000E+00
        1.8100E+01        5.0000E-02        1.1800E-05        0.0000E+00
        1.8180E+01        5.0000E-02        1.1600E-05        0.0000E+00
        1.8250E+01        5.0000E-02        1.1500E-05        0.0000E+00
        1.8330E+01        5.0000E-02        1.1400E-05        0.0000E+00
        1.8410E+01        5.0000E-02        1.1400E-05        0.0000E+00
        1.8490E+01        5.0000E-02        1.1300E-05        0.0000E+00
        1.8570E+01        5.0000E-02        1.1200E-05        0.0000E+00
        1.8650E+01        5.0000E-02        1.1100E-05        0.0000E+00
        1.8720E+01        5.0000E-02        1.0800E-05        0.0000E+00
        1.8800E+01        5.0000E-02        1.0700E-05        0.0000E+00
        1.8880E+01        5.0000E-02        1.0600E-05        0.0000E+00
        1.8960E+01        5.0000E-02        1.0400E-05        0.0000E+00
        1.9040E+01        5.0000E-02        1.0300E-05        0.0000E+00
        1.9110E+01        5.0000E-02        1.0200E-05        0.0000E+00
        1.9190E+01        5.0000E-02        1.0000E-05        0.0000E+00
        1.9270E+01        5.0000E-02        9.9000E-06        0.0000E+00
        1.9350E+01        5.0000E-02        9.8000E-06        0.0000E+00
        1.9430E+01        5.0000E-02        9.7000E-06        0.0000E+00
        1.9510E+01        5.0000E-02        9.6000E-06        0.0000E+00
        1.9580E+01        5.0000E-02        9.6000E-06        0.0000E+00
        1.9660E+01        5.0000E-02        9.5000E-06        0.0000E+00
        1.9740E+01        5.0000E-02        9.4000E-06        0.0000E+00
        1.9820E+01        5.0000E-02        9.2000E-06        0.0000E+00
        1.9900E+01        5.0000E-02        9.0000E-06        0.0000E+00
        1.9970E+01        5.0000E-02        8.8000E-06        0.0000E+00
        2.0050E+01        5.0000E-02        8.8000E-06        0.0000E+00
        2.0130E+01        5.0000E-02        8.7000E-06        0.0000E+00
        2.0210E+01        5.0000E-02        8.5000E-06        0.0000E+00
        2.0290E+01        5.0000E-02        8.3000E-06        0.0000E+00
        2.0370E+01        5.0000E-02        8.1000E-06        0.0000E+00
        2.0440E+01        5.0000E-02        8.0000E-06        0.0000E+00
        2.0520E+01        5.0000E-02        7.9000E-06        0.0000E+00
        2.0600E+01        5.0000E-02        7.8000E-06        0.0000E+00
        2.0680E+01        5.0000E-02        7.8000E-06        0.0000E+00
        2.0760E+01        5.0000E-02        7.7000E-06        0.0000E+00
        2.0840E+01        5.0000E-02        7.5000E-06        0.0000E+00
        2.0910E+01        5.0000E-02        7.3000E-06        0.0000E+00
        2.0990E+01        5.0000E-02        7.2000E-06        0.0000E+00
        2.1070E+01        5.0000E-02        7.1000E-06        0.0000E+00
        2.1150E+01        5.0000E-02        7.0000E-06        0.0000E+00
