# entry-subent-pointer  : D0552-003-0 
# EXFOR reaction        : (4-BE-9(P,A)3-LI-6,,SIG) 
# incident energy       : 1.2024e-02 MeV - 2.8763e-01 MeV 
# target                : Be-9 
# product               : Li-6 
# level energy          : - 
# MF-MT number          : 3 - 107 
# first author          : Qun-Gang Wen 
# institute             : (3CPRAEP): China Institute of Atomic Energy, Beijing 
# reference             : (J,PR/C,78,035805,2008) 
# year                  : 2008 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D05/D0552.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0552
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.2024E-02        2.0000E-04        4.1454E-12        0.0000E+00
        3.7353E-02        2.0000E-04        2.1922E-06        0.0000E+00
        6.2862E-02        2.0000E-04        1.2267E-04        0.0000E+00
        8.7583E-02        2.0000E-04        1.0521E-03        0.0000E+00
        1.1273E-01        2.0000E-04        4.4170E-03        0.0000E+00
        1.3788E-01        2.0000E-04        1.2973E-02        0.0000E+00
        1.6263E-01        2.0000E-04        3.0478E-02        0.0000E+00
        1.8779E-01        2.0000E-04        5.9894E-02        0.0000E+00
        2.1254E-01        2.0000E-04        1.0763E-01        0.0000E+00
        2.3730E-01        2.0000E-04        1.7691E-01        0.0000E+00
        2.6246E-01        2.0000E-04        2.6594E-01        0.0000E+00
        2.8763E-01        2.0000E-04        3.1979E-01        0.0000E+00
