# entry-subent-pointer  : F0132-003-0 
# EXFOR reaction        : ['4-BE-9', ['P,EL'], '4-BE-9,,DA'] 
# incident energy       : 1.40e+01 MeV 
# target                : Be-9 
# product               : Be-9 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : H.J.Votava 
# institute             : (1USATNL): Triangle Universities Nuclear Laboratory , Durham, NC 
# reference             : (J,NP/A,204,529,1973) 
# year                  : 1973 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F01/F0132.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0132
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.09100E+01      2.50000E-01      5.17500E-01      0.00000E+00
      3.35700E+01      2.50000E-01      2.47600E-01      0.00000E+00
      4.45500E+01      2.50000E-01      1.12400E-01      0.00000E+00
      5.50400E+01      2.50000E-01      3.54100E-02      0.00000E+00
      6.64000E+01      2.50000E-01      8.34000E-03      0.00000E+00
      7.58800E+01      2.50000E-01      5.59000E-03      0.00000E+00
      8.61100E+01      2.50000E-01      9.64000E-03      0.00000E+00
      9.62300E+01      2.50000E-01      1.28300E-02      0.00000E+00
      1.05900E+02      2.50000E-01      1.32800E-02      0.00000E+00
      1.17100E+02      2.50000E-01      1.12600E-02      0.00000E+00
      1.25100E+02      2.50000E-01      9.28000E-03      0.00000E+00
      1.36200E+02      2.50000E-01      5.54000E-03      0.00000E+00
      1.45300E+02      2.50000E-01      3.66000E-03      0.00000E+00
      1.53500E+02      2.50000E-01      2.79000E-03      0.00000E+00
      1.63500E+02      2.50000E-01      2.83000E-03      0.00000E+00
