# entry-subent-pointer  : O1099-281-0 
# EXFOR reaction        : (83-BI-209(P,4N)84-PO-206,,SIG) 
# incident energy       : 7.4200e+01 MeV - 2.5980e+03 MeV 
# target                : Bi-209 
# product               : Po-206 
# level energy          : - 
# MF-MT number          : 3 - 37 
# first author          : Michel 
# institute             : (2GERUH): University Hannover (previously Tech.University Hannover) 
# reference             : (J,NSTS,2,242,2002) 
# year                  : 2002 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O10/O1099.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1099
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        7.4200E+01        1.6600E+00        9.1580E-02        5.5930E-03
        7.7200E+01        2.2300E+00        9.4100E-02        5.5880E-03
        8.6000E+01        1.6800E+00        7.4960E-02        4.5510E-03
        8.8900E+01        2.1200E+00        7.6900E-02        4.6430E-03
        9.4400E+01        1.5300E+00        6.8660E-02        4.1320E-03
        1.0080E+02        2.0080E+00        5.9480E-02        3.5380E-03
        1.0100E+02        1.9400E+00        6.5730E-02        4.0130E-03
        1.0500E+02        1.4200E+00        5.5360E-02        3.4400E-03
        1.1100E+02        1.8600E+00        5.8870E-02        3.6670E-03
        1.1200E+02        1.3900E+00        5.1950E-02        3.1150E-03
        1.2100E+02        1.2500E+00        5.0480E-02        3.1390E-03
        1.2200E+02        1.8300E+00        5.3450E-02        3.8630E-03
        1.2580E+02        1.9020E+00        4.4140E-02        2.6930E-03
        1.2800E+02        1.0800E+00        4.4210E-02        2.6200E-03
        1.3100E+02        1.7300E+00        4.8770E-02        2.8450E-03
        1.3280E+02        1.8570E+00        4.1890E-02        2.4930E-03
        1.4200E+02        1.5600E+00        4.2990E-02        2.6640E-03
        1.5000E+02        1.4800E+00        4.0720E-02        2.4010E-03
        1.5410E+02        1.5210E+00        3.6790E-02        2.2200E-03
        1.5900E+02        1.3800E+00        3.6890E-02        2.0850E-03
        1.6050E+02        1.4830E+00        3.3740E-02        2.0540E-03
        1.6600E+02        1.2600E+00        3.2450E-02        1.9430E-03
        2.3500E+02        0.0000E+00        1.9340E-02        1.6260E-03
        2.7650E+02        8.3610E-01        1.6380E-02        1.0400E-03
        3.1800E+02        1.9600E+00        1.4870E-02        1.0290E-03
        5.5100E+02        1.6900E+00        9.6770E-03        6.1540E-04
        7.5700E+02        1.6500E+00        9.7760E-03        6.6880E-04
        9.9800E+02        6.9000E-01        8.3680E-03        4.9860E-04
        1.1700E+03        1.4500E+00        8.7620E-03        6.1980E-04
        1.3980E+03        6.8590E-01        7.8870E-03        4.8290E-04
        1.5700E+03        1.4700E+00        8.6760E-03        6.6300E-04
        2.5980E+03        7.2510E-01        6.8440E-03        4.6670E-04
