# entry-subent-pointer  : O1099-179-0 
# EXFOR reaction        : ['83-BI-209', ['P,X'], '40-ZR-88,CUM,SIG'] 
# incident energy       : 1.54e+02 MeV - 2.60e+03 MeV 
# target                : Bi-209 
# product               : Zr-88 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : R.Michel 
# institute             : (2GERUH): University Hannover (previously Tech.University Hannover) 
# reference             : (J,NSTS,2,242,2002) 
# year                  : 2002 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O10/O1099.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1099
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.54100E+02      1.52100E+00      5.88000E-06      1.80500E-06
      1.60500E+02      1.48300E+00      1.03000E-05      2.97900E-06
      2.76500E+02      8.36100E-01      9.35600E-05      7.77300E-06
      3.18000E+02      1.96000E+00      2.18100E-04      2.98900E-05
      5.51000E+02      1.69000E+00      6.67800E-04      5.08100E-05
      7.57000E+02      1.65000E+00      1.13100E-03      8.44500E-05
      9.98000E+02      6.90000E-01      1.47100E-03      9.21300E-05
      1.17000E+03      1.45000E+00      1.63600E-03      1.17000E-04
      1.39800E+03      6.85900E-01      1.70300E-03      1.01800E-04
      1.57000E+03      1.47000E+00      1.94600E-03      1.36200E-04
      2.59800E+03      7.23500E-01      1.97300E-03      2.02500E-04
      2.59800E+03      7.25100E-01      1.99300E-03      1.28200E-04
