# entry-subent-pointer  : E1867-005-0 
# EXFOR reaction        : (35-BR-0(P,X)35-BR-77,,SIG) 
# incident energy       : 2.1580e+01 MeV - 5.0550e+01 MeV 
# target                : Br-0 
# product               : Br-77 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Sakamoto 
# institute             : (2JPNKNZ): Kanazawa University , Kanazawa 
# reference             : (J,ARI,36,481,1985) 
# year                  : 1985 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E18/E1867.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1867
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.1580E+01        1.5400E+00        2.4740E-03        0.0000E+00
        2.6220E+01        1.1110E+00        5.0740E-02        0.0000E+00
        2.8990E+01        1.1970E+00        1.0710E-01        0.0000E+00
        3.2690E+01        1.0260E+00        2.2580E-01        0.0000E+00
        3.5260E+01        9.4040E-01        2.4440E-01        0.0000E+00
        3.8510E+01        1.0260E+00        2.3070E-01        0.0000E+00
        4.0900E+01        1.2820E+00        2.3020E-01        0.0000E+00
        4.3970E+01        9.4040E-01        1.7710E-01        0.0000E+00
        5.0540E+01        1.0260E+00        1.3220E-01        0.0000E+00
        5.0550E+01        1.0260E+00        1.4540E-01        0.0000E+00
