# entry-subent-pointer  : A0254-003-0 
# EXFOR reaction        : ['35-BR-0', ['P,X'], '36-KR-77,,SIG'] 
# incident energy       : 2.3800e+01 MeV - 4.4240e+01 MeV 
# target                : Br-0 
# product               : Kr-77 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : R.Weinreich 
# institute             : (2GERJUL): Forschungszentrum Juelich, Juelich 
# reference             : (J,ARI,34,1335,1983) 
# year                  : 1983 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A02/A0254.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0254
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.38000E+01      1.50000E-01      4.39000E-03      0.00000E+00
      2.47000E+01      1.50000E-01      6.14000E-03      0.00000E+00
      2.60200E+01      1.50000E-01      1.17900E-02      0.00000E+00
      2.67500E+01      1.50000E-01      1.49200E-02      0.00000E+00
      2.79400E+01      1.50000E-01      3.33000E-02      0.00000E+00
      2.81500E+01      1.50000E-01      4.90000E-02      0.00000E+00
      2.96400E+01      1.50000E-01      5.71000E-02      0.00000E+00
      3.08300E+01      1.50000E-01      6.80000E-02      0.00000E+00
      3.15900E+01      1.50000E-01      6.64000E-02      0.00000E+00
      3.19000E+01      1.50000E-01      6.25000E-02      0.00000E+00
      3.27100E+01      1.50000E-01      8.74000E-02      0.00000E+00
      3.34800E+01      1.50000E-01      8.37000E-02      0.00000E+00
      3.44100E+01      1.50000E-01      8.67000E-02      0.00000E+00
      3.52000E+01      1.50000E-01      9.55000E-02      0.00000E+00
      3.65700E+01      1.50000E-01      8.17000E-02      0.00000E+00
      3.81100E+01      1.50000E-01      8.20000E-02      0.00000E+00
      3.93400E+01      1.50000E-01      7.68000E-02      0.00000E+00
      4.04100E+01      1.50000E-01      7.27000E-02      0.00000E+00
      4.10900E+01      1.50000E-01      6.31000E-02      0.00000E+00
      4.20200E+01      1.50000E-01      6.35000E-02      0.00000E+00
      4.24000E+01      1.50000E-01      6.03000E-02      0.00000E+00
      4.29900E+01      1.50000E-01      5.08000E-02      0.00000E+00
      4.34600E+01      1.50000E-01      5.38000E-02      0.00000E+00
      4.42400E+01      1.50000E-01      5.58000E-02      0.00000E+00
