# entry-subent-pointer  : O0256-019-0 
# EXFOR reaction        : ['6-C-12', ['P,INL'], '6-C-12,PAR,DA'] 
# incident energy       : 8.9600e+00 MeV 
# target                : C-12 
# product               : C-12 
# level energy          : 4.4300e+00 MeV 
# MF-MT number          : 4 - 601 
# first author          : A.C.L.Barnard 
# institute             : (1USARIC): Rice University, Houston, TX 
# reference             : (J,NP,86,130,1966) 
# year                  : 1966 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O02/O0256.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0256
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.26000E+01      6.00000E-01      3.27700E-02      2.06451E-03
      2.54000E+01      6.00000E-01      3.31900E-02      2.09097E-03
      3.53000E+01      6.00000E-01      3.19400E-02      2.01222E-03
      3.98000E+01      6.00000E-01      3.15200E-02      1.98576E-03
      4.51000E+01      6.00000E-01      2.98600E-02      1.88118E-03
      6.03000E+01      6.00000E-01      2.34200E-02      1.47546E-03
      6.52000E+01      6.00000E-01      2.03000E-02      1.27890E-03
      6.97000E+01      6.00000E-01      1.80200E-02      1.13526E-03
      7.55000E+01      6.00000E-01      1.53200E-02      9.65160E-04
      8.49000E+01      6.00000E-01      1.19900E-02      7.55370E-04
      9.51000E+01      6.00000E-01      1.07500E-02      6.77250E-04
      1.05000E+02      6.00000E-01      1.26200E-02      7.95060E-04
      1.14800E+02      6.00000E-01      1.61500E-02      1.01745E-03
      1.25100E+02      6.00000E-01      2.03000E-02      1.27890E-03
      1.34900E+02      6.00000E-01      2.52900E-02      1.59327E-03
      1.45600E+02      6.00000E-01      2.82000E-02      1.77660E-03
      1.55400E+02      6.00000E-01      2.94500E-02      1.85535E-03
      1.63200E+02      6.00000E-01      3.00700E-02      1.89441E-03
