# entry-subent-pointer  : P0051-002-0 
# EXFOR reaction        : ['6-C-12', ['P,X'], '6-C-11,,SIG'] 
# incident energy       : 2.7600e+01 MeV - 4.1800e+01 MeV 
# target                : C-12 
# product               : C-11 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : A.B.Whitehead 
# institute             : (1CANMCG): McGill University, Montreal,Quebec 
# reference             : (J,CJP,36,1276,1958) 
# year                  : 1958 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/P00/P0051.x4 
# nds                   : https://nds.iaea.org/EXFOR/P0051
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.76000E+01      8.28000E-01      7.65000E-02      0.00000E+00
      2.81000E+01      8.43000E-01      7.75000E-02      0.00000E+00
      2.87000E+01      8.61000E-01      8.00000E-02      0.00000E+00
      2.94000E+01      8.82000E-01      8.19000E-02      0.00000E+00
      2.99000E+01      8.97000E-01      8.49000E-02      0.00000E+00
      3.06000E+01      9.18000E-01      8.47000E-02      0.00000E+00
      3.11000E+01      9.33000E-01      8.56000E-02      0.00000E+00
      3.18000E+01      9.54000E-01      8.88000E-02      0.00000E+00
      3.24000E+01      9.72000E-01      8.63000E-02      0.00000E+00
      3.31000E+01      9.93000E-01      8.71000E-02      0.00000E+00
      3.34000E+01      1.00200E+00      8.72000E-02      0.00000E+00
      3.37000E+01      1.01100E+00      8.89000E-02      0.00000E+00
      3.40000E+01      1.02000E+00      8.82000E-02      0.00000E+00
      3.45000E+01      1.03500E+00      8.81000E-02      0.00000E+00
      3.48000E+01      1.04400E+00      8.91000E-02      0.00000E+00
      3.52000E+01      1.05600E+00      8.66000E-02      0.00000E+00
      3.57000E+01      1.07100E+00      8.55000E-02      0.00000E+00
      3.62000E+01      1.08600E+00      8.48000E-02      0.00000E+00
      3.66000E+01      1.09800E+00      8.57000E-02      0.00000E+00
      3.71000E+01      1.11300E+00      8.55000E-02      0.00000E+00
      3.76000E+01      1.12800E+00      8.60000E-02      0.00000E+00
      3.80000E+01      1.14000E+00      8.63000E-02      0.00000E+00
      3.83000E+01      1.14900E+00      8.67000E-02      0.00000E+00
      3.85000E+01      1.15500E+00      8.48000E-02      0.00000E+00
      3.88000E+01      1.16400E+00      8.64000E-02      0.00000E+00
      3.92000E+01      1.17600E+00      8.62000E-02      0.00000E+00
      3.96000E+01      1.18800E+00      8.53000E-02      0.00000E+00
      4.00000E+01      1.20000E+00      8.14000E-02      0.00000E+00
      4.10000E+01      1.23000E+00      8.32000E-02      0.00000E+00
      4.14000E+01      1.24200E+00      8.47000E-02      0.00000E+00
      4.18000E+01      1.25400E+00      8.47000E-02      3.45000E-03
