# entry-subent-pointer  : C0624-005-0 
# EXFOR reaction        : ['20-CA-48', ['P,EL'], '20-CA-48,,DA'] 
# incident energy       : 3.0000e+01 MeV 
# target                : Ca-48 
# product               : Ca-48 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : R.H.Mccamis 
# institute             : (1USAUSA): United States of America 
# reference             : (J,PR/C,33,1624,198605) 
# year                  : 1986 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C06/C0624.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0624
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.02200E+01      0.00000E+00      8.09000E+00      9.70800E-02
      1.27700E+01      0.00000E+00      4.05400E+00      1.37836E-01
      1.53200E+01      0.00000E+00      2.43900E+00      2.43900E-02
      1.78700E+01      0.00000E+00      1.46800E+00      3.52320E-02
      2.04200E+01      0.00000E+00      8.40900E-01      6.72720E-03
      2.29800E+01      0.00000E+00      4.03400E-01      1.33122E-02
      2.55200E+01      0.00000E+00      1.54500E-01      4.17150E-03
      2.80700E+01      0.00000E+00      4.43700E-02      1.59732E-03
      3.06200E+01      0.00000E+00      1.81000E-02      1.62900E-04
      3.31700E+01      0.00000E+00      3.54000E-02      3.54000E-04
      3.57100E+01      0.00000E+00      7.04400E-02      1.26792E-03
      3.82600E+01      0.00000E+00      1.07300E-01      1.28760E-03
      4.08000E+01      0.00000E+00      1.27200E-01      1.65360E-03
      4.33400E+01      0.00000E+00      1.30300E-01      1.43330E-03
      4.58800E+01      0.00000E+00      1.14400E-01      2.28800E-03
      4.84200E+01      0.00000E+00      9.73900E-02      1.65563E-03
      5.09500E+01      0.00000E+00      7.31400E-02      4.38840E-04
      5.34900E+01      0.00000E+00      4.94600E-02      7.91360E-04
      5.60200E+01      0.00000E+00      3.02900E-02      5.75510E-04
      5.85500E+01      0.00000E+00      1.81800E-02      2.90880E-04
      6.10800E+01      0.00000E+00      1.19300E-02      1.43160E-04
      6.36000E+01      0.00000E+00      9.69000E-03      3.97290E-04
      6.61300E+01      0.00000E+00      1.04700E-02      1.57050E-04
      6.86500E+01      0.00000E+00      1.28800E-02      8.37200E-04
      7.11700E+01      0.00000E+00      1.50500E-02      1.50500E-04
      7.36800E+01      0.00000E+00      1.61500E-02      1.13050E-04
      7.62000E+01      0.00000E+00      1.62300E-02      1.29840E-04
      7.87100E+01      0.00000E+00      1.51400E-02      2.57380E-04
      8.12200E+01      0.00000E+00      1.27500E-02      7.65000E-05
      8.37300E+01      0.00000E+00      1.04900E-02      8.39200E-05
      8.62400E+01      0.00000E+00      7.94000E-03      8.73400E-05
      8.87400E+01      0.00000E+00      5.55200E-03      8.32800E-05
      9.12400E+01      0.00000E+00      4.02100E-03      1.32693E-04
      9.62400E+01      0.00000E+00      2.28800E-03      2.05920E-05
      1.01220E+02      0.00000E+00      2.05800E-03      1.44060E-05
      1.06200E+02      0.00000E+00      2.45300E-03      1.71710E-05
      1.11170E+02      0.00000E+00      2.67600E-03      1.60560E-05
      1.16120E+02      0.00000E+00      2.40500E-03      2.16450E-05
      1.21070E+02      0.00000E+00      1.79400E-03      1.25580E-05
      1.26020E+02      0.00000E+00      1.11800E-03      2.45960E-05
      1.30950E+02      0.00000E+00      5.85600E-04      7.02720E-06
      1.35880E+02      0.00000E+00      3.30100E-04      2.97090E-06
      1.40800E+02      0.00000E+00      3.74200E-04      2.99360E-06
      1.45710E+02      0.00000E+00      6.23500E-04      4.98800E-06
      1.50620E+02      0.00000E+00      9.26700E-04      6.48690E-06
      1.55520E+02      0.00000E+00      1.14100E-03      6.84600E-06
      1.60420E+02      0.00000E+00      1.17700E-03      7.06200E-06
      1.65320E+02      0.00000E+00      1.04000E-03      9.36000E-06
      1.70210E+02      0.00000E+00      7.54000E-04      9.80200E-06
