# entry-subent-pointer  : E1446-051-0 
# EXFOR reaction        : ['20-CA-48', ['P,INL'], '20-CA-48,PAR,DA'] 
# incident energy       : 6.5000e+01 MeV 
# target                : Ca-48 
# product               : Ca-48 
# level energy          : 1.2757e+01 MeV 
# MF-MT number          : 4 - 648 
# first author          : Y.Fujita 
# institute             : (2JPNOSA): Osaka University , Osaka 
# reference             : (J,PR/C,37,(1),45,198801) 
# year                  : 1988 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E14/E1446.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1446
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      8.27600E+00      0.00000E+00      2.89400E-05      3.72500E-06
      1.24100E+01      0.00000E+00      3.59400E-05      4.00300E-06
      1.65500E+01      0.00000E+00      3.73800E-05      4.16300E-06
      2.04300E+01      0.00000E+00      2.89400E-05      3.22400E-06
      2.48300E+01      0.00000E+00      2.11200E-05      2.64800E-06
      2.89700E+01      0.00000E+00      1.73500E-05      1.62600E-06
      3.72400E+01      0.00000E+00      7.74300E-06      1.12800E-06
      4.65500E+01      0.00000E+00      4.64200E-06      8.29200E-07
      5.17200E+01      0.00000E+00      5.43300E-06      6.99200E-07
      5.66400E+01      0.00000E+00      6.61500E-06      7.36700E-07
      6.18100E+01      0.00000E+00      3.32200E-06      4.83900E-07
