# entry-subent-pointer  : E1950-024-0 
# EXFOR reaction        : ['48-CD-111', ['P,INL'], '48-CD-111,PAR,DA'] 
# incident energy       : 1.4235e+01 MeV 
# target                : Cd-111 
# product               : Cd-111 
# level energy          : 6.1200e-01 MeV 
# MF-MT number          : 4 - 605 
# first author          : M.Koike 
# institute             : (2JPNTOK): University of Tokyo, Tokyo 
# reference             : (J,NP/A,98,(2),209,196705) 
# year                  : 1967 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E19/E1950.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1950
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      3.00000E+01      0.00000E+00      1.65000E-03      0.00000E+00
      5.00000E+01      0.00000E+00      1.24000E-03      0.00000E+00
      6.00000E+01      0.00000E+00      8.63000E-04      0.00000E+00
      7.00000E+01      0.00000E+00      8.53000E-04      0.00000E+00
      8.00000E+01      0.00000E+00      7.54000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      3.87000E-04      0.00000E+00
      1.00000E+02      0.00000E+00      3.64000E-04      0.00000E+00
      1.10000E+02      0.00000E+00      2.93000E-04      0.00000E+00
      1.20000E+02      0.00000E+00      3.25000E-04      0.00000E+00
      1.30000E+02      0.00000E+00      2.69000E-04      0.00000E+00
      1.40000E+02      0.00000E+00      2.27000E-04      0.00000E+00
