# entry-subent-pointer  : D4027-007-0 
# EXFOR reaction        : ['48-CD-112', ['P,2N'], '49-IN-111,,SIG'] 
# incident energy       : 1.2200e+01 MeV - 2.9800e+01 MeV 
# target                : Cd-112 
# product               : In-111 
# level energy          : - 
# MF-MT number          : 3 - 16 
# first author          : F.Tarkanyi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,ARI,45,239,1994) 
# year                  : 1994 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D40/D4027.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4027
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.22000E+01      5.00000E-01      1.19000E-01      1.50000E-02
      1.34000E+01      4.00000E-01      4.39000E-01      5.40000E-02
      1.36000E+01      5.00000E-01      4.89000E-01      6.00000E-02
      1.44000E+01      3.00000E-01      4.49000E-01      5.50000E-02
      1.49000E+01      4.00000E-01      7.39000E-01      9.00000E-02
      1.54000E+01      3.00000E-01      9.91000E-01      1.21000E-01
      1.62000E+01      4.00000E-01      9.13000E-01      1.11000E-01
      1.63000E+01      3.00000E-01      9.65000E-01      1.17000E-01
      1.68000E+01      2.00000E-01      1.01400E+00      1.23000E-01
      1.76000E+01      3.00000E-01      9.91000E-01      1.21000E-01
      1.77000E+01      2.00000E-01      9.43000E-01      1.15000E-01
      1.87000E+01      3.00000E-01      9.30000E-01      1.13000E-01
      1.93000E+01      5.00000E-01      8.90000E-01      1.08000E-01
      1.98000E+01      3.00000E-01      9.39000E-01      1.21000E-01
      2.08000E+01      2.00000E-01      1.03100E+00      1.26000E-01
      2.12000E+01      4.00000E-01      8.83000E-01      1.08000E-01
      2.23000E+01      4.00000E-01      9.12000E-01      1.11000E-01
      2.37000E+01      4.00000E-01      9.05000E-01      1.10000E-01
      2.47000E+01      4.00000E-01      7.25000E-01      8.80000E-02
      2.55000E+01      3.00000E-01      6.03000E-01      7.40000E-02
      2.64000E+01      3.00000E-01      5.17000E-01      6.30000E-02
      2.72000E+01      3.00000E-01      4.52000E-01      5.50000E-02
      2.81000E+01      3.00000E-01      3.61000E-01      4.40000E-02
      2.88000E+01      2.00000E-01      3.09000E-01      3.80000E-02
      2.98000E+01      2.00000E-01      2.64000E-01      3.20000E-02
